NO_OF_FRAMES	388
NO_OF_CAMERAS	24
NO_OF_MARKERS	50
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-21, 11:25:06.892	241101.86138800
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	calc_med_right	calc_back_right	calc_lat_right	forfoot_med_right	toe_right	forfoot_lat_right	mal_med_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Mixed	Mixed	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Mixed	Mixed	Mixed
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_med_right X	calc_med_right Y	calc_med_right Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_med_right X	mal_med_right Y	mal_med_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
1	0.00000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	984.672	3712.491	930.081	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	914.729	3607.955	46.207	0.000	0.000	0.000	896.279	3443.189	122.239	923.219	3405.612	145.200	992.758	3458.523	101.216	734.265	3889.206	775.165	736.214	3843.057	750.260	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	782.013	4135.196	458.469	794.625	4112.046	406.102	0.000	0.000	0.000	878.325	4391.255	349.133	841.709	4389.639	325.665	0.000	0.000	0.000	928.492	4335.694	133.552	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	980.974	3619.512	437.520	0.000	0.000	0.000
2	0.00500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	984.649	3694.141	929.288	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1003.355	3646.889	251.969	0.000	0.000	0.000	0.000	0.000	0.000	913.512	3585.959	45.920	0.000	0.000	0.000	894.560	3422.643	124.734	921.800	3385.208	147.998	991.545	3437.133	103.039	734.147	3869.613	772.793	736.573	3823.230	748.324	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	782.309	4114.617	461.142	794.601	4093.295	407.890	0.000	0.000	0.000	877.609	4374.515	361.331	841.303	4374.270	337.686	0.000	0.000	0.000	927.298	4326.385	143.956	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	979.793	3602.190	436.919	0.000	0.000	0.000
3	0.01000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	984.827	3676.091	928.554	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1003.382	3627.666	251.219	0.000	0.000	0.000	0.000	0.000	0.000	912.162	3566.028	45.287	0.000	0.000	0.000	893.565	3403.480	125.319	920.421	3366.337	149.254	993.932	3419.177	105.448	731.400	3853.571	772.733	736.806	3803.441	746.140	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	782.566	4093.446	463.611	794.094	4074.173	409.572	0.000	0.000	0.000	877.059	4356.702	373.224	839.676	4357.965	349.923	0.000	0.000	0.000	925.372	4316.060	154.004	0.000	0.000	0.000	0.000	0.000	0.000	833.179	4313.062	325.704	0.000	0.000	0.000	0.000	0.000	0.000	978.753	3584.543	436.511	0.000	0.000	0.000
4	0.01500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	984.465	3657.860	927.436	0.000	0.000	0.000	867.199	3815.374	979.777	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1021.507	3583.912	328.763	1013.273	3636.528	313.916	1003.238	3609.352	250.405	0.000	0.000	0.000	0.000	0.000	0.000	910.603	3547.379	44.923	0.000	0.000	0.000	892.256	3385.551	124.465	918.947	3348.913	148.893	992.585	3401.259	104.943	731.686	3832.619	768.491	737.443	3782.056	742.409	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	782.617	4071.585	465.903	793.836	4054.275	410.802	0.000	0.000	0.000	869.916	4336.823	388.609	839.559	4340.225	361.831	0.000	0.000	0.000	922.882	4304.914	163.895	0.000	0.000	0.000	0.000	0.000	0.000	832.110	4296.224	336.075	0.000	0.000	0.000	0.000	0.000	0.000	977.361	3566.787	435.898	0.000	0.000	0.000
5	0.02000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	841.885	3833.392	997.512	0.000	0.000	0.000	983.815	3639.775	926.246	0.000	0.000	0.000	927.677	3784.778	963.858	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1020.787	3565.651	327.849	1013.220	3618.354	313.201	1003.068	3591.963	249.252	1002.059	3537.998	252.890	0.000	0.000	0.000	909.414	3531.505	43.285	966.786	3507.088	40.236	890.302	3369.837	123.355	917.417	3332.841	147.035	991.046	3384.907	103.048	731.427	3813.044	765.132	739.335	3760.166	738.250	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	782.846	4049.089	467.827	793.018	4033.927	411.985	0.000	0.000	0.000	869.541	4316.828	400.003	838.906	4321.473	373.588	0.000	0.000	0.000	919.835	4292.477	173.734	838.589	4321.246	221.636	0.000	0.000	0.000	831.698	4278.449	346.186	0.000	0.000	0.000	0.000	0.000	0.000	975.977	3549.068	435.341	0.000	0.000	0.000
6	0.02500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	868.267	3782.158	975.486	0.000	0.000	0.000	982.762	3622.896	923.872	0.000	0.000	0.000	952.333	3786.953	972.890	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1019.737	3547.891	326.360	1012.970	3600.747	312.097	1002.754	3575.405	247.901	1006.922	3521.610	261.803	0.000	0.000	0.000	908.393	3516.156	42.686	964.544	3490.465	38.248	889.216	3355.719	121.049	916.003	3318.304	144.139	989.544	3370.239	100.036	731.517	3793.260	761.420	739.150	3740.199	735.509	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	782.755	4026.033	469.326	792.114	4013.013	412.796	0.000	0.000	0.000	869.187	4295.818	410.679	839.255	4301.495	384.747	0.000	0.000	0.000	916.297	4279.498	182.918	835.609	4306.599	233.240	0.000	0.000	0.000	830.201	4259.508	356.047	970.514	3488.256	101.088	0.000	0.000	0.000	974.954	3531.502	434.655	0.000	0.000	0.000
7	0.03000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	869.255	3762.970	971.486	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1019.148	3531.308	323.506	1013.132	3584.440	309.949	1002.092	3559.909	245.993	1005.707	3505.868	259.420	0.000	0.000	0.000	905.454	3496.516	40.637	963.395	3477.606	35.219	887.193	3342.821	117.151	913.951	3305.162	139.779	987.779	3357.020	95.905	732.173	3772.188	756.365	737.210	3722.372	733.778	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	783.226	4002.119	470.386	791.209	3991.215	413.256	0.000	0.000	0.000	869.273	4273.718	420.912	838.728	4280.303	395.830	0.000	0.000	0.000	912.468	4265.086	192.011	831.941	4290.697	244.769	0.000	0.000	0.000	830.331	4239.365	365.381	969.746	3475.026	98.248	0.000	0.000	0.000	974.040	3513.902	433.576	0.000	0.000	0.000
8	0.03500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	867.643	3747.024	968.977	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1024.678	3515.708	332.884	1012.698	3568.366	308.442	1000.029	3544.957	243.024	1004.867	3491.157	256.682	0.000	0.000	0.000	904.937	3485.762	37.522	970.951	3475.212	31.639	885.424	3331.540	112.492	911.921	3293.470	134.727	986.133	3345.171	91.194	729.924	3754.457	753.367	736.831	3702.583	730.545	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	783.217	3977.617	470.901	790.030	3968.817	413.399	0.000	0.000	0.000	870.307	4250.609	430.372	842.562	4259.064	404.677	0.000	0.000	0.000	908.034	4249.545	200.709	827.996	4273.489	255.639	0.000	0.000	0.000	828.636	4218.364	374.804	968.994	3463.175	94.819	0.000	0.000	0.000	972.942	3496.125	431.812	0.000	0.000	0.000
9	0.04000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	864.841	3731.636	966.882	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1022.512	3502.243	324.070	1012.310	3552.796	307.026	994.747	3529.264	238.520	1004.225	3477.195	253.525	0.000	0.000	0.000	904.210	3478.255	32.851	960.697	3473.035	25.490	884.483	3322.048	107.408	909.921	3283.014	128.948	981.131	3333.284	84.296	729.059	3734.930	748.943	736.469	3682.741	727.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	783.162	3952.404	470.902	788.759	3945.794	413.123	0.000	0.000	0.000	870.659	4226.641	439.192	838.452	4234.711	416.249	0.000	0.000	0.000	903.375	4232.708	208.947	825.173	4254.842	266.141	0.000	0.000	0.000	828.115	4196.170	383.406	968.447	3452.672	90.964	0.000	0.000	0.000	971.797	3478.309	429.430	0.000	0.000	0.000
10	0.04500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	861.864	3718.724	958.360	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1017.421	3483.836	316.202	1012.195	3537.735	305.360	990.168	3514.412	234.282	1003.462	3463.710	249.973	0.000	0.000	0.000	892.346	3458.736	29.630	943.322	3470.726	19.104	882.883	3313.220	101.398	907.681	3273.809	122.256	979.519	3323.981	78.283	728.079	3715.488	744.244	736.122	3662.813	723.342	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	783.156	3926.610	470.284	787.731	3922.002	412.206	0.000	0.000	0.000	871.387	4201.775	447.260	838.490	4210.529	425.180	0.000	0.000	0.000	898.543	4214.857	216.794	822.016	4234.999	276.173	0.000	0.000	0.000	827.041	4173.132	391.369	970.722	3444.764	88.013	0.000	0.000	0.000	970.739	3460.590	426.495	0.000	0.000	0.000
