NO_OF_FRAMES	278
NO_OF_CAMERAS	24
NO_OF_MARKERS	48
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-21, 11:33:25.167	241600.13849050
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_3	calc_med_right	calc_back_right	calc_lat_right	forfoot_med_right	toe_right	forfoot_lat_right	mal_med_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Mixed	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Mixed	Measured	Mixed	Mixed	Mixed	Mixed	Measured	Mixed	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Mixed
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_med_right X	calc_med_right Y	calc_med_right Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_med_right X	mal_med_right Y	mal_med_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
1	0.00000	902.365	3410.522	1233.443	905.360	3394.290	1031.272	907.862	3501.804	1325.340	928.541	3592.163	1155.800	976.675	3459.239	846.356	0.000	0.000	0.000	888.001	3654.394	909.265	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1051.623	3436.157	1298.155	759.205	3475.732	1288.417	1152.466	3644.396	689.531	1055.631	3624.802	553.912	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.00500	903.895	3389.330	1231.005	906.631	3373.759	1027.791	908.336	3480.383	1322.860	927.356	3571.547	1154.208	1011.873	3458.029	846.711	0.000	0.000	0.000	889.272	3634.109	907.449	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1051.705	3415.750	1295.740	755.520	3452.325	1285.554	1074.036	3593.550	634.436	1056.916	3596.038	550.373	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.01000	903.433	3368.112	1227.932	909.955	3356.957	1026.433	906.900	3458.351	1322.453	926.168	3550.998	1152.872	1011.018	3438.336	843.807	0.000	0.000	0.000	873.974	3609.086	894.546	0.000	0.000	0.000	1056.379	3505.317	895.868	0.000	0.000	0.000	1051.821	3395.611	1293.743	758.170	3429.260	1283.054	1027.862	3518.185	592.052	1058.233	3567.245	547.496	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.01500	903.565	3346.759	1225.405	911.296	3336.474	1023.752	906.903	3438.756	1321.520	922.078	3532.569	1151.000	1010.100	3418.275	841.551	0.000	0.000	0.000	984.617	3581.136	897.131	891.146	3596.486	906.927	1062.519	3486.210	899.024	778.948	3520.250	927.615	1049.514	3378.056	1291.619	758.565	3405.331	1280.633	1067.951	3477.411	548.383	1059.559	3538.239	545.361	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	979.289	3898.332	348.342	920.255	3920.677	313.325	923.205	3799.618	417.656	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	781.210	3375.628	433.262	816.602	3434.279	213.970	784.354	3445.351	312.342	972.480	3502.603	319.592	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	931.630	3540.519	12.160	896.599	3585.485	39.484	942.825	3501.558	90.478	0.000	0.000	0.000	924.119	3350.841	24.920	950.100	3858.110	514.141	0.000	0.000	0.000	0.000	0.000	0.000	814.972	3488.830	240.812
5	0.02000	906.373	3325.431	1224.277	912.402	3315.739	1021.675	906.401	3417.590	1320.543	921.025	3511.836	1150.190	0.000	0.000	0.000	0.000	0.000	0.000	984.168	3560.353	896.986	900.779	3576.831	907.760	1062.318	3466.345	898.238	778.341	3499.631	926.721	1049.693	3358.606	1290.809	756.549	3383.869	1278.856	1065.897	3442.699	551.879	1060.974	3509.468	543.498	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	980.139	3859.718	335.307	923.593	3881.619	300.634	924.001	3765.300	406.770	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	780.902	3365.217	427.708	816.765	3429.279	210.485	773.757	3439.364	310.691	973.211	3464.407	319.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	931.304	3540.329	12.649	896.420	3585.264	39.996	942.784	3500.368	90.402	0.000	0.000	0.000	924.116	3350.681	24.219	951.330	3827.488	503.977	0.000	0.000	0.000	0.000	0.000	0.000	814.908	3482.345	238.061
6	0.02500	906.868	3303.551	1220.345	914.237	3294.628	1019.362	905.442	3396.210	1320.088	918.450	3491.957	1148.461	0.000	0.000	0.000	0.000	0.000	0.000	969.912	3535.243	886.236	888.288	3559.822	903.905	1057.754	3447.130	894.050	774.582	3483.330	923.630	1049.151	3338.803	1290.040	755.403	3363.033	1277.773	1069.254	3419.404	550.622	1062.444	3480.513	542.475	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1005.678	3836.091	328.690	927.297	3841.695	287.051	924.327	3730.816	396.877	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	779.538	3358.306	422.900	817.316	3424.383	206.767	770.923	3432.214	307.279	973.285	3426.715	320.889	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	931.043	3540.078	13.284	896.108	3585.515	40.338	942.404	3499.290	90.549	0.000	0.000	0.000	923.896	3350.560	23.467	964.317	3796.418	488.081	0.000	0.000	0.000	0.000	0.000	0.000	815.053	3476.498	235.999
7	0.03000	906.227	3281.493	1222.134	915.503	3273.430	1017.904	906.719	3374.649	1319.985	921.468	3467.518	1150.029	0.000	0.000	0.000	0.000	0.000	0.000	968.447	3513.693	889.336	888.777	3529.547	906.023	1062.253	3426.468	897.665	778.544	3454.663	922.033	1051.165	3319.791	1291.384	758.455	3335.147	1276.910	1067.665	3385.072	555.777	1064.687	3451.697	542.521	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1016.593	3807.507	320.639	930.605	3800.986	272.884	937.053	3704.231	401.787	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	778.709	3349.575	415.869	818.198	3419.690	203.105	774.107	3424.089	302.878	968.496	3413.989	306.331	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	930.935	3539.733	14.078	911.200	3581.142	37.693	942.263	3497.893	90.968	0.000	0.000	0.000	923.871	3350.144	22.879	974.475	3765.482	473.503	0.000	0.000	0.000	0.000	0.000	0.000	815.116	3471.264	233.488
8	0.03500	908.912	3261.078	1221.545	917.789	3252.613	1018.962	906.373	3353.705	1320.182	920.211	3446.399	1150.105	0.000	0.000	0.000	0.000	0.000	0.000	980.876	3496.952	898.796	887.431	3508.115	906.779	1064.383	3407.409	898.276	776.950	3433.061	922.023	1051.734	3300.954	1292.437	758.764	3312.711	1277.901	1068.369	3356.137	559.098	1066.298	3422.457	543.453	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1015.978	3774.518	311.038	935.928	3758.921	257.868	955.682	3672.074	392.864	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	777.796	3342.477	410.577	819.353	3415.300	199.790	781.567	3415.179	298.262	959.044	3419.353	281.426	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	931.067	3539.257	15.043	911.304	3580.710	38.818	942.661	3496.660	91.613	0.000	0.000	0.000	923.992	3349.865	22.341	982.195	3734.550	459.826	0.000	0.000	0.000	0.000	0.000	0.000	815.648	3466.089	231.160
9	0.04000	906.691	3236.549	1220.158	919.791	3231.396	1019.548	905.484	3333.050	1321.044	918.853	3425.185	1150.475	0.000	0.000	0.000	0.000	0.000	0.000	966.363	3471.195	892.298	886.030	3486.546	907.645	1062.508	3385.167	899.490	776.853	3409.124	922.560	1052.289	3282.290	1293.891	756.344	3295.617	1278.512	1069.334	3327.558	563.404	1067.194	3392.727	545.535	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1006.924	3737.673	299.770	940.478	3716.312	242.737	973.889	3643.773	389.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	776.939	3335.243	405.412	820.062	3411.522	197.017	781.492	3409.602	295.140	945.131	3435.934	251.898	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	931.060	3538.856	16.084	911.317	3580.339	39.842	942.779	3495.337	92.244	0.000	0.000	0.000	924.100	3349.668	21.945	987.873	3703.489	446.630	0.000	0.000	0.000	0.000	0.000	0.000	816.022	3461.743	229.357
10	0.04500	907.799	3215.015	1221.812	921.749	3210.027	1021.126	905.058	3312.036	1322.352	917.208	3403.994	1151.600	0.000	0.000	0.000	0.000	0.000	0.000	979.822	3455.283	901.959	884.559	3464.864	908.693	1061.922	3364.087	900.927	775.954	3386.386	922.497	1052.782	3263.689	1295.818	756.976	3272.380	1279.631	1069.826	3299.101	568.389	1067.999	3363.583	547.975	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	992.523	3697.524	286.720	946.801	3672.191	227.099	991.220	3618.447	367.997	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	775.917	3329.734	402.358	820.200	3408.267	195.162	781.200	3404.587	293.196	926.958	3456.857	223.468	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	930.621	3538.465	17.141	911.040	3579.966	41.098	942.458	3494.095	92.946	0.000	0.000	0.000	924.104	3349.496	21.570	992.848	3664.110	428.906	0.000	0.000	0.000	0.000	0.000	0.000	815.878	3457.962	228.431
