NO_OF_FRAMES	208
NO_OF_CAMERAS	24
NO_OF_MARKERS	50
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-21, 11:19:01.028	240735.99459650
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	calc_med_right	calc_back_right	calc_lat_right	forfoot_med_right	toe_right	forfoot_lat_right	mal_med_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_med_right X	calc_med_right Y	calc_med_right Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_med_right X	mal_med_right Y	mal_med_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
188	0.93500	944.680	2272.812	1290.325	950.209	2243.469	1094.782	924.231	2369.230	1368.611	901.238	2438.772	1188.657	1021.045	2318.970	912.437	833.290	2295.320	900.111	955.440	2472.815	947.937	863.378	2467.634	939.969	1051.303	2402.864	964.086	770.294	2370.475	946.655	1076.750	2348.250	1340.777	797.301	2297.405	1345.167	1098.002	2346.878	722.587	1094.224	2409.926	701.565	1065.783	2374.202	616.083	1078.506	2313.144	642.425	916.172	2288.962	464.379	1030.867	2259.931	458.474	1034.209	2244.725	312.344	1033.493	2299.516	310.146	1015.297	2291.171	228.741	1014.737	2234.593	232.538	910.578	2263.277	20.026	945.330	2281.339	12.037	978.606	2254.167	12.976	893.459	2112.854	60.897	915.855	2067.028	76.966	988.071	2119.342	39.808	740.274	2402.269	699.190	730.786	2456.872	715.544	752.515	2488.684	637.618	758.443	2430.248	616.811	919.409	2523.130	449.951	798.269	2512.883	438.444	803.772	2637.218	394.089	801.920	2633.839	452.968	823.292	2720.562	460.703	812.977	2723.668	399.609	920.255	2923.435	420.462	893.998	2915.604	464.717	856.797	2924.688	448.712	915.323	2937.801	284.508	890.035	2939.587	239.344	826.045	2951.958	299.195	918.118	2867.883	389.705	843.868	2888.573	410.905	984.155	2237.746	69.125	909.255	2227.343	89.268	977.509	2209.835	408.705	840.057	2548.066	359.749
189	0.94000	944.829	2254.219	1285.381	949.568	2225.357	1089.559	924.597	2350.560	1364.353	902.209	2420.859	1184.431	1020.523	2301.231	908.499	833.857	2278.949	895.814	954.781	2456.859	943.421	862.315	2451.127	935.016	1050.245	2386.037	960.243	770.018	2353.650	941.879	1077.540	2328.418	1336.023	796.616	2280.125	1341.167	1096.309	2329.411	720.799	1093.124	2391.963	698.655	1066.007	2354.446	613.513	1076.907	2293.938	641.799	915.912	2269.530	461.981	1033.663	2239.814	456.750	1032.955	2230.531	308.265	1033.917	2285.574	307.740	1013.563	2278.443	225.646	1013.933	2223.591	228.380	910.132	2260.734	19.026	945.036	2279.189	12.501	978.234	2251.978	12.078	892.749	2107.605	50.404	914.163	2060.910	63.612	989.420	2117.529	33.227	740.029	2382.427	693.976	730.706	2437.380	709.460	752.299	2467.507	630.759	757.879	2408.867	611.141	918.495	2496.562	442.291	796.739	2486.911	431.778	802.336	2610.667	390.615	801.139	2605.970	449.243	822.911	2692.225	458.715	811.840	2696.947	397.861	919.727	2896.349	423.468	892.883	2888.588	468.567	856.047	2897.125	452.834	911.072	2912.030	287.133	886.759	2915.347	242.975	823.469	2926.328	304.000	917.065	2841.045	391.602	842.864	2861.375	414.152	983.252	2232.557	65.587	908.405	2221.236	84.960	977.484	2193.049	403.885	838.466	2522.271	354.297
190	0.94500	944.536	2235.408	1280.418	948.960	2207.386	1084.237	925.268	2331.915	1359.647	903.222	2402.961	1180.107	1019.892	2283.446	904.344	833.699	2261.786	891.295	954.064	2440.632	938.945	861.316	2434.841	930.000	1049.631	2369.261	956.017	769.461	2336.785	937.241	1078.169	2308.480	1331.140	796.563	2262.477	1336.544	1094.798	2311.747	718.554	1092.593	2373.802	695.298	1067.187	2334.922	610.452	1074.772	2274.548	640.109	916.839	2251.299	458.917	1031.974	2224.164	452.732	1031.784	2216.705	304.430	1033.665	2271.688	305.354	1012.976	2267.553	223.326	1012.412	2212.422	224.344	909.587	2258.510	18.592	944.686	2276.970	13.629	977.914	2249.938	11.900	891.339	2103.308	42.120	912.971	2055.890	52.617	988.630	2114.116	25.849	739.898	2362.654	688.725	730.561	2417.962	702.910	752.340	2446.133	623.546	757.425	2387.256	605.175	917.855	2469.831	434.662	794.748	2460.804	425.187	800.981	2583.641	386.673	800.059	2577.552	445.143	821.972	2663.498	456.395	810.658	2669.760	395.835	918.771	2868.741	426.036	891.999	2860.257	471.223	855.270	2868.548	455.754	910.908	2887.654	290.793	884.042	2890.109	245.924	820.910	2899.930	307.768	916.103	2813.744	393.081	841.832	2833.471	416.571	982.216	2227.331	63.232	907.182	2214.863	81.805	977.353	2176.246	399.173	836.842	2495.618	348.909
191	0.95000	944.331	2216.699	1275.325	948.358	2189.537	1078.814	926.046	2313.388	1354.899	904.309	2385.187	1175.787	1018.981	2265.527	899.632	833.579	2244.841	886.570	953.160	2424.568	934.498	860.359	2418.736	925.020	1049.185	2352.227	951.983	768.848	2320.022	932.397	1078.957	2288.427	1326.300	796.363	2244.957	1331.913	1092.709	2293.066	715.228	1092.820	2355.503	691.530	1068.699	2315.378	606.553	1073.727	2255.879	637.542	917.773	2233.399	455.675	1033.557	2208.320	449.537	1031.160	2202.710	300.765	1032.771	2257.497	303.583	1011.976	2256.436	221.756	1011.228	2201.187	220.777	908.985	2256.763	18.696	944.221	2275.243	14.880	977.588	2248.462	12.438	889.970	2099.842	35.348	911.269	2051.665	42.832	987.282	2110.408	22.072	739.667	2343.016	683.338	730.562	2398.585	696.362	751.898	2425.042	616.510	757.019	2365.537	599.184	917.127	2442.816	427.132	792.903	2434.033	418.397	799.490	2555.964	382.522	798.827	2548.797	440.875	821.136	2634.662	453.541	809.377	2641.986	393.386	917.757	2840.721	428.041	891.185	2831.606	473.315	854.127	2839.503	458.000	909.239	2861.302	293.054	881.955	2864.041	248.297	818.845	2872.228	310.518	914.879	2785.722	394.070	840.679	2804.716	418.099	980.633	2221.944	61.537	905.790	2208.763	78.929	977.679	2158.860	394.956	835.220	2468.562	343.662
192	0.95500	944.119	2197.991	1270.119	947.938	2172.395	1073.517	926.941	2294.942	1350.150	905.270	2367.392	1171.737	1019.262	2249.012	895.187	833.184	2227.764	881.774	952.687	2408.796	930.410	859.423	2402.890	920.072	1049.041	2334.894	948.292	768.180	2303.347	927.483	1079.882	2268.231	1321.566	796.096	2227.516	1327.529	1092.736	2275.507	712.218	1093.603	2337.042	688.312	1069.129	2297.604	602.101	1073.169	2237.221	634.267	918.333	2215.979	452.980	1033.573	2190.802	446.101	1029.826	2188.389	297.608	1031.608	2242.508	302.673	1012.769	2246.441	221.882	1010.861	2189.988	218.287	908.297	2255.563	19.004	943.671	2274.280	16.338	976.932	2247.429	13.601	889.503	2097.371	31.357	910.699	2049.375	36.808	986.577	2108.982	19.589	739.380	2323.369	677.724	730.082	2378.750	690.030	751.954	2403.478	608.944	756.361	2343.757	592.995	916.444	2415.358	419.768	790.919	2407.231	411.874	797.741	2527.867	378.396	797.332	2519.562	436.525	819.868	2605.178	450.540	808.004	2613.650	390.642	916.303	2812.258	429.430	889.695	2802.733	474.175	852.421	2810.053	459.232	905.915	2832.917	293.739	880.008	2836.773	249.785	816.951	2843.262	311.504	914.007	2757.464	394.648	839.318	2775.507	418.897	979.569	2218.221	60.973	903.910	2205.865	77.849	978.073	2141.224	391.361	834.269	2440.911	338.664
193	0.96000	943.612	2179.181	1265.188	947.314	2154.598	1067.761	927.898	2276.473	1345.658	906.264	2349.893	1168.478	1019.583	2232.861	890.701	832.550	2210.601	876.948	952.225	2393.300	926.340	858.521	2387.215	915.312	1049.015	2317.534	944.802	767.393	2286.991	922.498	1080.891	2247.500	1316.743	795.563	2210.153	1323.433	1092.435	2257.377	708.752	1095.078	2319.177	684.947	1069.954	2280.083	598.021	1074.119	2219.568	630.432	919.536	2199.468	449.595	1035.403	2174.202	442.863	1031.068	2172.770	295.657	1031.306	2227.307	303.427	1013.220	2234.995	223.077	1010.195	2178.158	216.977	908.086	2254.913	19.779	943.378	2273.658	17.817	976.811	2246.756	14.839	888.862	2096.292	28.823	909.950	2048.033	33.552	986.350	2108.344	19.055	739.515	2303.449	672.728	730.401	2359.162	683.347	751.598	2381.721	601.600	755.906	2321.559	587.206	914.058	2387.634	413.009	788.731	2379.792	405.313	796.134	2499.149	373.806	795.704	2490.086	431.922	818.466	2575.318	447.242	806.735	2584.721	387.446	914.641	2783.384	430.094	887.832	2772.951	474.916	850.169	2780.108	459.238	907.889	2807.117	296.156	878.170	2808.442	250.320	815.151	2814.406	312.334	912.552	2728.323	394.680	837.708	2745.940	418.851	978.409	2215.326	60.966	902.742	2203.487	77.718	978.468	2123.728	388.713	832.733	2412.134	334.437
194	0.96500	943.318	2160.582	1260.365	946.182	2137.038	1062.350	929.132	2258.041	1341.752	907.181	2332.248	1165.906	1019.287	2216.559	886.054	832.374	2194.280	872.157	951.555	2377.421	922.776	857.768	2371.663	910.796	1049.037	2300.183	941.574	766.795	2270.687	917.723	1081.992	2226.935	1312.378	794.957	2192.775	1319.661	1092.094	2239.722	705.230	1096.038	2302.072	681.994	1070.449	2263.709	596.086	1075.859	2203.676	626.467	919.989	2183.343	446.615	1036.999	2157.747	439.726	1030.966	2158.282	295.061	1031.911	2211.753	304.378	1014.004	2223.335	224.534	1009.434	2166.790	216.476	908.763	2253.556	19.851	943.325	2273.532	19.038	976.700	2245.904	16.152	887.925	2094.934	26.700	909.502	2046.501	29.628	985.856	2107.208	18.011	739.959	2283.427	668.259	730.426	2339.235	677.133	751.355	2359.461	594.544	755.318	2298.845	582.211	916.885	2359.578	405.929	786.736	2351.899	399.227	795.502	2469.927	369.484	793.788	2460.262	427.334	817.565	2545.734	443.733	805.362	2555.360	383.959	912.620	2754.230	430.260	885.309	2744.101	473.959	848.422	2750.286	459.146	904.096	2776.507	294.994	877.573	2779.793	250.302	813.442	2784.612	311.644	910.617	2698.811	393.770	835.795	2716.513	418.360	978.033	2212.676	62.693	902.254	2201.042	78.876	978.697	2106.976	386.261	831.852	2383.121	330.344
195	0.97000	942.718	2141.927	1255.756	945.251	2119.733	1057.053	930.161	2239.253	1338.658	908.120	2314.672	1163.506	1018.894	2200.387	881.742	831.779	2177.927	867.293	951.060	2361.435	919.685	856.678	2356.458	906.400	1048.910	2283.288	938.755	765.933	2254.735	912.956	1082.949	2206.498	1308.280	794.263	2175.555	1316.287	1093.398	2224.306	702.637	1096.846	2286.736	680.364	1071.162	2250.052	595.672	1076.564	2189.019	622.692	920.043	2167.344	443.730	1037.941	2141.057	436.752	1030.010	2143.412	295.069	1034.050	2198.174	304.919	1014.228	2211.507	225.433	1008.609	2156.105	216.083	908.797	2252.405	20.564	943.190	2272.876	20.422	976.492	2244.994	17.325	887.161	2093.409	25.274	910.061	2044.863	24.239	985.211	2105.958	17.017	739.415	2263.218	665.061	730.486	2319.659	671.481	751.023	2335.818	588.253	755.274	2274.810	578.499	917.060	2330.809	400.563	785.334	2323.398	393.347	793.907	2440.207	364.973	791.742	2430.265	422.759	815.568	2515.525	440.090	804.101	2525.558	380.249	910.546	2724.993	429.653	882.063	2714.242	472.634	845.586	2720.231	457.562	902.676	2746.561	293.977	874.882	2748.666	248.505	811.982	2754.171	309.680	909.014	2668.864	392.893	833.936	2686.429	416.761	977.618	2210.181	64.587	902.007	2198.385	80.842	978.420	2091.589	384.111	830.673	2353.996	327.122
196	0.97500	942.117	2123.363	1251.492	943.261	2102.151	1051.909	930.897	2220.083	1336.160	909.029	2297.276	1161.234	1019.274	2184.349	878.103	831.355	2161.918	862.417	950.278	2345.000	917.068	855.759	2340.835	902.331	1048.517	2266.772	936.279	764.939	2239.153	908.392	1083.882	2186.043	1304.502	793.451	2158.334	1313.052	1094.402	2208.645	699.754	1096.804	2271.398	678.717	1070.566	2236.521	593.471	1077.118	2174.859	619.116	919.696	2151.288	441.618	1037.977	2123.542	434.364	1029.529	2131.515	293.914	1036.064	2184.754	305.196	1014.319	2200.135	226.001	1007.248	2145.881	215.398	908.646	2251.986	21.098	943.113	2272.180	21.218	976.459	2244.547	18.192	888.410	2093.006	22.826	909.997	2044.056	22.093	984.360	2104.675	15.983	739.282	2243.176	662.902	730.829	2299.743	667.207	750.507	2312.442	583.191	753.990	2251.440	576.082	915.409	2303.108	396.620	784.548	2294.397	388.427	793.795	2410.082	360.764	789.651	2399.981	418.514	813.495	2485.016	436.353	803.033	2495.435	376.416	908.468	2696.202	425.847	879.370	2684.472	471.132	842.609	2689.649	454.521	901.022	2715.877	291.928	874.503	2718.320	246.398	810.895	2723.311	307.088	907.529	2638.712	391.508	832.023	2656.112	414.470	977.009	2208.164	65.706	901.711	2196.304	82.291	978.197	2076.787	381.905	833.392	2323.842	323.011
197	0.98000	941.437	2104.941	1247.636	941.246	2084.429	1046.870	931.604	2201.182	1334.102	909.901	2279.891	1159.260	1019.480	2168.020	874.859	830.775	2146.330	858.020	949.096	2328.120	914.794	854.841	2325.031	898.815	1048.101	2250.328	934.026	764.239	2224.014	904.515	1084.571	2165.617	1300.933	792.806	2140.973	1310.084	1094.160	2192.475	696.319	1096.024	2255.958	676.634	1070.384	2222.314	590.767	1077.793	2160.639	615.747	919.016	2134.680	440.393	1037.812	2106.567	432.192	1028.517	2119.460	291.826	1037.467	2172.476	305.577	1014.995	2190.816	227.021	1007.258	2137.735	214.564	908.608	2251.874	21.736	943.164	2271.798	21.922	976.494	2244.229	18.780	888.193	2092.465	22.020	909.866	2043.402	20.405	984.050	2104.045	15.525	739.168	2222.868	661.382	730.929	2279.674	663.775	750.030	2289.266	579.254	753.074	2228.094	574.181	916.657	2272.179	392.720	784.266	2264.742	384.506	793.581	2379.520	356.943	787.264	2369.677	414.401	811.363	2454.524	432.802	802.080	2464.915	372.687	906.249	2667.065	423.705	876.595	2655.144	468.519	839.516	2659.963	451.467	900.822	2685.492	289.647	874.374	2687.030	243.376	809.650	2693.682	303.843	905.874	2608.164	389.594	830.253	2625.611	411.332	976.962	2206.651	66.323	900.559	2195.995	83.907	978.722	2062.929	379.530	832.414	2293.199	320.588
