NO_OF_FRAMES	257
NO_OF_CAMERAS	24
NO_OF_MARKERS	43
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-21, 11:23:03.575	240978.54400470
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	forfoot_med_right	toe_right	forfoot_lat_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Mixed	Measured
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
42	0.20500	891.172	2951.341	1332.210	906.935	2908.410	1142.818	861.954	3052.306	1401.928	842.938	3107.545	1213.768	975.524	2969.276	942.373	792.181	2948.248	929.626	918.286	3119.798	985.293	823.600	3115.546	979.599	1009.591	3043.940	998.797	727.844	3021.118	981.201	1012.937	3038.340	1383.427	736.681	2977.772	1377.673	1044.114	2995.559	741.679	1045.883	3059.463	729.729	1023.441	3039.372	638.605	1031.335	2974.918	656.763	872.373	2970.948	469.533	989.242	2935.230	472.790	986.944	2889.464	339.614	979.703	2941.483	324.861	960.578	2913.586	248.506	967.370	2860.701	264.450	855.569	2834.290	45.226	891.914	2851.128	33.930	926.276	2827.032	41.737	846.306	2691.624	119.636	873.214	2653.840	144.787	943.557	2703.228	100.440	695.695	3068.422	737.663	685.708	3124.046	762.880	707.188	3162.536	687.579	712.130	3107.492	660.272	866.916	3232.097	505.949	744.278	3214.757	484.397	758.231	3323.739	387.205	832.773	3610.090	340.463	0.000	0.000	0.000	794.349	3561.724	296.957	768.385	3428.158	413.430	932.415	2824.972	104.703	859.228	2812.947	127.785	936.239	2870.490	435.761	800.235	3235.652	398.517
43	0.21000	890.996	2934.219	1330.440	906.518	2892.130	1140.440	862.663	3035.207	1400.514	843.302	3090.886	1212.687	974.349	2952.859	941.097	790.367	2932.148	929.214	918.162	3104.336	983.419	823.263	3099.791	977.716	1009.029	3028.187	997.041	727.624	3005.525	980.048	1013.486	3020.721	1381.671	735.953	2961.625	1377.076	1044.405	2979.789	738.605	1046.298	3044.106	727.364	1023.087	3024.405	636.005	1032.717	2960.098	653.433	873.067	2957.852	467.346	988.709	2917.604	472.146	986.193	2872.025	339.048	979.418	2924.064	324.379	960.493	2896.862	247.995	966.795	2843.968	263.809	855.243	2819.115	44.251	891.141	2835.496	32.705	925.467	2811.212	40.401	844.528	2676.167	118.468	871.696	2638.564	143.850	942.032	2687.269	99.153	697.394	3050.340	735.169	677.934	3107.110	760.791	706.904	3143.847	684.157	712.844	3087.759	657.311	867.326	3210.906	502.649	744.706	3194.451	481.700	757.765	3305.746	388.372	833.065	3593.329	350.001	0.000	0.000	0.000	793.784	3546.538	305.492	768.367	3409.513	417.985	931.669	2809.194	103.576	859.253	2795.321	124.825	935.381	2853.552	435.533	799.812	3216.281	395.762
44	0.21500	891.387	2917.490	1328.534	906.289	2875.736	1138.075	863.293	3017.969	1398.963	843.696	3074.256	1211.391	972.198	2935.764	939.687	791.281	2915.912	927.980	917.504	3088.765	981.152	822.824	3084.166	975.509	1008.520	3012.696	995.192	726.996	2989.982	978.454	1013.966	3003.029	1379.657	736.150	2944.753	1375.506	1045.274	2963.996	735.552	1046.702	3028.284	724.779	1022.569	3008.869	633.436	1034.126	2944.782	650.041	873.609	2943.274	466.425	987.443	2899.062	471.328	984.879	2854.679	337.827	979.372	2907.352	323.824	960.200	2880.861	247.113	965.656	2827.660	262.439	855.102	2805.731	42.731	890.597	2821.672	30.966	924.802	2797.175	38.596	842.738	2661.987	119.884	869.916	2624.390	141.415	940.571	2672.852	96.857	695.898	3032.742	733.400	677.709	3089.389	757.738	706.522	3125.184	680.517	712.819	3068.826	654.476	867.749	3189.390	498.818	752.436	3171.473	477.939	757.202	3287.228	389.269	822.933	3578.175	361.158	0.000	0.000	0.000	794.327	3528.535	312.006	767.219	3391.198	423.306	931.004	2794.835	101.846	858.248	2782.192	123.850	934.424	2836.521	434.892	799.161	3196.556	392.664
45	0.22000	890.487	2900.086	1326.010	899.144	2851.633	1138.065	863.760	3000.683	1397.068	844.068	3057.762	1209.908	970.904	2919.366	938.173	789.429	2899.839	927.193	915.554	3073.008	977.996	822.265	3068.627	972.966	1007.945	2997.454	993.088	726.516	2974.432	976.578	1014.632	2985.368	1377.383	736.535	2927.764	1373.634	1046.223	2947.753	732.724	1049.353	3013.648	722.233	1022.154	2992.355	630.811	1034.978	2928.544	647.149	873.714	2926.774	466.490	986.482	2880.774	470.604	984.275	2838.478	336.391	979.144	2891.227	322.950	959.898	2865.844	245.851	964.733	2812.444	260.574	855.170	2793.844	40.544	890.138	2809.400	28.679	924.299	2784.727	36.202	842.155	2650.830	112.303	868.131	2611.726	137.929	939.083	2659.842	93.724	695.974	3014.593	730.910	676.959	3071.683	754.691	707.307	3103.941	675.319	712.690	3049.750	651.413	868.081	3167.567	494.480	752.816	3150.323	474.474	756.475	3268.166	389.955	832.868	3559.647	367.499	879.434	3565.907	330.241	792.667	3513.494	321.930	767.803	3370.749	427.231	930.420	2781.889	99.481	857.302	2769.862	121.582	933.234	2819.587	434.120	798.321	3176.528	389.263
46	0.22500	890.707	2883.058	1323.501	898.950	2835.696	1134.855	864.315	2983.423	1394.993	843.033	3042.173	1209.443	970.514	2903.632	936.570	789.014	2883.829	925.763	914.920	3057.745	975.216	821.626	3053.124	970.124	1007.413	2982.442	990.803	726.019	2958.951	974.352	1015.088	2967.601	1374.858	736.943	2910.816	1371.461	1047.465	2931.448	730.674	1049.330	2997.107	719.695	1021.973	2975.147	628.694	1034.880	2911.452	645.357	873.097	2907.913	467.257	985.510	2862.483	469.788	983.532	2822.820	334.441	979.107	2875.893	321.829	959.936	2851.927	244.367	964.246	2798.378	258.262	853.838	2782.510	37.123	889.928	2798.711	25.892	924.069	2773.809	33.321	840.281	2639.196	108.584	866.386	2600.387	133.509	940.214	2650.286	90.614	695.650	2996.710	728.118	676.534	3053.985	751.204	706.660	3085.531	671.371	712.208	3030.840	648.248	868.471	3145.552	489.675	753.282	3128.233	470.334	755.752	3248.405	390.293	834.082	3537.835	376.656	872.062	3540.560	347.156	793.155	3493.602	327.975	768.349	3349.648	430.707	929.895	2770.262	96.543	856.941	2757.709	117.763	932.374	2802.486	432.449	796.649	3155.865	385.424
47	0.23000	889.900	2865.650	1320.502	898.512	2819.556	1131.353	864.824	2966.224	1392.635	844.636	3024.659	1206.711	970.213	2887.975	934.794	789.651	2867.844	923.649	914.236	3042.523	972.132	820.935	3037.748	966.964	1006.761	2967.630	988.204	725.494	2943.479	971.808	1015.518	2949.850	1372.059	737.307	2893.957	1368.981	1048.514	2915.225	729.425	1049.426	2980.720	717.700	1021.978	2957.589	627.118	1034.356	2893.960	644.577	871.471	2886.253	468.445	982.347	2842.723	466.621	983.562	2808.048	332.266	978.664	2860.822	320.437	959.696	2838.626	242.562	963.363	2784.676	255.388	854.511	2774.190	34.232	889.943	2789.499	22.724	923.809	2764.277	29.903	839.167	2629.894	104.527	864.610	2590.316	128.421	939.125	2640.153	85.963	695.888	2979.700	724.821	676.143	3036.069	747.367	706.211	3066.622	666.912	711.662	3011.742	644.746	868.806	3123.299	484.369	752.377	3107.503	466.755	754.901	3228.009	390.250	833.137	3520.332	384.181	872.181	3520.756	355.667	792.642	3474.654	335.194	768.934	3327.821	433.638	929.506	2759.950	93.139	856.236	2748.422	114.944	928.425	2786.952	430.090	795.707	3135.344	381.582
48	0.23500	888.980	2842.385	1318.434	899.946	2804.637	1127.107	865.478	2948.968	1390.014	845.753	3007.660	1204.171	970.433	2872.637	932.846	789.380	2852.000	921.674	913.001	3027.580	968.544	820.164	3022.444	963.518	1006.101	2952.852	985.307	725.000	2928.057	969.009	1016.046	2932.121	1369.011	737.752	2877.077	1366.259	1049.177	2899.109	728.737	1049.514	2964.352	715.946	1021.878	2939.793	625.954	1033.955	2876.420	644.520	868.552	2861.355	469.771	980.337	2824.378	465.241	982.617	2792.884	329.460	978.580	2846.317	319.025	959.644	2825.945	240.621	962.516	2771.391	252.107	854.705	2766.494	30.661	890.019	2781.726	19.263	923.732	2756.151	26.118	838.335	2621.802	98.277	863.031	2581.364	122.410	940.916	2633.559	81.502	696.272	2960.686	721.233	675.636	3018.478	743.434	705.562	3047.920	662.352	710.962	2992.557	641.023	869.219	3100.862	478.732	751.693	3085.820	462.419	754.012	3207.030	389.760	834.402	3498.040	393.744	884.553	3501.151	360.397	792.005	3454.945	342.089	769.422	3305.353	435.892	929.368	2750.792	89.369	855.619	2739.833	110.915	926.402	2770.287	427.598	794.182	3114.223	377.411
49	0.24000	887.332	2825.366	1315.191	899.155	2787.636	1123.285	866.165	2931.892	1387.113	845.994	2992.026	1203.180	963.789	2852.480	930.169	787.600	2836.391	919.576	912.151	3012.659	964.959	819.184	3007.132	959.775	1005.504	2938.235	982.291	724.502	2912.597	965.805	1016.562	2914.401	1365.672	738.160	2860.322	1363.225	1049.423	2883.076	728.212	1049.482	2948.050	714.157	1021.419	2921.693	624.880	1033.260	2858.531	644.704	867.976	2842.949	469.354	981.308	2806.761	464.843	982.533	2778.555	326.637	978.214	2831.805	317.413	959.463	2813.608	238.416	962.318	2759.128	248.671	855.133	2760.145	27.481	890.517	2775.392	16.166	923.915	2749.234	22.323	837.074	2614.884	92.433	861.373	2573.636	115.735	940.996	2626.519	75.842	694.557	2943.125	718.624	675.213	3000.599	739.276	705.036	3029.023	657.505	710.230	2973.354	637.053	868.972	3077.897	472.661	750.782	3063.759	457.783	753.026	3185.445	388.799	834.939	3476.071	400.428	885.354	3480.505	367.274	791.069	3434.628	348.353	769.960	3282.125	437.607	928.994	2742.389	85.130	854.470	2734.550	107.822	925.310	2753.273	424.425	792.376	3092.597	373.038
50	0.24500	887.348	2808.772	1311.408	897.187	2771.106	1119.310	866.891	2914.799	1383.955	847.662	2974.405	1199.730	964.341	2837.269	927.742	787.530	2820.514	917.067	911.148	2997.046	961.045	818.287	2992.020	955.732	1004.881	2923.632	979.069	725.339	2896.380	962.214	1017.069	2896.578	1362.061	738.692	2843.516	1359.847	1049.500	2866.908	727.872	1049.242	2931.622	712.296	1020.707	2903.226	623.864	1032.431	2840.518	645.015	867.823	2823.969	468.492	980.909	2788.902	463.708	981.777	2763.986	323.277	978.398	2817.715	315.635	959.743	2801.974	236.144	961.820	2747.185	244.888	855.662	2756.122	27.153	891.230	2771.828	16.500	924.243	2744.807	20.711	836.032	2609.014	85.552	859.746	2567.046	107.498	940.293	2620.488	68.299	695.301	2925.060	714.453	674.878	2982.712	734.565	704.582	3010.153	652.369	709.424	2954.212	632.829	869.044	3054.947	466.425	750.429	3040.387	452.318	752.929	3162.012	386.536	835.433	3453.417	406.412	886.083	3459.072	373.540	789.867	3413.857	354.516	770.193	3258.453	438.546	929.669	2735.423	81.604	854.463	2727.180	103.690	925.169	2736.900	420.726	790.642	3070.527	368.535
51	0.25000	887.529	2791.561	1307.723	898.190	2755.176	1114.754	867.621	2897.732	1380.511	848.385	2957.977	1196.583	964.167	2821.466	925.004	788.240	2804.871	913.544	910.165	2982.066	957.069	817.297	2976.901	951.441	1004.076	2909.086	975.720	724.510	2881.230	958.454	1017.565	2878.787	1358.285	738.897	2826.975	1356.154	1048.940	2850.633	727.214	1048.765	2915.120	710.294	1019.974	2884.734	622.706	1031.206	2822.320	645.335	867.674	2805.207	467.397	980.486	2771.473	463.334	981.297	2750.054	319.822	978.564	2804.110	313.790	960.061	2790.845	233.801	961.561	2735.823	241.025	855.727	2753.087	26.250	891.294	2769.239	16.648	924.168	2741.758	19.102	835.236	2604.981	77.256	858.156	2560.791	97.026	938.643	2615.104	59.159	694.667	2907.965	710.637	674.383	2965.051	729.892	704.250	2991.107	647.006	708.607	2935.006	628.375	868.586	3031.530	459.932	749.135	3017.719	447.152	751.121	3140.257	385.180	835.835	3430.151	411.718	870.492	3432.192	369.403	789.119	3391.799	359.709	770.260	3234.310	438.870	929.717	2729.017	77.838	854.002	2720.240	99.151	924.435	2720.828	417.240	789.063	3048.223	363.875
