NO_OF_FRAMES	204
NO_OF_CAMERAS	24
NO_OF_MARKERS	49
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-21, 11:25:06.892	241101.86138800
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	calc_med_right	calc_back_right	calc_lat_right	forfoot_med_right	toe_right	forfoot_lat_right	mal_med_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_med_right X	calc_med_right Y	calc_med_right Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_med_right X	mal_med_right Y	mal_med_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
69	0.34000	908.087	2443.271	1325.604	900.153	2409.759	1132.860	925.212	2542.769	1399.171	940.242	2606.843	1216.291	1016.469	2474.781	928.959	834.086	2467.174	939.588	964.618	2622.988	984.218	872.250	2629.652	977.589	1057.802	2539.558	988.949	775.468	2547.958	990.546	1055.509	2464.978	1380.040	779.200	2528.773	1373.995	1083.010	2604.597	731.522	1083.467	2662.747	762.313	1060.091	2702.631	677.347	1064.155	2640.306	653.119	905.483	2754.203	517.781	1023.570	2751.595	492.757	1022.186	2877.311	422.022	1020.428	2897.931	472.048	1002.604	2971.390	437.606	1002.987	2948.859	385.805	911.908	3151.380	379.162	947.272	3156.132	391.033	982.005	3155.571	360.987	876.598	3127.787	221.381	886.003	3119.478	175.872	972.559	3139.874	222.493	735.034	2492.117	764.392	725.744	2546.641	749.263	745.567	2529.723	666.040	746.661	2471.512	679.168	786.268	2422.180	481.628	795.596	2357.997	354.117	789.998	2416.841	341.548	819.850	2399.519	257.655	809.199	2339.904	269.390	936.786	2285.987	62.483	901.279	2321.937	45.324	866.585	2299.942	48.656	932.601	2164.921	136.040	904.993	2125.426	162.264	839.230	2162.633	111.889	926.148	2289.413	138.398	854.178	2291.333	105.280	975.348	3098.984	342.460	905.522	3084.221	336.639	970.392	2766.278	415.841	837.629	2353.351	433.989
70	0.34500	907.757	2424.449	1323.957	900.121	2390.944	1130.545	924.455	2523.797	1397.690	939.986	2588.260	1214.936	1016.420	2456.195	927.769	835.162	2448.260	938.531	966.091	2605.789	982.962	872.107	2611.660	975.929	1058.100	2521.608	987.688	775.500	2529.453	989.210	1055.155	2446.320	1378.510	778.464	2509.628	1371.874	1083.428	2584.577	729.392	1083.397	2642.652	759.482	1060.023	2681.694	674.092	1064.319	2619.304	650.518	905.248	2731.123	514.541	1023.099	2728.998	489.902	1022.285	2856.546	424.362	1020.320	2875.244	475.252	1002.772	2950.055	443.691	1003.585	2929.594	390.995	912.879	3131.947	391.285	947.980	3136.854	403.438	970.321	3131.949	366.030	877.951	3113.403	232.957	887.212	3106.557	187.077	973.911	3125.667	234.667	733.772	2474.402	760.514	725.750	2529.324	746.278	745.255	2513.095	662.694	744.915	2454.554	674.969	786.013	2404.964	479.002	796.102	2339.057	353.228	789.693	2397.396	340.273	820.302	2379.973	256.901	808.278	2320.197	268.959	938.730	2263.779	62.745	902.767	2300.476	44.712	867.940	2278.752	48.046	933.162	2144.292	137.338	905.176	2105.095	163.603	840.779	2142.785	111.473	927.707	2267.369	137.246	855.203	2270.635	104.907	976.275	3081.121	353.319	906.684	3066.106	346.225	970.573	2745.011	412.953	837.906	2335.111	433.494
71	0.35000	907.503	2405.831	1321.898	900.584	2372.444	1128.406	923.936	2504.938	1395.999	939.730	2569.747	1213.422	1017.349	2437.946	926.992	835.664	2429.887	937.429	966.253	2587.780	980.739	871.993	2593.786	973.843	1058.402	2503.664	985.896	774.931	2511.506	987.203	1054.880	2427.684	1376.824	777.867	2490.491	1369.538	1083.534	2564.124	726.814	1083.584	2622.635	756.285	1060.087	2660.640	670.544	1065.066	2598.433	647.637	905.009	2707.817	510.933	1022.725	2705.919	486.623	1022.680	2835.166	426.393	1020.214	2851.934	478.046	1002.861	2927.815	449.155	1003.969	2909.360	395.685	913.670	3111.711	403.262	949.241	3114.008	414.454	972.631	3112.940	379.117	879.470	3098.065	244.033	888.632	3092.990	198.149	975.274	3110.213	246.583	732.478	2456.396	756.397	725.563	2511.783	742.977	744.827	2496.431	659.070	743.053	2437.702	670.454	786.160	2386.792	476.920	796.796	2320.459	351.899	791.360	2379.024	338.958	820.974	2361.338	255.289	810.647	2301.597	267.553	939.574	2245.338	62.495	904.350	2281.378	43.800	869.520	2259.636	46.660	932.705	2124.659	136.758	905.136	2086.221	163.171	840.366	2123.369	111.319	929.189	2246.695	137.414	856.267	2251.791	103.741	977.345	3062.280	363.865	906.283	3048.593	356.659	970.607	2723.492	409.760	838.253	2316.829	432.586
72	0.35500	907.272	2387.115	1319.630	901.119	2354.084	1125.727	923.658	2486.334	1394.099	939.440	2551.229	1211.679	1016.725	2418.763	925.134	836.042	2411.684	936.050	966.649	2569.871	978.409	872.046	2575.917	971.409	1058.759	2485.692	983.711	775.249	2493.381	985.752	1054.513	2409.121	1374.807	777.247	2471.265	1367.015	1083.598	2543.659	724.082	1083.943	2602.450	752.789	1059.017	2638.583	666.250	1065.076	2576.913	644.416	904.787	2684.379	506.915	1022.505	2682.487	482.937	1022.879	2812.853	427.908	1020.190	2827.739	480.164	1003.070	2904.677	454.115	1004.694	2888.274	399.997	916.345	3087.408	409.856	943.698	3094.951	427.107	973.395	3092.186	390.930	880.429	3082.721	255.420	890.690	3078.179	208.696	977.328	3093.905	258.413	731.227	2438.290	751.946	725.260	2494.105	739.455	744.216	2479.544	655.243	741.366	2420.718	665.842	786.568	2367.651	475.273	797.388	2302.246	350.248	791.907	2360.765	337.176	822.546	2343.053	253.151	811.230	2283.660	265.967	941.136	2228.352	61.147	905.887	2264.577	42.210	870.628	2243.269	45.082	933.383	2107.644	135.174	904.781	2068.731	161.013	840.559	2106.437	108.939	929.677	2230.263	136.226	857.067	2234.756	101.750	978.471	3042.379	374.090	908.151	3027.760	364.905	970.942	2701.342	406.191	838.432	2299.211	431.258
73	0.36000	906.937	2368.411	1317.138	901.460	2335.591	1122.789	923.231	2467.577	1392.044	939.181	2532.744	1209.736	1018.110	2401.022	923.931	836.196	2393.597	934.529	965.980	2551.421	975.153	872.189	2558.303	968.654	1059.108	2467.670	981.286	774.535	2476.133	983.172	1054.301	2390.640	1372.578	776.695	2452.481	1364.266	1083.707	2523.015	721.063	1084.529	2582.334	748.943	1059.270	2617.210	661.984	1065.529	2555.525	640.952	904.491	2660.550	502.379	1022.485	2658.716	478.882	1023.053	2789.738	428.863	1020.152	2802.827	481.733	1002.655	2880.372	457.743	1005.190	2866.249	403.694	917.219	3064.687	420.125	951.150	3069.860	436.421	974.108	3070.332	402.442	883.075	3064.968	265.316	892.933	3062.636	218.826	979.520	3076.487	269.860	730.043	2420.350	747.560	724.923	2476.322	735.824	743.320	2462.746	651.496	739.943	2403.649	661.098	787.250	2348.249	473.806	798.069	2284.492	348.184	792.099	2342.933	335.466	822.034	2326.186	251.794	812.244	2266.289	263.739	941.786	2212.751	58.512	907.074	2249.427	39.687	871.727	2228.134	42.290	933.471	2091.696	132.129	905.451	2053.409	157.808	840.945	2091.111	105.480	930.147	2214.783	133.894	857.926	2219.329	99.032	979.267	3021.076	383.768	909.120	3006.964	373.537	971.320	2678.790	402.233	839.234	2280.872	429.670
74	0.36500	906.819	2349.790	1314.294	901.324	2316.987	1119.524	922.877	2448.830	1389.745	939.417	2514.745	1207.683	1018.063	2382.387	921.703	837.154	2376.194	932.781	966.477	2533.593	972.021	872.449	2540.778	965.626	1059.534	2449.793	978.519	775.221	2458.340	981.689	1054.025	2372.173	1370.044	776.047	2433.844	1360.911	1082.637	2501.549	717.400	1085.263	2562.026	744.687	1059.518	2595.730	657.391	1065.524	2533.695	637.183	904.318	2636.404	497.355	1022.774	2634.474	474.765	1023.498	2766.056	429.306	1020.186	2777.176	482.598	1002.931	2855.513	461.166	1005.748	2843.293	406.705	917.927	3040.998	429.631	945.212	3048.194	448.390	975.126	3047.540	412.913	884.712	3047.425	275.298	895.500	3046.130	228.533	981.414	3057.743	280.792	728.671	2402.730	743.628	724.366	2459.100	732.355	741.464	2446.467	647.784	739.426	2386.175	657.212	788.072	2328.898	472.339	798.912	2266.967	345.672	792.541	2325.550	333.617	822.367	2309.806	249.723	812.874	2249.891	260.978	942.715	2199.468	55.057	907.800	2235.731	36.244	872.431	2214.839	38.765	934.119	2077.872	127.837	904.845	2038.594	153.061	841.189	2077.368	101.221	931.028	2200.649	130.191	858.735	2205.385	95.398	981.214	2999.538	393.145	910.050	2985.198	381.343	971.868	2655.739	398.011	840.308	2262.307	428.031
75	0.37000	905.611	2330.757	1311.086	901.624	2298.564	1116.127	922.368	2429.849	1387.115	938.428	2495.737	1204.993	1018.313	2363.973	919.378	836.350	2357.770	931.174	966.994	2515.754	968.583	872.836	2523.273	962.385	1059.933	2431.866	975.491	775.159	2441.360	979.059	1053.779	2353.914	1367.225	775.394	2414.842	1357.432	1082.672	2480.800	713.732	1085.916	2541.683	740.139	1061.301	2575.289	652.876	1063.359	2509.876	632.844	904.116	2612.174	492.076	1023.216	2609.933	470.176	1024.241	2741.905	429.134	1020.305	2751.034	482.752	1003.303	2830.035	463.972	1006.578	2819.854	409.113	917.957	3017.724	439.483	950.180	3022.260	455.546	982.811	3026.408	427.832	887.096	3028.436	284.331	898.580	3028.327	237.379	984.128	3038.304	291.361	727.144	2385.931	740.798	723.647	2442.264	729.090	741.090	2428.848	644.692	739.685	2368.500	654.794	788.462	2309.302	470.969	799.691	2249.768	342.814	794.407	2307.318	331.269	822.892	2294.342	247.518	813.776	2234.156	257.792	942.982	2187.931	50.743	908.033	2224.289	32.301	872.676	2203.337	34.778	934.614	2065.369	122.169	905.444	2025.914	147.106	841.649	2065.238	95.967	931.623	2188.063	125.806	859.013	2193.271	91.521	984.681	2978.384	402.157	911.114	2962.550	388.573	972.580	2632.272	393.584	840.747	2243.941	425.793
76	0.37500	906.517	2312.439	1307.920	902.749	2280.520	1112.474	921.770	2410.922	1384.177	937.772	2476.998	1202.178	1019.074	2346.056	917.036	836.231	2340.028	929.100	967.545	2498.020	964.948	873.265	2505.694	958.676	1060.313	2413.837	972.155	775.654	2424.478	976.003	1053.538	2335.638	1364.132	774.548	2394.905	1354.438	1082.843	2459.993	709.523	1086.618	2521.255	735.323	1061.536	2553.679	647.754	1063.879	2488.293	628.600	904.052	2587.550	486.301	1023.839	2585.213	465.302	1024.731	2716.963	428.280	1020.379	2724.494	482.006	1003.175	2803.819	465.539	1007.356	2795.681	410.948	918.432	2992.674	447.834	956.627	3005.240	464.254	983.770	3001.738	437.407	889.737	3008.298	292.574	901.617	3009.797	245.845	986.663	3017.696	301.315	726.310	2369.296	738.773	722.739	2425.745	726.012	741.400	2410.564	642.270	740.094	2350.405	653.577	789.634	2289.676	469.376	800.477	2232.780	339.541	794.763	2290.441	329.286	822.967	2279.607	245.319	814.449	2219.139	254.237	943.214	2178.484	46.645	907.895	2214.568	28.050	872.536	2193.519	30.326	935.489	2054.543	115.480	906.504	2014.629	139.965	842.193	2054.438	89.649	931.970	2177.116	119.384	859.384	2182.331	86.919	985.908	2954.458	409.960	911.730	2939.907	395.441	973.264	2608.366	388.760	841.292	2225.232	423.087
77	0.38000	906.318	2293.575	1304.387	902.396	2261.792	1108.485	921.106	2391.960	1380.992	937.231	2458.524	1199.163	1019.136	2327.669	914.107	836.017	2322.313	926.704	968.222	2480.294	960.923	873.908	2488.354	954.842	1060.757	2395.756	968.640	775.794	2407.334	973.240	1053.317	2317.507	1360.716	773.887	2375.624	1350.681	1083.177	2439.126	705.412	1087.113	2500.792	730.194	1061.715	2531.873	642.213	1064.166	2466.354	623.959	904.129	2562.755	480.166	1024.655	2560.019	460.054	1025.453	2691.599	426.900	1020.707	2697.250	480.792	1003.608	2777.111	466.953	1008.531	2771.001	412.150	918.898	2966.885	455.390	950.863	2972.749	474.839	984.400	2976.086	446.067	892.404	2987.276	300.212	904.755	2990.255	253.707	989.344	2996.130	310.595	725.983	2353.056	737.509	722.149	2409.027	723.227	742.408	2391.893	640.232	740.376	2332.154	652.894	790.335	2270.103	467.343	801.190	2216.147	336.009	794.999	2273.918	327.121	822.818	2265.391	242.842	815.168	2204.672	250.338	943.018	2170.192	41.078	908.004	2206.145	22.534	871.490	2185.689	26.737	936.832	2045.126	107.918	907.572	2004.390	131.656	842.764	2044.868	82.544	932.233	2167.155	113.963	859.419	2172.888	82.122	986.710	2929.431	417.012	913.294	2914.919	400.790	974.372	2584.089	383.789	841.915	2206.918	419.990
78	0.38500	905.499	2275.002	1300.627	902.518	2243.348	1104.378	920.453	2372.993	1377.536	936.664	2440.102	1195.917	1019.611	2309.671	911.062	835.611	2304.639	923.961	969.032	2462.651	956.623	874.767	2471.065	950.780	1061.041	2377.801	964.838	775.831	2390.419	970.033	1053.102	2299.385	1357.035	773.629	2354.991	1346.565	1083.324	2418.184	700.942	1087.091	2480.689	724.757	1061.712	2510.041	636.465	1064.413	2444.308	619.081	904.107	2537.619	473.606	1025.515	2535.081	453.860	1026.019	2665.893	424.636	1020.969	2669.775	479.189	1004.656	2750.272	467.811	1009.532	2745.719	412.788	919.209	2940.738	462.205	953.048	2942.739	481.829	983.761	2948.410	453.806	895.207	2965.087	307.025	907.976	2969.767	260.887	992.439	2973.584	319.161	725.762	2336.789	736.474	722.206	2392.285	720.602	743.830	2372.912	638.407	740.685	2313.539	652.526	791.120	2250.457	465.758	801.883	2199.700	332.091	793.517	2258.662	325.259	822.492	2251.822	240.133	814.280	2190.716	246.159	942.405	2162.898	34.210	907.524	2200.466	18.600	870.786	2178.854	21.909	937.549	2036.814	99.489	908.027	1995.289	121.973	843.251	2036.487	74.638	932.348	2158.325	108.195	859.325	2164.452	76.977	988.184	2904.052	423.421	914.251	2890.622	406.243	975.371	2559.437	378.619	842.327	2188.594	416.354
