NO_OF_FRAMES	221
NO_OF_CAMERAS	24
NO_OF_MARKERS	46
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-21, 11:26:02.260	241157.22938720
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	forfoot_med_right	toe_right	forfoot_lat_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
146	0.72500	907.294	2444.913	1322.783	919.321	2407.701	1133.813	880.270	2544.279	1397.306	865.192	2604.370	1211.964	988.321	2463.937	941.069	0.000	0.000	0.000	939.255	2617.843	980.643	846.092	2615.658	973.359	1029.360	2542.146	996.659	0.000	0.000	0.000	1032.485	2525.584	1378.136	754.026	2474.830	1368.661	1061.681	2478.832	753.657	1068.993	2540.731	732.303	1042.896	2510.514	646.388	1041.445	2447.094	673.395	891.182	2430.307	493.042	1002.761	2405.265	483.226	1009.095	2403.951	336.922	1005.340	2459.220	338.490	986.791	2454.953	256.910	991.034	2398.514	256.213	887.327	2439.581	38.997	921.124	2461.052	35.421	957.240	2437.441	38.834	887.722	2279.259	61.804	914.300	2237.019	76.164	981.522	2302.313	56.191	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	772.966	2827.359	374.215	762.403	2863.791	420.452	787.817	2934.753	371.024	777.785	2897.948	322.560	814.288	3020.681	84.314	905.375	3009.693	93.910	889.059	3004.185	223.349	818.924	3078.634	230.594	960.509	2414.904	93.754	887.521	2392.905	109.791	956.168	2356.154	432.537	811.748	2748.213	406.891
147	0.73000	907.610	2426.211	1323.708	919.761	2388.813	1135.076	880.592	2525.635	1397.955	865.152	2585.388	1212.525	987.566	2444.354	941.446	0.000	0.000	0.000	940.226	2598.829	981.897	846.047	2595.683	974.630	1029.491	2522.214	997.282	0.000	0.000	0.000	1032.886	2506.745	1378.793	754.314	2456.067	1369.764	1059.222	2460.184	753.416	1067.662	2521.408	733.034	1042.628	2492.991	646.507	1041.803	2429.877	673.025	891.431	2414.730	490.438	1004.243	2388.740	482.383	1006.548	2380.563	333.754	1003.920	2437.375	334.858	985.569	2428.996	253.543	990.754	2372.392	254.652	886.428	2402.046	36.753	920.628	2422.152	31.466	956.251	2399.567	36.422	886.305	2243.059	67.984	912.277	2201.919	84.384	984.442	2268.314	63.663	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	771.002	2812.443	376.978	762.395	2846.618	423.848	787.189	2919.875	377.369	778.488	2884.281	327.480	814.872	3011.985	94.198	906.042	3002.103	103.767	889.311	2994.991	233.138	818.891	3069.148	239.534	959.629	2380.458	93.213	886.839	2358.895	109.683	955.614	2338.764	432.348	812.883	2732.373	408.293
148	0.73500	907.454	2407.039	1324.222	919.646	2369.911	1136.076	880.916	2506.728	1398.414	865.312	2566.361	1212.886	987.357	2425.144	941.516	0.000	0.000	0.000	939.248	2578.564	982.298	846.190	2575.954	975.722	1029.403	2502.512	998.197	0.000	0.000	0.000	1033.364	2487.732	1378.994	754.611	2437.234	1370.569	1058.719	2440.855	752.752	1067.466	2502.985	733.529	1042.670	2475.691	646.331	1041.147	2411.878	671.136	891.756	2400.154	487.425	1004.550	2374.103	480.902	1006.842	2359.130	332.638	1002.582	2415.712	331.493	984.457	2403.497	250.589	990.980	2347.283	254.251	885.971	2365.183	35.719	919.694	2385.394	29.954	955.391	2362.254	34.220	884.915	2208.208	74.553	910.606	2167.656	92.694	982.408	2232.203	68.137	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	771.926	2796.827	379.435	761.585	2829.688	427.447	786.439	2904.403	383.578	778.825	2870.866	332.801	815.843	3002.619	103.343	906.965	2993.991	113.500	889.513	2985.099	242.789	817.892	3058.017	249.747	958.767	2345.150	91.407	886.034	2326.132	110.385	955.879	2321.205	431.812	813.853	2715.927	409.281
149	0.74000	907.607	2388.296	1324.504	918.407	2350.394	1136.674	881.280	2487.969	1398.628	865.528	2547.302	1213.016	986.968	2405.624	941.101	0.000	0.000	0.000	938.532	2558.495	982.659	846.288	2556.331	976.468	1029.638	2482.901	998.177	0.000	0.000	0.000	1033.725	2468.777	1378.971	754.763	2418.391	1371.073	1058.787	2422.726	752.440	1067.237	2484.743	733.736	1043.133	2458.812	646.076	1039.164	2392.782	668.579	891.127	2384.568	484.493	1005.372	2357.002	478.244	1006.889	2337.890	331.629	1001.741	2394.328	328.426	982.034	2379.331	248.033	989.232	2321.472	252.668	885.322	2329.757	35.108	918.652	2350.223	28.438	954.705	2326.316	33.609	882.932	2175.169	81.561	909.066	2135.087	101.579	981.124	2197.887	73.747	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	772.525	2780.987	381.853	761.446	2811.886	430.657	785.919	2888.525	389.720	779.487	2856.448	337.613	816.666	2993.412	112.266	907.923	2985.766	123.436	889.643	2974.285	252.249	819.157	3041.159	257.497	958.019	2312.084	91.809	885.492	2294.259	111.635	955.768	2303.602	431.054	815.034	2699.619	410.056
150	0.74500	907.891	2369.316	1324.736	919.765	2332.156	1137.020	881.596	2469.292	1398.633	865.769	2528.371	1212.984	986.538	2386.331	940.525	0.000	0.000	0.000	940.447	2540.138	983.148	846.405	2536.919	976.946	1029.899	2463.253	997.879	0.000	0.000	0.000	1034.095	2449.625	1378.712	754.935	2399.588	1371.324	1057.500	2403.638	750.857	1066.200	2466.465	733.341	1042.744	2441.387	644.989	1042.356	2377.113	668.696	890.933	2369.518	481.357	1004.959	2340.538	475.853	1010.806	2318.330	333.170	1001.217	2372.966	325.387	982.310	2353.068	244.989	991.950	2298.893	254.858	884.343	2296.165	34.902	918.603	2314.631	26.949	954.091	2291.798	33.561	879.930	2143.532	90.175	907.488	2104.035	110.413	979.237	2164.605	79.238	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	773.776	2764.220	383.910	762.005	2793.446	433.475	785.439	2872.063	395.538	780.090	2841.420	342.156	817.303	2984.287	121.324	908.357	2976.451	132.805	889.670	2962.550	261.413	818.771	3028.483	267.676	958.576	2278.782	92.656	884.526	2264.423	113.793	956.096	2286.112	430.226	815.561	2682.596	410.003
151	0.75000	908.575	2350.724	1324.480	918.994	2312.895	1136.848	881.880	2450.339	1398.414	866.055	2509.370	1212.720	986.323	2367.328	939.825	0.000	0.000	0.000	938.801	2519.575	982.683	846.578	2517.650	977.038	1030.188	2443.662	997.310	0.000	0.000	0.000	1034.520	2430.435	1378.123	755.229	2380.635	1371.270	1058.658	2385.853	749.939	1065.245	2447.614	731.951	1042.804	2424.380	643.719	1043.041	2359.858	666.466	890.453	2354.122	478.160	1005.651	2324.705	473.617	1010.055	2297.539	332.516	1001.070	2351.342	323.023	982.231	2328.914	243.416	990.414	2274.041	254.498	883.632	2263.510	35.477	918.095	2281.569	26.666	954.063	2257.462	33.263	878.563	2113.365	97.291	906.078	2074.683	118.972	977.829	2133.309	84.721	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	774.432	2747.384	386.027	764.198	2775.055	436.095	785.149	2855.056	400.937	780.403	2825.940	346.637	817.967	2974.918	130.467	908.481	2966.195	141.906	888.159	2949.184	269.189	818.667	3015.664	277.055	957.141	2249.724	94.023	884.021	2235.330	115.816	955.931	2268.639	429.417	816.056	2665.068	409.970
152	0.75500	908.848	2331.851	1324.162	918.773	2293.938	1136.312	882.207	2431.273	1397.911	866.370	2490.262	1212.131	985.515	2347.885	938.726	0.000	0.000	0.000	939.200	2500.410	982.380	846.777	2498.606	976.828	1030.415	2424.368	996.373	0.000	0.000	0.000	1035.041	2411.268	1377.477	755.405	2361.715	1370.965	1057.917	2367.383	747.433	1065.956	2430.017	731.098	1043.284	2407.612	642.140	1042.549	2342.019	663.314	890.262	2338.780	474.951	1005.898	2308.209	471.510	1010.492	2276.569	332.445	1001.556	2329.960	321.358	982.752	2304.866	242.441	990.343	2250.359	255.072	882.956	2233.101	36.740	917.516	2250.142	26.729	952.881	2226.730	33.536	877.531	2084.921	103.612	905.433	2047.828	126.849	976.515	2103.632	89.863	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	774.394	2730.386	388.234	764.597	2756.298	438.982	785.020	2837.516	406.029	780.700	2809.672	350.872	818.455	2964.846	139.068	909.234	2955.785	151.280	888.251	2935.603	277.679	817.963	3002.799	287.972	956.730	2220.934	95.442	883.643	2207.603	117.921	955.885	2251.115	428.680	816.310	2646.922	409.325
153	0.76000	908.895	2313.133	1323.706	918.485	2275.094	1135.440	882.643	2412.378	1397.186	866.675	2471.372	1211.520	985.542	2329.471	938.022	0.000	0.000	0.000	939.155	2481.160	981.630	847.000	2479.892	976.226	1030.599	2405.024	995.247	0.000	0.000	0.000	1035.361	2391.929	1376.524	755.563	2342.744	1370.475	1058.137	2349.194	745.007	1065.907	2412.165	729.613	1043.514	2390.675	640.049	1043.418	2324.821	660.490	889.943	2322.965	471.689	1007.147	2292.398	469.942	1010.127	2255.219	332.397	1001.066	2307.333	319.705	983.877	2281.900	242.474	991.394	2228.158	256.541	883.012	2203.736	38.102	917.186	2220.497	26.321	952.267	2197.243	34.215	876.424	2058.323	109.767	903.493	2020.997	133.856	975.362	2075.683	94.271	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	775.166	2712.196	389.961	765.014	2736.966	441.629	785.150	2819.290	410.945	780.847	2793.014	354.970	818.378	2954.686	148.025	909.280	2944.311	160.133	887.978	2920.964	285.644	818.084	2988.267	297.673	956.704	2193.946	97.083	883.296	2181.478	120.053	955.858	2233.355	428.325	816.465	2628.190	408.264
154	0.76500	909.238	2294.247	1322.945	918.720	2256.552	1134.363	883.089	2393.563	1396.301	866.988	2452.470	1210.613	985.324	2310.728	936.799	0.000	0.000	0.000	939.378	2462.232	980.851	847.131	2461.236	975.279	1030.645	2386.086	994.026	0.000	0.000	0.000	1036.012	2372.635	1375.206	755.688	2323.759	1369.755	1058.272	2330.875	741.836	1065.394	2394.027	727.389	1043.795	2374.325	638.117	1044.449	2307.815	657.290	889.777	2306.978	468.526	1007.203	2277.337	467.859	1009.986	2233.937	332.462	1000.365	2285.179	318.216	984.310	2259.030	241.920	991.173	2205.313	257.354	882.019	2177.602	38.978	916.833	2193.276	27.220	951.734	2170.417	35.870	874.553	2033.534	114.484	901.333	1997.230	139.359	974.501	2049.754	97.957	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	774.815	2694.163	391.791	765.517	2717.377	444.198	785.439	2800.535	415.609	780.908	2775.879	358.965	818.191	2943.668	156.948	908.875	2932.000	168.743	887.241	2905.191	293.067	818.393	2972.957	307.070	956.561	2168.112	98.234	883.063	2157.104	121.653	955.838	2214.994	427.881	816.292	2608.862	406.881
155	0.77000	908.169	2275.225	1321.350	918.567	2237.858	1132.982	883.578	2374.592	1395.138	865.028	2435.430	1211.150	985.108	2292.153	935.516	0.000	0.000	0.000	939.290	2443.375	979.644	847.279	2442.739	973.966	1030.617	2367.206	992.349	0.000	0.000	0.000	1036.518	2353.451	1373.709	755.884	2304.894	1368.767	1060.300	2313.171	739.256	1065.614	2376.449	725.193	1044.437	2356.609	634.500	1046.970	2291.354	654.753	889.876	2290.708	465.257	1008.610	2262.361	464.945	1009.836	2212.907	332.627	1000.829	2263.894	317.344	985.068	2236.701	241.532	991.261	2183.374	258.174	881.902	2152.832	39.524	916.750	2168.107	27.320	951.550	2145.085	36.140	875.321	2010.510	116.694	900.667	1973.784	143.244	970.771	2023.466	98.726	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	774.370	2676.270	393.565	764.348	2698.074	446.561	785.492	2781.485	420.286	780.995	2758.136	362.791	817.600	2931.691	165.586	908.902	2919.249	177.265	881.902	2886.993	297.106	818.487	2957.255	316.975	956.425	2143.980	99.044	882.963	2133.972	122.749	955.522	2196.401	427.747	816.004	2588.926	404.922
