NO_OF_FRAMES	231
NO_OF_CAMERAS	24
NO_OF_MARKERS	50
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-21, 11:16:30.856	240585.82040040
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	calc_med_right	calc_back_right	calc_lat_right	forfoot_med_right	toe_right	forfoot_lat_right	mal_med_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Mixed	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Mixed	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Mixed	Mixed	Measured	Measured	Measured	Mixed	Measured
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_med_right X	calc_med_right Y	calc_med_right Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_med_right X	mal_med_right Y	mal_med_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
108	0.53500	997.476	2780.846	1291.415	1006.003	2746.118	1094.484	977.984	2886.269	1372.727	967.541	2953.225	1188.395	1091.151	2827.595	904.268	899.861	2812.848	893.394	1034.868	2983.928	950.459	941.106	2983.708	943.773	1127.681	2903.950	963.567	834.758	2892.234	946.754	1129.721	2864.570	1351.039	844.337	2821.359	1337.685	1164.249	2841.578	727.965	1162.627	2899.834	698.520	1134.105	2852.802	618.580	1146.263	2797.687	653.424	993.613	2758.881	495.455	1105.577	2733.954	487.155	1112.533	2800.660	367.252	1106.975	2843.754	400.121	1097.282	2890.576	332.178	1097.129	2843.565	297.463	1017.134	3012.772	143.644	1029.909	3021.808	166.617	1083.610	3010.299	149.726	1001.794	2860.942	70.234	1032.021	2830.090	54.207	1071.604	2862.570	73.825	806.400	2925.110	708.963	799.506	2983.233	726.563	817.749	3015.822	648.245	821.095	2953.632	627.430	0.000	0.000	0.000	859.933	3038.874	439.888	875.879	3103.710	309.125	0.000	0.000	0.000	0.000	0.000	0.000	887.238	3167.140	250.391	1012.225	3321.162	101.453	0.000	0.000	0.000	939.935	3332.773	108.765	1020.723	3203.501	31.103	996.149	3159.869	19.704	928.388	3209.986	20.479	1005.601	3255.586	141.291	930.854	3280.437	126.007	1082.154	2958.419	181.226	1005.173	2938.678	173.023	1054.294	2700.824	417.224	914.388	3031.181	354.326
109	0.54000	998.152	2762.145	1295.557	1009.863	2727.802	1099.587	977.605	2867.396	1376.217	966.081	2933.566	1191.470	1080.561	2799.398	909.030	897.179	2793.301	897.950	1034.126	2963.200	954.599	940.182	2962.496	947.006	1126.561	2883.208	968.420	834.462	2870.496	949.797	1129.295	2846.571	1354.390	844.727	2801.810	1341.788	1163.776	2820.430	732.826	1162.295	2878.531	703.179	1133.499	2831.445	623.471	1145.512	2776.391	658.500	987.758	2733.304	501.931	1104.446	2713.450	490.243	1111.755	2773.823	365.625	1107.346	2818.852	395.873	1097.156	2861.907	325.546	1094.629	2811.713	292.803	1013.490	2973.758	131.680	1021.115	2979.179	153.223	1081.434	2970.866	136.003	1006.506	2830.281	64.412	1029.855	2786.027	53.128	1064.601	2816.578	65.781	806.416	2906.600	711.936	798.272	2965.901	731.737	820.312	2993.413	651.214	821.319	2938.083	631.324	0.000	0.000	0.000	860.717	3028.497	446.630	875.309	3095.990	316.546	0.000	0.000	0.000	0.000	0.000	0.000	886.193	3159.743	258.021	1010.387	3314.650	110.472	0.000	0.000	0.000	938.028	3324.359	118.922	1020.368	3201.824	32.667	996.419	3159.489	19.713	927.662	3208.155	23.363	1003.950	3247.366	146.873	930.819	3270.640	131.772	1080.475	2920.904	170.805	1000.137	2900.289	168.883	1054.048	2677.788	421.488	913.254	3022.353	360.496
110	0.54500	999.256	2742.509	1299.810	1007.604	2707.812	1103.254	977.038	2848.097	1379.138	964.518	2914.032	1194.484	1081.055	2779.164	913.728	898.983	2770.189	901.559	1032.874	2941.978	958.157	939.176	2941.295	949.968	1125.339	2862.748	972.847	834.133	2848.749	952.765	1128.753	2828.691	1357.739	845.372	2781.902	1345.705	1163.296	2799.445	737.482	1162.241	2857.596	707.732	1132.401	2809.936	628.097	1144.445	2755.159	663.215	986.630	2711.528	505.416	1104.253	2693.837	493.096	1111.299	2747.569	363.967	1107.534	2793.885	391.354	1096.767	2832.943	318.917	1093.209	2780.775	288.747	1012.970	2932.679	118.495	1013.910	2937.188	139.670	1079.248	2931.021	122.962	1003.604	2787.778	61.358	1027.493	2740.412	53.498	1058.586	2771.318	58.873	806.372	2888.136	714.741	798.550	2945.895	735.333	819.903	2976.906	656.727	821.483	2922.349	635.251	0.000	0.000	0.000	860.913	3018.030	453.644	874.362	3089.163	323.525	0.000	0.000	0.000	0.000	0.000	0.000	880.428	3152.798	266.775	1008.669	3307.011	120.421	0.000	0.000	0.000	936.165	3315.232	129.521	1020.176	3199.914	35.136	996.377	3158.946	19.567	927.311	3205.208	25.514	1002.376	3238.223	152.729	929.280	3261.423	139.080	1078.587	2883.068	160.897	997.580	2862.868	161.509	1054.061	2655.222	425.375	912.962	3013.337	367.001
111	0.55000	999.832	2723.478	1303.579	1011.129	2688.226	1109.365	976.726	2829.095	1382.185	962.725	2894.925	1197.525	1080.624	2758.699	918.110	902.897	2748.174	907.197	1031.623	2920.886	961.495	938.248	2920.054	952.756	1124.133	2842.380	976.924	842.430	2825.717	955.767	1128.274	2810.728	1360.712	846.209	2762.040	1349.570	1162.562	2778.420	741.888	1162.308	2836.683	712.439	1122.236	2782.271	631.938	1143.535	2734.283	667.479	985.772	2691.792	507.136	1103.851	2674.198	495.230	1109.652	2720.218	361.857	1107.591	2768.942	386.590	1096.382	2804.111	312.397	1094.143	2751.778	286.266	1007.463	2893.277	107.632	1009.751	2896.646	125.952	1076.506	2890.625	110.510	1000.832	2744.165	59.069	1023.925	2695.873	53.114	1053.702	2726.952	53.217	806.129	2870.129	717.916	798.069	2927.015	739.825	814.272	2963.029	662.621	821.666	2906.344	639.067	0.000	0.000	0.000	861.107	3006.499	460.279	875.683	3079.087	331.970	0.000	0.000	0.000	0.000	0.000	0.000	884.488	3142.522	273.231	1007.216	3298.335	131.334	0.000	0.000	0.000	934.643	3305.531	140.423	1019.417	3197.087	38.584	995.622	3157.579	19.446	926.211	3203.509	29.316	1001.007	3228.533	158.943	927.784	3251.706	146.791	1076.308	2844.783	151.445	999.683	2823.564	152.126	1053.903	2633.089	428.819	912.796	3003.393	373.485
112	0.55500	1000.861	2704.488	1307.341	1010.702	2668.757	1113.013	976.499	2810.042	1384.941	960.878	2875.966	1200.483	1080.329	2738.460	922.214	902.277	2728.124	910.755	1030.138	2899.920	964.080	937.619	2898.998	956.180	1122.987	2822.194	980.691	833.511	2805.693	958.299	1127.858	2792.485	1363.239	846.660	2742.354	1352.748	1161.407	2757.308	745.786	1161.786	2815.700	716.444	1122.152	2762.052	635.972	1142.794	2713.905	671.463	985.590	2672.386	508.824	1103.929	2655.020	496.959	1095.837	2683.797	356.864	1107.333	2744.145	381.767	1095.138	2774.823	305.678	1093.983	2722.470	283.561	1004.926	2852.060	97.053	1010.097	2858.365	112.063	1073.686	2849.917	98.995	997.992	2700.520	57.497	1018.420	2654.517	54.386	1050.092	2683.643	48.936	806.049	2851.431	720.497	797.698	2907.867	743.867	818.767	2944.244	667.610	821.788	2890.194	642.908	0.000	0.000	0.000	861.190	2994.177	466.478	873.145	3069.267	339.486	0.000	0.000	0.000	0.000	0.000	0.000	883.904	3132.722	280.659	1006.332	3288.864	142.897	0.000	0.000	0.000	929.575	3296.853	152.195	1018.533	3193.273	43.272	995.166	3155.760	19.876	924.825	3201.025	31.943	999.896	3218.524	165.880	926.404	3241.960	155.244	1074.481	2806.688	142.814	997.878	2784.648	146.581	1053.933	2611.739	431.828	912.500	2992.589	379.617
113	0.56000	1002.630	2687.634	1309.304	1014.421	2651.415	1116.816	976.258	2791.041	1387.397	960.756	2854.952	1201.542	1080.425	2718.804	925.544	901.361	2707.715	913.597	1029.181	2879.016	967.404	936.390	2877.910	957.913	1121.774	2802.362	984.025	833.014	2784.383	960.821	1127.484	2774.089	1365.560	847.363	2722.501	1356.017	1160.584	2736.713	749.517	1161.339	2795.091	720.188	1131.602	2748.874	639.893	1141.425	2693.618	674.522	986.210	2653.888	509.080	1103.060	2635.444	497.856	1107.725	2668.577	358.006	1107.023	2719.294	376.725	1094.282	2746.056	299.448	1092.311	2691.219	279.967	1001.737	2811.041	87.165	1016.405	2823.157	97.994	1072.148	2809.987	88.703	996.853	2658.037	55.961	1018.019	2609.231	54.550	1047.900	2641.553	46.147	805.591	2833.453	723.266	797.311	2888.750	747.682	818.743	2927.013	672.501	821.873	2873.688	646.442	0.000	0.000	0.000	861.284	2980.954	472.076	872.882	3058.213	346.401	0.000	0.000	0.000	0.000	0.000	0.000	877.499	3123.881	289.189	1005.863	3278.670	155.071	0.000	0.000	0.000	930.702	3287.507	164.567	1017.519	3188.727	49.116	994.401	3153.319	20.276	925.766	3197.682	36.949	998.898	3208.356	173.614	925.326	3232.180	164.092	1071.940	2767.954	134.720	995.792	2746.356	140.577	1053.902	2590.728	434.398	912.423	2980.922	385.389
114	0.56500	1003.136	2668.654	1312.151	1013.384	2632.054	1119.295	976.090	2771.889	1389.618	959.709	2835.353	1203.713	1082.191	2700.878	928.563	901.767	2687.217	916.167	1028.082	2858.145	969.963	935.487	2856.943	960.289	1120.543	2782.881	986.893	834.135	2762.748	961.604	1127.232	2755.499	1367.637	847.835	2702.791	1358.904	1159.666	2716.268	752.540	1161.078	2774.727	723.686	1131.728	2729.865	642.536	1140.197	2673.915	677.202	986.080	2635.355	509.420	1103.744	2617.171	498.793	1108.133	2644.146	356.391	1104.106	2692.955	371.213	1093.340	2717.427	293.346	1091.338	2661.494	277.070	1003.022	2773.711	75.411	1030.135	2791.835	83.740	1066.056	2766.314	77.847	994.377	2615.067	56.113	1014.933	2565.946	57.000	1047.269	2600.844	44.971	805.193	2815.254	725.996	796.883	2869.653	751.407	817.381	2912.139	677.658	821.810	2857.052	649.839	0.000	0.000	0.000	861.219	2966.935	477.221	874.726	3046.050	352.563	0.000	0.000	0.000	0.000	0.000	0.000	882.675	3110.712	294.931	1005.996	3267.781	167.967	0.000	0.000	0.000	930.570	3277.269	176.708	1014.489	3182.367	54.387	995.965	3151.798	21.449	924.421	3196.317	43.476	998.095	3198.005	181.697	924.481	3222.644	173.432	1069.540	2729.609	127.585	993.695	2708.023	135.261	1053.693	2570.238	436.612	912.524	2968.324	390.651
115	0.57000	1004.135	2649.608	1315.074	1013.967	2612.534	1122.936	975.903	2752.858	1391.556	958.637	2815.827	1205.688	1081.211	2681.050	930.948	900.617	2667.293	917.644	1027.823	2837.771	972.578	934.600	2836.056	962.591	1119.337	2763.747	988.972	839.896	2740.291	965.073	1126.953	2736.981	1369.727	848.173	2683.290	1361.814	1158.134	2695.966	754.870	1160.621	2754.707	726.696	1131.553	2711.067	644.734	1139.063	2655.005	678.924	985.818	2617.043	508.704	1102.949	2598.269	498.797	1106.707	2618.679	354.135	1106.086	2671.235	366.827	1091.965	2688.766	287.507	1088.554	2629.004	273.495	997.130	2728.675	69.218	1029.748	2751.830	71.398	1064.361	2725.475	70.058	990.785	2571.150	58.097	1012.851	2524.010	60.068	1048.342	2561.679	45.526	804.760	2796.949	728.338	796.226	2850.714	754.383	817.354	2894.683	681.817	821.751	2840.120	652.901	0.000	0.000	0.000	861.167	2952.140	481.769	875.203	3032.096	357.863	0.000	0.000	0.000	0.000	0.000	0.000	882.588	3098.262	301.527	1005.941	3256.605	180.002	0.000	0.000	0.000	930.641	3266.592	188.943	1016.390	3178.872	62.326	995.889	3148.545	23.482	924.617	3193.604	50.747	997.806	3187.974	190.038	922.683	3214.969	184.936	1064.886	2689.098	120.572	992.082	2669.725	129.936	1053.673	2549.852	438.494	912.687	2954.972	395.448
116	0.57500	1004.745	2630.675	1317.192	1014.100	2592.998	1126.110	975.809	2733.822	1393.206	957.483	2796.420	1207.427	1080.565	2661.443	932.762	900.658	2647.144	919.396	1026.803	2817.115	974.693	933.930	2815.200	965.537	1118.344	2744.320	990.576	839.227	2719.461	967.057	1126.543	2717.819	1371.074	848.529	2663.661	1363.986	1156.477	2676.061	756.585	1160.345	2735.205	729.214	1131.960	2693.294	646.481	1137.448	2636.284	679.884	986.778	2599.619	507.898	1101.346	2579.361	498.036	1104.603	2594.715	352.445	1105.308	2647.378	362.157	1090.217	2660.497	281.714	1089.434	2603.588	270.864	991.984	2688.641	65.045	1024.740	2711.018	66.005	1059.816	2687.874	65.370	988.403	2529.009	59.998	1011.122	2482.642	64.473	1051.262	2524.220	47.934	804.201	2778.435	730.581	796.008	2831.502	757.342	819.214	2874.102	684.370	821.619	2822.820	655.761	0.000	0.000	0.000	861.213	2936.285	485.559	874.312	3018.077	363.452	0.000	0.000	0.000	0.000	0.000	0.000	882.515	3085.453	307.833	1006.119	3246.676	191.267	0.000	0.000	0.000	930.987	3256.823	200.749	1015.192	3173.675	70.194	994.798	3145.445	31.014	923.774	3188.940	58.570	997.830	3178.324	198.654	921.974	3206.176	195.090	1061.422	2650.839	108.700	990.269	2631.438	126.225	1053.474	2530.297	440.004	913.275	2940.819	399.628
117	0.58000	1004.653	2611.540	1319.118	1014.079	2573.586	1128.683	975.714	2714.691	1394.590	956.428	2777.138	1209.037	1080.429	2641.628	933.923	899.797	2627.235	920.302	1025.933	2796.529	976.594	932.880	2794.388	966.830	1117.620	2724.658	991.557	839.024	2698.218	968.506	1126.525	2699.014	1372.643	848.882	2644.040	1366.196	1154.997	2656.718	757.716	1159.691	2716.008	731.160	1131.839	2675.568	647.605	1136.206	2618.129	680.374	987.527	2582.532	506.393	1100.679	2561.441	497.223	1103.223	2568.498	347.995	1104.381	2623.982	357.696	1088.708	2630.122	277.115	1089.565	2574.924	269.813	991.315	2646.495	57.828	1024.377	2668.612	56.621	1059.683	2641.152	56.443	986.339	2487.929	62.987	1009.277	2442.136	70.102	1085.437	2514.473	59.666	803.615	2760.001	732.671	795.301	2812.659	760.070	818.804	2856.798	688.430	821.268	2805.305	658.337	0.000	0.000	0.000	860.872	2920.332	488.896	873.612	3003.660	367.618	0.000	0.000	0.000	0.000	0.000	0.000	882.703	3072.165	313.661	1006.045	3238.272	201.983	0.000	0.000	0.000	930.856	3247.874	212.127	1014.925	3167.669	79.533	993.090	3139.346	39.056	923.843	3183.029	69.654	997.868	3169.294	208.099	921.873	3197.362	205.222	1062.587	2614.079	110.917	988.306	2594.468	122.968	1053.404	2511.341	441.115	913.611	2925.457	402.895
