NO_OF_FRAMES	455
NO_OF_CAMERAS	24
NO_OF_MARKERS	45
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-21, 11:23:03.575	240978.54400470
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_4	cluster_tibia_right_3	calc_back_right	calc_lat_right	forfoot_lat_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Mixed	Measured	Mixed	Measured	Measured	Mixed	Mixed	Measured	Mixed	Measured	Mixed	Mixed	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Mixed	Measured	Mixed	Mixed	Mixed	Gap-filled	Mixed	Mixed	Mixed	Mixed
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
1	0.00000	0.000	0.000	0.000	0.000	0.000	0.000	863.925	3722.176	1331.732	870.730	3799.170	1152.442	0.000	0.000	0.000	780.066	3665.083	871.046	926.660	3828.227	893.158	845.235	3838.215	900.007	0.000	0.000	0.000	737.824	3759.915	921.324	994.281	3673.870	1303.837	723.569	3670.885	1290.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	687.014	3708.315	697.747	686.629	3764.257	683.269	709.413	3743.607	601.049	705.628	3681.328	610.528	0.000	0.000	0.000	749.047	3638.278	411.820	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.00500	877.576	3608.953	1244.493	0.000	0.000	0.000	863.171	3706.360	1331.204	871.694	3783.284	1152.629	0.000	0.000	0.000	780.007	3649.471	869.996	925.289	3812.408	893.210	844.172	3822.243	900.034	0.000	0.000	0.000	737.318	3743.010	920.298	994.289	3660.112	1303.790	723.665	3652.775	1288.927	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	686.803	3695.589	695.552	689.330	3748.004	679.639	712.777	3729.067	596.669	705.849	3670.711	607.844	0.000	0.000	0.000	750.097	3633.845	404.465	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.01000	878.451	3592.919	1244.476	0.000	0.000	0.000	862.528	3690.559	1331.136	870.648	3767.290	1152.456	0.000	0.000	0.000	780.608	3633.596	869.192	934.776	3800.170	897.520	843.226	3806.209	900.030	0.000	0.000	0.000	736.901	3726.075	919.733	994.410	3646.606	1304.279	721.155	3638.928	1290.253	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	689.120	3679.433	690.795	689.692	3735.520	678.898	713.337	3718.722	595.506	705.899	3660.389	605.365	0.000	0.000	0.000	747.424	3628.156	403.325	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.01500	878.470	3576.980	1245.004	0.000	0.000	0.000	858.254	3679.070	1331.724	869.301	3751.198	1152.560	0.000	0.000	0.000	781.517	3617.534	868.649	934.476	3784.389	898.382	842.345	3789.960	900.423	0.000	0.000	0.000	736.679	3708.014	918.668	994.595	3633.165	1305.217	723.848	3617.296	1288.568	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	687.448	3669.041	690.402	688.105	3725.389	680.149	711.491	3711.081	596.357	704.275	3652.156	604.309	0.000	0.000	0.000	744.414	3625.076	402.215	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.02000	879.696	3561.396	1246.205	892.305	3538.774	1039.674	857.508	3663.266	1332.406	867.928	3735.007	1152.983	991.125	3606.908	863.555	782.753	3601.025	868.401	933.760	3768.373	899.328	841.501	3773.735	901.118	1010.147	3681.297	901.201	736.490	3690.918	918.769	994.855	3619.782	1306.580	722.351	3602.101	1290.091	1042.352	3687.086	635.631	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	689.547	3654.524	687.550	688.304	3713.394	680.398	711.526	3701.256	596.165	704.409	3641.912	602.562	0.000	0.000	0.000	743.692	3619.476	400.220	0.000	0.000	0.000	992.171	3688.112	375.735	0.000	0.000	0.000	945.896	3980.955	322.449	912.609	3977.594	301.093	982.380	3898.816	129.388	960.645	3902.298	273.638	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	785.558	3588.243	331.810
6	0.02500	868.175	3539.995	1242.550	894.674	3522.312	1039.758	856.113	3649.283	1332.606	866.265	3719.004	1153.813	980.772	3587.786	858.765	783.075	3584.670	868.492	933.419	3752.326	900.507	840.863	3757.492	901.908	1009.745	3665.384	902.470	736.727	3673.305	918.878	994.954	3606.356	1308.322	723.078	3583.976	1290.892	1042.255	3669.355	637.355	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	688.424	3643.915	687.963	689.083	3700.702	680.745	712.072	3690.609	596.023	704.678	3631.444	601.101	0.000	0.000	0.000	744.857	3611.558	397.446	0.000	0.000	0.000	986.765	3663.992	370.066	1001.061	3646.098	335.123	944.924	3954.538	310.165	911.904	3950.275	288.506	982.351	3863.434	121.013	963.234	3875.221	265.968	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	784.954	3583.871	329.486
7	0.03000	879.301	3529.106	1249.824	896.188	3505.624	1041.884	855.546	3633.712	1333.957	864.886	3702.598	1154.929	974.176	3569.631	856.228	783.146	3568.005	869.121	932.910	3735.966	902.077	840.329	3740.839	903.246	1009.583	3649.596	904.338	737.110	3655.501	919.315	995.042	3592.951	1310.320	723.185	3566.895	1292.510	1042.004	3651.447	639.461	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	688.736	3631.662	687.921	690.775	3687.022	681.030	710.666	3682.982	599.172	704.553	3621.260	600.612	0.000	0.000	0.000	744.374	3605.488	396.526	0.000	0.000	0.000	984.085	3640.352	368.333	1000.773	3620.736	336.658	944.151	3927.599	297.750	911.320	3922.286	276.084	982.042	3828.288	111.937	966.092	3848.115	258.226	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	784.706	3579.932	327.539
8	0.03500	878.621	3513.120	1251.551	895.968	3487.652	1044.674	855.033	3618.122	1335.678	859.175	3689.035	1154.495	974.493	3553.328	857.748	783.332	3551.138	870.034	932.345	3719.324	904.070	839.936	3723.732	905.056	1009.312	3633.494	905.950	736.910	3638.150	920.369	995.323	3579.661	1312.646	722.200	3551.956	1295.521	1042.069	3633.800	641.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	689.160	3619.021	688.354	688.902	3678.215	685.610	710.486	3672.467	600.664	704.215	3611.035	600.871	0.000	0.000	0.000	744.066	3599.377	395.936	0.000	0.000	0.000	984.210	3617.354	370.523	1000.386	3595.847	338.409	943.022	3900.244	284.870	910.515	3893.774	263.075	985.084	3789.919	103.724	968.861	3820.816	250.357	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	783.804	3576.717	326.285
9	0.04000	872.427	3494.478	1249.950	899.170	3471.984	1048.360	854.573	3602.512	1337.667	857.611	3672.551	1156.140	974.235	3536.638	860.039	783.658	3533.992	871.451	926.251	3704.344	901.532	839.493	3706.386	907.229	1008.706	3616.863	908.586	736.613	3620.693	921.705	1005.401	3573.820	1319.694	719.013	3539.769	1298.737	1042.061	3616.036	643.678	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	688.624	3608.116	690.832	690.360	3663.359	686.496	711.036	3659.930	600.925	704.024	3600.342	601.544	0.000	0.000	0.000	743.984	3593.704	395.591	0.000	0.000	0.000	987.220	3595.163	376.620	1000.273	3571.659	338.741	0.000	0.000	0.000	0.000	0.000	0.000	980.891	3755.322	99.974	971.180	3793.165	242.306	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	783.585	3573.510	325.434
10	0.04500	874.422	3478.887	1252.811	900.233	3454.858	1052.147	854.158	3586.786	1339.937	856.053	3656.178	1157.950	974.079	3519.892	862.390	783.667	3516.615	872.957	925.901	3687.645	904.163	839.189	3688.780	909.853	1008.687	3600.128	911.434	736.175	3603.034	923.225	1005.302	3560.610	1322.555	719.192	3522.959	1301.631	1041.929	3598.190	646.147	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	688.982	3594.960	692.108	690.766	3650.216	689.301	710.632	3648.992	603.464	703.884	3589.367	602.631	0.000	0.000	0.000	742.857	3589.999	397.030	0.000	0.000	0.000	993.196	3573.941	386.608	1000.101	3547.869	339.909	0.000	0.000	0.000	0.000	0.000	0.000	974.460	3721.006	94.132	972.690	3764.998	234.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	782.800	3570.788	325.284
