NO_OF_FRAMES	299
NO_OF_CAMERAS	24
NO_OF_MARKERS	50
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-21, 11:31:36.925	241491.89580800
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	calc_med_right	calc_back_right	calc_lat_right	forfoot_med_right	toe_right	forfoot_lat_right	mal_med_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Mixed	Mixed	Measured	Mixed	Mixed	Measured	Measured	Measured	Mixed	Measured	Mixed	Mixed	Mixed	Measured	Mixed	Mixed	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Mixed	Measured	Mixed	Measured	Measured	Measured	Mixed	Measured	Mixed
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_med_right X	calc_med_right Y	calc_med_right Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_med_right X	mal_med_right Y	mal_med_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
1	0.00000	0.000	0.000	0.000	924.133	3612.006	1093.127	891.403	3737.392	1365.875	863.676	3807.465	1185.827	962.973	3674.078	904.813	0.000	0.000	0.000	835.706	3830.729	938.801	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1028.488	3715.050	1332.545	769.055	3660.961	1344.696	0.000	0.000	0.000	707.441	3824.780	711.449	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1000.555	3649.847	299.170	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	964.148	3598.376	13.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	869.568	4279.223	510.938	846.938	4284.950	491.107	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	806.154	4087.183	481.142	901.661	3615.600	22.596
2	0.00500	0.000	0.000	0.000	923.458	3591.508	1088.191	894.431	3716.129	1361.886	867.324	3787.442	1182.727	960.904	3653.583	899.903	0.000	0.000	0.000	834.261	3811.396	933.517	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1029.332	3692.601	1327.882	768.923	3640.153	1339.854	0.000	0.000	0.000	706.943	3802.247	704.836	734.115	3830.849	626.402	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1001.569	3633.702	296.928	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	963.657	3595.366	11.761	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	868.767	4246.434	514.387	846.306	4251.948	495.094	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	805.247	4054.475	478.932	900.586	3610.210	22.924
3	0.01000	912.802	3595.207	1275.798	922.236	3570.682	1082.271	892.864	3694.707	1356.830	868.553	3766.905	1178.391	959.135	3633.083	894.907	985.364	3570.937	441.575	832.112	3793.672	927.851	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1030.218	3670.129	1323.244	768.763	3619.557	1335.034	0.000	0.000	0.000	706.605	3779.756	698.116	733.919	3806.492	618.864	0.000	0.000	0.000	0.000	0.000	0.000	771.320	3938.860	460.623	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1002.204	3617.812	294.689	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	963.020	3592.683	11.072	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	866.769	4213.545	517.255	818.300	4196.800	462.995	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	804.096	4021.462	476.347	900.672	3608.011	23.422
4	0.01500	911.572	3573.505	1270.240	922.185	3550.093	1076.436	893.727	3676.060	1352.325	869.479	3746.335	1173.918	957.293	3612.577	889.805	984.844	3550.443	438.072	830.890	3774.013	922.927	0.000	0.000	0.000	980.086	3686.293	927.846	0.000	0.000	0.000	1031.235	3647.552	1318.671	768.561	3599.048	1330.261	0.000	0.000	0.000	706.372	3757.212	691.110	721.560	3785.856	613.709	0.000	0.000	0.000	0.000	0.000	0.000	769.826	3905.929	455.715	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1001.250	3601.432	292.313	1001.817	3547.302	293.627	986.544	3543.381	215.789	982.688	3597.390	211.190	0.000	0.000	0.000	958.177	3588.041	9.734	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	941.721	4204.345	496.479	864.364	4180.080	519.149	814.714	4163.017	463.449	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	967.251	4162.572	469.821	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	803.371	3988.350	474.195	901.002	3606.927	24.509
5	0.02000	912.317	3552.595	1265.879	921.180	3529.752	1071.800	894.538	3654.888	1347.734	870.498	3725.795	1169.707	960.749	3591.182	881.768	985.043	3530.455	434.649	829.527	3755.297	917.706	0.000	0.000	0.000	978.594	3664.976	923.372	0.000	0.000	0.000	1032.349	3624.846	1314.292	764.904	3581.580	1325.973	0.000	0.000	0.000	706.312	3734.685	684.088	731.115	3759.715	604.927	0.000	0.000	0.000	0.000	0.000	0.000	767.950	3872.940	450.504	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1000.482	3584.875	291.857	1001.345	3530.782	290.428	944.997	3517.248	191.709	981.212	3584.314	210.452	0.000	0.000	0.000	950.789	3582.268	8.132	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	937.802	4170.505	497.457	861.487	4146.350	520.421	812.162	4128.993	463.685	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	964.365	4128.710	470.641	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	801.502	3954.703	470.686	901.098	3606.239	25.791
6	0.02500	910.565	3529.831	1259.008	920.582	3508.619	1063.906	894.298	3637.366	1343.788	871.814	3705.034	1166.256	962.912	3570.038	875.115	985.988	3510.679	431.470	828.329	3736.900	912.809	0.000	0.000	0.000	977.416	3644.036	918.785	0.000	0.000	0.000	1033.535	3602.030	1309.624	764.055	3563.476	1322.518	0.000	0.000	0.000	706.335	3711.907	677.263	731.723	3733.809	596.964	0.000	0.000	0.000	0.000	0.000	0.000	776.047	3836.992	443.788	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1001.245	3568.304	291.997	1007.730	3514.333	299.351	945.670	3476.756	172.756	980.676	3570.741	211.776	0.000	0.000	0.000	942.516	3576.194	6.650	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	933.394	4136.413	497.473	858.524	4112.724	520.388	809.490	4094.944	462.695	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	961.046	4094.623	470.544	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	799.218	3920.600	466.515	892.080	3606.281	46.477
7	0.03000	911.750	3508.959	1254.929	921.208	3488.781	1059.317	894.793	3616.133	1338.847	867.982	3687.743	1161.594	964.055	3549.224	869.611	977.986	3493.585	445.339	826.573	3719.141	908.142	0.000	0.000	0.000	976.223	3622.593	915.077	0.000	0.000	0.000	1034.784	3579.174	1305.616	761.897	3543.183	1318.098	0.000	0.000	0.000	706.330	3688.936	670.846	730.885	3708.253	589.431	0.000	0.000	0.000	0.000	0.000	0.000	763.403	3805.820	439.585	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	977.483	3556.300	322.176	1008.042	3497.033	299.027	927.959	3463.550	194.709	982.258	3557.842	212.652	0.000	0.000	0.000	935.019	3570.648	5.674	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	927.715	4102.741	496.192	855.596	4078.749	519.870	806.104	4060.677	461.348	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	956.872	4060.132	469.364	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	796.576	3886.373	462.419	876.665	3605.907	81.632
8	0.03500	909.831	3486.817	1249.795	919.193	3468.493	1053.462	895.598	3594.850	1335.438	868.361	3667.422	1159.155	964.449	3528.816	865.021	962.732	3478.651	473.198	824.938	3701.080	903.602	0.000	0.000	0.000	974.497	3601.591	911.528	0.000	0.000	0.000	1035.982	3556.358	1301.822	760.568	3523.092	1314.724	0.000	0.000	0.000	706.323	3666.002	665.295	730.102	3681.727	582.960	0.000	0.000	0.000	0.000	0.000	0.000	770.677	3769.733	432.736	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	936.146	3547.291	373.812	1007.131	3480.744	298.957	897.054	3470.343	246.509	983.377	3544.728	214.829	0.000	0.000	0.000	929.959	3566.459	5.589	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	921.782	4068.586	494.000	851.365	4045.063	518.693	803.658	4026.160	459.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	952.722	4025.530	467.402	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	795.592	3852.019	458.647	857.570	3603.968	126.317
9	0.04000	910.254	3465.132	1244.891	918.049	3448.311	1048.405	896.293	3573.368	1332.805	868.822	3647.363	1156.939	964.364	3508.892	861.112	941.917	3465.356	511.990	815.810	3685.141	893.831	0.000	0.000	0.000	972.602	3580.908	908.554	0.000	0.000	0.000	1037.073	3533.461	1298.257	759.404	3502.866	1311.708	0.000	0.000	0.000	706.296	3642.911	660.783	729.330	3655.002	577.745	0.000	0.000	0.000	0.000	0.000	0.000	767.980	3735.574	427.790	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	884.182	3539.705	438.325	1006.284	3466.151	298.632	858.147	3489.846	317.101	984.950	3533.089	216.417	0.000	0.000	0.000	928.995	3564.456	6.779	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	915.573	4034.384	490.859	847.524	4011.605	516.429	800.313	3991.754	455.968	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	948.197	3990.943	464.526	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	791.122	3817.626	453.950	837.513	3599.316	175.594
10	0.04500	908.762	3443.258	1240.518	916.071	3428.569	1044.187	898.169	3549.947	1332.104	874.445	3624.289	1157.372	964.073	3489.530	857.649	917.235	3453.177	558.658	821.498	3664.001	895.642	0.000	0.000	0.000	971.431	3562.918	903.272	0.000	0.000	0.000	1049.406	3516.674	1300.447	761.560	3479.996	1309.235	0.000	0.000	0.000	704.984	3620.901	658.101	728.580	3628.318	573.571	0.000	0.000	0.000	0.000	0.000	0.000	765.030	3701.274	423.361	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	828.541	3531.971	507.132	1006.444	3452.972	297.687	816.430	3514.770	395.426	984.634	3520.776	222.141	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	909.150	4000.294	486.595	848.897	3979.816	511.378	798.109	3957.300	452.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	943.500	3956.363	460.641	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	788.049	3783.058	449.903	819.210	3590.805	224.527
