NO_OF_FRAMES	313
NO_OF_CAMERAS	24
NO_OF_MARKERS	50
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-24, 11:26:55.189	500411.98294300
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	calc_med_right	calc_back_right	calc_lat_right	forfoot_med_right	toe_right	forfoot_lat_right	mal_med_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Mixed	Mixed	Measured	Measured	Measured	Measured
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_med_right X	calc_med_right Y	calc_med_right Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_med_right X	mal_med_right Y	mal_med_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
1	0.00000	0.000	0.000	0.000	0.000	0.000	0.000	901.757	3678.487	1506.143	935.176	3744.767	1322.682	0.000	0.000	0.000	793.169	3614.225	966.295	990.234	3784.379	1015.741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1063.834	3589.756	1504.261	740.909	3627.581	1441.884	1120.363	3532.259	737.050	0.000	0.000	0.000	1082.093	3520.925	630.643	1106.870	3469.876	663.600	0.000	0.000	0.000	0.000	0.000	0.000	1091.468	3530.516	478.286	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	760.825	3619.853	714.619	770.223	3676.379	703.909	795.519	3668.337	625.996	779.935	3611.859	628.222	931.591	3593.602	486.475	818.735	3594.408	467.752	815.642	3643.732	356.848	816.410	3696.077	388.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	890.114	3900.156	41.618	0.000	0.000	0.000	913.777	3638.228	32.526	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1078.093	3435.103	554.124	0.000	0.000	0.000
2	0.00500	0.000	0.000	0.000	0.000	0.000	0.000	903.229	3659.730	1507.816	933.877	3726.189	1324.370	0.000	0.000	0.000	788.633	3602.476	968.618	988.221	3767.353	1015.067	918.957	3783.159	1030.372	0.000	0.000	0.000	0.000	0.000	0.000	1064.616	3572.688	1505.894	741.453	3606.915	1445.387	1120.175	3510.016	743.253	0.000	0.000	0.000	1094.801	3501.842	642.394	1106.267	3445.526	671.960	0.000	0.000	0.000	0.000	0.000	0.000	1090.984	3499.783	483.138	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	760.142	3609.158	714.853	767.439	3668.586	706.668	797.435	3653.673	623.346	780.138	3600.574	627.280	930.787	3584.934	482.777	816.658	3590.303	466.711	815.486	3639.277	355.202	816.699	3690.331	384.823	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	890.702	3899.967	42.738	0.000	0.000	0.000	915.756	3640.437	33.375	842.743	3698.509	30.812	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1064.661	3402.975	552.619	0.000	0.000	0.000
3	0.01000	0.000	0.000	0.000	0.000	0.000	0.000	902.584	3641.096	1509.736	932.454	3707.450	1326.227	0.000	0.000	0.000	788.318	3584.496	969.298	987.095	3748.551	1019.434	907.569	3762.632	1024.334	0.000	0.000	0.000	0.000	0.000	0.000	1065.533	3555.806	1507.937	744.733	3582.291	1448.240	1114.251	3487.443	745.225	1097.747	3532.047	705.296	1080.582	3470.408	644.371	1105.532	3421.442	680.387	0.000	0.000	0.000	0.000	0.000	0.000	1090.797	3469.586	487.953	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1000.495	3682.898	270.886	0.000	0.000	0.000	0.000	0.000	0.000	760.373	3595.697	713.478	769.822	3652.716	704.902	794.977	3644.970	624.482	779.753	3589.796	626.491	930.409	3577.223	479.926	816.123	3585.156	464.893	815.381	3635.522	354.068	818.592	3682.266	384.359	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	891.163	3899.623	43.823	0.000	0.000	0.000	914.807	3638.605	33.045	842.533	3698.322	30.904	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1062.628	3375.641	561.547	856.441	3548.234	405.648
4	0.01500	0.000	0.000	0.000	0.000	0.000	0.000	907.489	3624.894	1513.141	931.301	3688.744	1328.498	0.000	0.000	0.000	790.507	3564.009	969.691	985.603	3730.196	1021.926	906.026	3743.868	1026.131	0.000	0.000	0.000	0.000	0.000	0.000	1065.353	3535.435	1508.857	743.888	3563.720	1453.141	1114.024	3465.273	751.834	1097.932	3509.032	711.038	1080.375	3446.010	651.620	1098.451	3396.971	684.245	0.000	0.000	0.000	0.000	0.000	0.000	1090.332	3439.684	492.658	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	987.291	3632.758	246.680	0.000	0.000	0.000	0.000	0.000	0.000	760.053	3584.166	713.872	756.535	3644.126	707.988	794.257	3634.650	625.153	778.516	3580.643	626.779	930.186	3570.083	477.534	815.924	3580.134	463.410	815.369	3632.209	353.382	816.445	3680.305	383.455	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	891.949	3899.492	44.778	0.000	0.000	0.000	906.425	3635.192	30.234	842.421	3698.285	30.832	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1061.477	3349.191	570.996	874.592	3538.239	399.196
5	0.02000	0.000	0.000	0.000	0.000	0.000	0.000	907.778	3606.335	1515.746	930.010	3669.948	1330.986	1060.425	3515.699	979.208	790.748	3544.704	971.165	984.667	3713.114	1022.801	914.126	3729.190	1035.261	0.000	0.000	0.000	0.000	0.000	0.000	1067.232	3522.031	1513.159	744.834	3543.192	1457.863	1113.903	3443.103	758.754	1098.139	3486.167	717.059	1073.932	3421.297	654.383	1096.884	3372.883	692.411	0.000	0.000	0.000	0.000	0.000	0.000	1090.027	3410.256	497.335	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	990.701	3608.346	214.377	1026.361	3566.361	184.047	0.000	0.000	0.000	760.651	3570.080	712.581	767.528	3629.601	708.237	793.979	3624.240	626.085	778.564	3570.225	626.327	929.891	3563.385	475.511	815.797	3575.501	462.257	816.964	3627.560	351.956	816.795	3676.934	383.759	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	892.534	3898.884	46.421	0.000	0.000	0.000	906.267	3634.921	29.930	843.550	3699.137	31.137	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1060.279	3323.472	580.165	857.778	3539.763	401.141
6	0.02500	0.000	0.000	0.000	0.000	0.000	0.000	908.691	3587.162	1518.515	934.186	3652.296	1335.537	1060.738	3497.069	982.836	792.731	3523.724	971.889	983.221	3694.275	1026.926	914.600	3708.388	1039.328	1183.074	3555.866	1073.887	0.000	0.000	0.000	1070.454	3507.329	1518.159	747.554	3520.500	1462.286	1119.785	3421.597	770.285	1098.268	3463.294	723.262	1079.705	3398.062	666.421	1103.285	3351.200	705.817	0.000	0.000	0.000	0.000	0.000	0.000	1089.857	3381.221	501.969	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	990.861	3566.574	209.709	1023.205	3520.041	185.084	0.000	0.000	0.000	761.092	3556.863	712.241	767.555	3616.601	709.933	793.696	3614.259	627.545	778.665	3560.433	626.167	929.303	3557.111	474.219	815.854	3570.991	461.558	816.927	3624.972	352.086	818.196	3676.108	385.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	893.004	3898.305	48.387	0.000	0.000	0.000	910.596	3629.616	24.424	843.091	3698.269	31.519	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1058.684	3298.068	590.352	856.709	3536.737	400.273
7	0.03000	0.000	0.000	0.000	0.000	0.000	0.000	908.892	3568.586	1521.533	932.811	3633.366	1338.263	1061.434	3478.404	986.743	792.500	3504.102	973.914	982.262	3675.415	1030.450	913.402	3689.093	1041.797	1173.814	3533.029	1075.804	771.969	3528.146	1065.277	1073.925	3491.576	1523.299	748.544	3499.983	1467.497	1113.017	3396.393	774.557	1098.700	3440.859	729.789	1079.711	3374.853	673.953	1102.668	3328.382	714.168	0.000	0.000	0.000	0.000	0.000	0.000	1089.380	3352.304	506.339	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	999.944	3520.142	197.747	1022.165	3476.483	183.384	0.000	0.000	0.000	761.509	3543.863	712.202	767.545	3603.597	712.017	793.528	3604.658	629.681	781.799	3547.661	623.213	928.827	3551.511	473.705	815.751	3567.164	461.704	814.726	3625.609	355.435	816.939	3671.733	385.395	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	893.022	3897.439	50.998	0.000	0.000	0.000	905.791	3634.632	29.092	842.865	3698.293	31.312	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1057.534	3273.659	599.166	855.932	3533.814	399.994
8	0.03500	0.000	0.000	0.000	0.000	0.000	0.000	909.133	3549.776	1524.642	931.350	3614.261	1341.226	1061.469	3459.376	990.690	790.835	3485.076	976.812	981.177	3656.296	1034.122	910.990	3670.430	1043.478	1164.737	3510.204	1078.022	771.027	3507.746	1068.156	1076.553	3475.019	1528.024	749.594	3479.370	1472.900	1119.571	3377.822	784.809	1098.994	3418.554	736.552	1079.587	3351.877	681.430	1094.337	3302.980	718.011	0.000	0.000	0.000	0.000	0.000	0.000	1089.126	3323.812	510.681	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	988.537	3481.252	201.144	1023.741	3434.134	180.319	0.000	0.000	0.000	761.779	3531.201	712.601	767.476	3590.804	714.558	793.580	3594.994	632.335	779.472	3540.072	625.921	928.619	3546.536	474.063	815.601	3563.656	462.532	814.521	3623.459	356.927	814.033	3669.342	386.134	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	892.953	3896.296	54.461	0.000	0.000	0.000	907.565	3634.465	28.959	842.635	3698.140	31.196	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1070.483	3255.832	617.057	855.057	3531.074	400.495
9	0.04000	0.000	0.000	0.000	0.000	0.000	0.000	909.383	3530.974	1528.003	929.897	3595.155	1344.313	1061.892	3440.318	994.717	791.654	3462.917	978.546	987.867	3640.243	1042.691	909.556	3650.484	1046.355	1154.724	3486.783	1080.166	770.467	3486.819	1070.676	1077.243	3457.901	1531.776	750.479	3459.032	1478.493	1119.535	3356.209	792.123	1099.175	3396.500	743.384	1079.976	3329.455	689.001	1101.222	3283.513	730.687	0.000	0.000	0.000	0.000	0.000	0.000	1088.893	3295.660	514.799	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	987.965	3438.095	197.268	1022.639	3390.264	178.504	0.000	0.000	0.000	762.289	3518.647	713.479	767.401	3578.355	717.662	793.581	3585.522	635.593	780.685	3530.234	627.155	928.375	3541.868	475.518	814.785	3562.154	465.752	814.653	3619.789	357.892	814.561	3666.827	388.689	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	892.745	3894.927	58.610	0.000	0.000	0.000	907.533	3634.242	28.706	842.258	3698.012	31.149	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1069.809	3232.713	624.643	854.401	3528.490	401.767
10	0.04500	0.000	0.000	0.000	0.000	0.000	0.000	909.645	3512.127	1531.466	928.314	3575.986	1347.485	1061.655	3421.071	998.731	791.355	3442.293	980.614	986.752	3620.799	1046.514	907.985	3630.412	1049.482	1137.936	3459.858	1082.387	770.358	3464.663	1072.991	1078.007	3440.927	1535.593	751.515	3438.515	1484.377	1119.235	3334.695	799.464	1099.150	3374.591	750.258	1079.861	3307.219	696.413	1100.929	3261.727	738.659	0.000	0.000	0.000	0.000	0.000	0.000	1089.075	3267.927	518.795	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	995.382	3392.870	192.318	1021.259	3346.447	178.136	0.000	0.000	0.000	762.563	3506.517	715.233	767.399	3566.026	721.233	793.509	3575.936	639.442	781.041	3520.854	629.132	928.214	3537.550	477.853	815.269	3556.971	466.954	813.592	3618.132	361.462	818.258	3664.023	393.336	836.358	3713.150	331.877	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	892.167	3893.113	63.240	0.000	0.000	0.000	907.394	3633.836	28.526	842.110	3697.717	31.162	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1059.008	3204.685	626.842	854.009	3525.846	403.800
