NO_OF_FRAMES	195
NO_OF_CAMERAS	24
NO_OF_MARKERS	49
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-21, 11:20:04.836	240799.80422580
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	calc_med_right	calc_back_right	calc_lat_right	forfoot_med_right	toe_right	forfoot_lat_right	mal_med_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_med_right X	calc_med_right Y	calc_med_right Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_med_right X	mal_med_right Y	mal_med_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
96	0.47500	955.613	2225.837	1262.770	969.008	2197.140	1062.178	940.494	2325.213	1347.715	939.988	2397.156	1167.448	1057.073	2272.786	873.471	864.129	2265.578	876.685	1005.929	2433.307	920.686	911.713	2437.619	921.089	1096.098	2350.658	928.570	808.094	2351.537	930.188	1092.925	2295.719	1327.812	802.741	2263.419	1312.395	1123.775	2292.176	687.948	1124.961	2355.269	665.799	1101.176	2317.533	579.690	1110.945	2257.064	608.454	0.000	0.000	0.000	1067.640	2200.457	440.180	1073.122	2298.777	361.891	1070.450	2326.474	408.781	1058.477	2396.641	364.468	1063.020	2366.605	316.578	977.234	2583.681	243.067	1009.269	2592.885	264.649	1045.236	2576.568	247.084	979.530	2491.530	111.259	1002.103	2457.807	82.682	1072.883	2497.791	139.077	775.656	2363.590	609.682	781.159	2423.930	615.978	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	833.476	2429.308	268.794	818.500	2472.887	303.207	846.810	2534.140	243.769	847.984	2486.147	204.402	970.647	2630.560	46.647	932.298	2668.081	59.343	898.037	2647.940	48.194	974.488	2491.280	25.405	947.195	2441.802	18.353	878.469	2500.496	14.369	965.132	2575.945	101.882	888.672	2596.566	81.308	1044.747	2516.717	253.547	970.652	2496.863	237.175	1013.762	2188.106	373.109	863.478	2363.127	327.497
97	0.48000	955.460	2206.860	1267.312	969.797	2177.554	1067.134	940.364	2307.112	1351.321	938.079	2377.636	1170.392	1056.162	2252.498	877.454	863.981	2244.567	878.758	1004.897	2413.104	924.867	910.316	2416.131	924.629	1095.092	2330.938	933.092	807.131	2329.836	932.425	1092.518	2278.553	1331.622	803.355	2243.590	1316.397	1124.393	2271.747	693.251	1125.333	2334.793	670.055	1099.791	2294.924	584.735	1110.229	2235.035	614.075	0.000	0.000	0.000	1067.896	2176.385	447.323	1072.283	2271.575	362.759	1070.165	2302.333	408.182	1058.733	2368.889	359.779	1059.193	2335.951	312.676	974.315	2549.188	228.818	1007.095	2560.484	249.317	1043.132	2542.166	232.197	977.314	2448.831	102.088	1000.355	2413.165	75.396	1074.275	2459.903	127.208	775.389	2349.163	612.237	780.394	2409.405	620.368	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	834.004	2425.438	272.368	817.925	2469.910	307.796	847.042	2530.898	248.574	846.979	2483.575	208.592	969.786	2628.488	51.736	931.456	2665.675	65.152	897.239	2645.848	53.116	973.721	2490.247	25.680	947.004	2441.388	18.321	878.531	2500.168	14.709	964.249	2573.013	105.268	887.595	2594.852	85.702	1042.766	2482.840	242.250	967.869	2464.121	228.410	1014.272	2160.833	379.639	864.494	2360.134	329.059
98	0.48500	955.919	2188.181	1271.891	970.419	2157.885	1072.139	939.826	2289.025	1354.717	936.204	2358.081	1173.510	1055.433	2232.299	881.933	863.531	2223.311	881.563	1004.004	2392.692	929.177	909.091	2394.679	928.245	1094.325	2311.043	937.485	806.215	2307.915	934.964	1092.074	2261.166	1335.531	804.075	2224.037	1320.278	1124.195	2250.788	698.443	1124.300	2313.185	674.137	1098.727	2273.227	588.311	1109.397	2212.930	619.835	0.000	0.000	0.000	1066.734	2152.161	453.870	1069.029	2242.997	362.012	1065.614	2276.097	405.563	1054.952	2339.377	353.378	1058.019	2306.062	309.721	974.245	2513.891	213.193	1006.177	2523.194	230.870	1041.109	2507.074	217.494	974.371	2405.578	93.767	997.685	2368.641	68.985	1067.289	2416.155	119.483	775.281	2334.460	615.298	779.872	2394.454	624.968	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	832.968	2422.301	277.050	817.590	2466.489	312.990	847.209	2527.219	254.153	845.874	2480.582	213.490	968.805	2626.037	57.480	930.475	2662.732	71.759	896.353	2643.394	58.868	973.414	2489.763	25.981	946.716	2440.781	18.619	878.658	2499.605	15.141	963.211	2569.565	109.215	886.670	2591.933	90.122	1040.798	2448.481	230.976	969.003	2430.660	218.469	1014.867	2134.627	386.148	864.904	2355.808	331.792
99	0.49000	956.475	2169.486	1276.499	970.574	2138.396	1077.544	939.136	2270.000	1358.737	934.370	2338.405	1176.746	1057.011	2214.485	886.579	862.983	2202.025	884.509	1002.266	2371.563	933.310	907.905	2373.209	931.980	1093.519	2291.393	942.007	805.185	2286.004	937.555	1091.680	2243.569	1339.489	803.396	2205.228	1325.152	1124.562	2229.966	703.604	1124.894	2292.722	678.889	1097.641	2249.813	595.741	1108.736	2190.974	625.585	0.000	0.000	0.000	1066.019	2129.019	460.079	1071.767	2217.293	364.264	1063.806	2250.136	402.647	1053.388	2311.850	348.160	1056.899	2275.995	306.545	971.130	2477.128	198.771	1003.558	2490.618	217.521	1039.202	2471.244	202.876	970.856	2362.243	86.306	994.534	2324.028	63.330	1069.107	2376.965	108.841	775.531	2319.189	618.375	779.158	2379.009	629.677	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	831.553	2418.453	282.919	817.825	2462.480	319.149	847.802	2523.387	260.447	844.801	2477.366	218.976	967.769	2622.994	63.629	929.410	2659.158	78.946	895.414	2640.154	65.219	972.312	2488.548	26.769	947.121	2441.066	17.801	878.648	2499.178	15.628	961.994	2565.633	113.837	885.744	2588.280	95.038	1039.051	2413.189	218.767	963.819	2393.566	208.640	1014.504	2108.610	392.070	865.040	2351.468	335.511
100	0.49500	957.515	2151.121	1281.090	971.344	2118.955	1082.430	938.567	2251.278	1362.556	932.608	2318.744	1180.041	1061.920	2196.691	891.389	862.469	2180.841	887.664	1000.255	2349.940	937.621	906.751	2351.614	935.699	1092.277	2269.675	947.807	804.161	2263.945	940.378	1091.244	2225.801	1343.487	803.954	2185.057	1329.903	1124.565	2209.005	708.752	1124.415	2271.124	683.607	1096.775	2228.714	599.758	1108.064	2169.026	631.334	0.000	0.000	0.000	1065.357	2106.518	466.127	1069.024	2190.150	363.243	1065.800	2227.768	402.832	1050.853	2283.411	342.625	1054.420	2244.888	302.919	970.749	2441.105	184.184	1004.973	2458.304	200.739	1037.056	2435.440	189.165	967.554	2319.462	79.408	990.734	2279.469	58.385	1062.604	2331.862	102.109	775.851	2303.599	621.427	778.669	2363.217	634.628	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	831.382	2414.069	288.599	817.996	2457.934	325.677	848.193	2518.858	267.200	843.688	2473.379	225.254	966.653	2619.519	70.242	928.221	2654.850	86.944	894.310	2636.389	72.417	969.794	2484.892	28.163	947.559	2440.253	18.288	878.518	2498.390	16.305	960.759	2560.833	118.588	884.673	2584.893	99.553	1037.200	2377.713	207.600	961.057	2357.472	199.613	1014.322	2083.363	397.860	865.038	2346.591	340.072
101	0.50000	957.211	2132.088	1285.892	971.547	2098.800	1087.092	938.098	2232.433	1366.306	930.840	2299.035	1183.387	1062.921	2176.912	896.141	861.816	2159.393	891.002	998.740	2328.588	941.988	905.636	2330.098	939.454	1091.281	2249.028	952.780	803.475	2241.866	943.469	1090.991	2208.207	1347.685	804.222	2165.397	1334.538	1124.702	2188.038	713.964	1124.144	2249.767	688.257	1095.896	2206.787	604.818	1107.514	2147.306	636.941	0.000	0.000	0.000	1064.658	2084.824	471.593	1068.207	2163.657	362.658	1063.797	2202.462	399.976	1049.313	2255.541	337.236	1054.144	2215.468	299.568	967.756	2403.444	170.122	1003.829	2422.341	185.891	1035.882	2397.131	174.857	964.242	2276.332	72.862	987.460	2235.096	54.176	1062.484	2292.110	92.009	776.488	2287.876	624.929	778.352	2347.504	639.560	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	829.323	2409.392	295.042	818.193	2452.906	332.796	848.216	2513.267	274.260	842.543	2468.875	232.012	965.446	2615.344	77.491	926.891	2649.658	95.726	893.089	2631.707	80.288	969.457	2483.816	28.646	947.661	2439.938	18.394	878.388	2497.452	17.026	959.419	2555.403	123.702	883.631	2579.789	105.266	1035.754	2340.744	197.231	959.552	2321.089	190.486	1014.016	2058.687	403.310	864.908	2340.894	345.297
102	0.50500	957.449	2113.156	1290.511	971.775	2079.615	1092.405	937.613	2213.787	1370.097	929.180	2279.315	1186.693	1066.157	2158.682	900.334	861.169	2138.024	894.669	997.821	2307.467	946.523	904.601	2308.487	943.201	1090.233	2228.183	957.794	802.611	2219.837	946.468	1090.460	2190.161	1351.815	804.472	2145.753	1339.069	1124.040	2166.670	718.883	1122.992	2227.952	692.479	1094.685	2184.477	610.123	1106.597	2125.522	642.338	0.000	0.000	0.000	1064.379	2064.006	476.577	1066.270	2136.152	361.360	1062.718	2177.880	396.936	1047.806	2226.774	331.156	1052.513	2184.931	295.447	965.362	2365.606	157.170	1001.975	2385.313	171.335	1033.762	2359.557	160.762	960.197	2233.169	67.532	983.043	2190.803	50.782	1059.097	2249.612	84.554	777.162	2272.061	628.520	778.140	2331.225	644.843	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	828.425	2403.863	302.095	818.527	2447.004	340.253	848.421	2507.236	281.629	841.594	2463.523	239.226	964.062	2610.584	85.131	925.756	2643.870	104.532	891.493	2626.102	88.423	969.655	2483.237	28.865	948.083	2439.787	18.307	877.990	2496.123	17.914	958.046	2549.093	128.862	882.619	2574.052	111.337	1033.147	2305.583	186.892	957.444	2284.666	181.916	1013.568	2034.502	408.381	864.906	2334.564	350.953
103	0.51000	957.578	2094.226	1294.938	972.323	2060.108	1097.414	937.130	2195.014	1373.969	927.641	2259.628	1189.961	1056.792	2133.725	905.158	860.641	2116.729	898.397	996.461	2286.112	950.711	903.746	2287.118	946.592	1089.216	2207.331	962.751	802.167	2197.862	949.684	1089.881	2172.019	1355.482	804.866	2126.160	1343.492	1124.010	2145.558	723.894	1123.136	2207.047	697.179	1093.913	2162.797	615.105	1106.332	2104.365	647.758	0.000	0.000	0.000	1063.561	2043.473	480.785	1066.617	2110.432	360.786	1061.835	2153.049	393.731	1049.878	2200.613	326.244	1050.773	2154.080	292.105	963.314	2327.374	144.486	1000.261	2347.727	157.252	1032.995	2321.854	148.250	955.291	2189.761	62.864	981.442	2147.501	47.826	1055.371	2206.774	77.433	777.778	2256.186	632.356	777.805	2314.961	650.306	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	827.711	2397.370	309.408	818.958	2440.470	348.106	848.837	2500.467	289.282	840.422	2457.226	246.884	962.555	2605.198	93.291	923.974	2636.667	114.687	890.247	2619.490	97.699	969.799	2482.180	29.564	948.446	2439.595	18.290	877.554	2494.582	19.485	956.536	2541.923	134.263	881.420	2567.329	117.767	1031.273	2268.961	176.565	955.547	2247.939	173.748	1012.922	2010.908	413.137	864.793	2327.416	357.200
104	0.51500	957.944	2075.419	1299.250	972.864	2040.695	1102.155	936.671	2176.188	1377.688	926.129	2239.879	1193.202	1046.133	2107.947	910.134	860.270	2095.659	902.365	995.294	2264.767	954.838	902.788	2265.514	950.043	1088.188	2186.496	967.542	801.641	2175.898	952.938	1089.293	2153.715	1359.052	805.229	2106.632	1347.698	1124.086	2124.765	728.866	1123.068	2185.833	701.957	1093.171	2141.477	619.997	1105.225	2082.719	652.653	0.000	0.000	0.000	1062.824	2023.451	484.488	1065.596	2083.802	359.472	1063.761	2130.524	391.056	1049.686	2171.912	320.686	1049.266	2123.868	288.556	961.044	2288.585	132.422	998.349	2309.668	143.673	1030.563	2283.042	135.270	951.239	2146.588	58.936	975.729	2102.717	46.023	1047.926	2161.528	72.075	778.690	2240.163	636.167	777.577	2298.547	655.834	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	827.059	2390.042	316.854	819.459	2433.123	356.099	849.567	2492.849	296.952	839.423	2450.050	254.544	960.903	2599.130	102.190	922.950	2629.135	124.890	888.081	2611.604	108.010	970.409	2481.170	31.003	948.974	2439.269	18.796	877.111	2492.254	21.232	954.817	2533.898	140.577	880.157	2558.904	125.780	1028.590	2231.492	166.677	953.461	2210.933	165.946	1012.253	1987.928	417.495	863.753	2318.860	363.792
105	0.52000	958.669	2056.718	1303.347	972.536	2020.575	1106.967	936.401	2157.351	1380.903	924.747	2220.195	1196.277	1045.489	2087.256	914.783	859.884	2074.595	906.358	994.063	2243.455	958.756	901.883	2244.056	953.547	1087.147	2165.756	972.112	801.294	2153.926	956.248	1088.760	2135.357	1362.391	806.541	2086.441	1351.115	1123.245	2103.360	733.335	1120.272	2162.708	706.133	1092.546	2120.255	624.617	1104.596	2061.782	657.533	0.000	0.000	0.000	1062.022	2003.641	487.633	1065.055	2057.827	358.274	1063.259	2105.748	387.321	1048.295	2143.540	314.518	1047.694	2093.608	285.192	958.639	2249.455	120.771	996.004	2271.049	130.597	1027.246	2243.080	122.421	947.418	2103.347	55.834	971.039	2058.291	45.301	1044.936	2118.961	66.276	778.952	2224.333	640.276	777.353	2282.072	661.487	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	826.191	2381.938	324.453	818.574	2425.783	364.811	849.829	2484.371	304.618	838.547	2441.927	262.219	958.356	2593.935	112.327	921.997	2619.729	136.259	886.417	2602.739	118.635	970.484	2479.941	32.800	949.160	2439.005	18.782	876.568	2490.096	23.637	953.305	2525.339	146.441	878.614	2550.617	133.082	1026.609	2194.322	157.306	951.676	2173.585	158.652	1011.741	1965.577	421.371	863.262	2309.853	370.289
