NO_OF_FRAMES	236
NO_OF_CAMERAS	24
NO_OF_MARKERS	46
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-21, 11:21:09.179	240864.14681330
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	forfoot_med_right	toe_right	forfoot_lat_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
176	0.87500	907.244	2747.928	1291.610	908.900	2707.856	1098.873	895.554	2854.874	1365.066	875.720	2910.898	1179.407	986.884	2767.675	913.973	801.959	2749.483	904.171	927.373	2927.332	937.932	833.246	2923.228	931.032	1020.530	2852.570	958.553	731.663	2831.711	945.725	1044.404	2822.652	1338.021	760.207	2795.698	1345.027	1058.022	2783.312	719.439	1063.366	2846.251	697.012	1032.786	2808.039	610.833	1037.076	2748.978	640.578	886.368	2745.501	453.715	994.854	2708.677	451.254	991.918	2700.794	304.681	992.233	2754.713	305.458	972.382	2752.760	224.417	971.444	2697.552	224.583	868.270	2748.811	22.649	904.534	2766.326	19.416	937.514	2738.969	17.173	845.374	2592.103	39.018	867.427	2544.065	48.609	949.991	2606.944	28.681	704.997	2836.177	696.995	694.473	2893.199	708.252	716.973	2913.748	626.080	719.398	2855.102	612.119	878.426	2924.537	431.956	754.829	2916.173	425.753	761.765	3033.480	367.402	765.339	3036.685	425.654	787.876	3124.244	422.510	773.011	3121.021	362.916	786.521	3329.549	234.253	872.893	3314.051	217.370	881.137	3259.082	330.929	816.688	3327.807	385.007	940.472	2713.180	65.253	864.974	2701.152	83.310	937.486	2659.488	398.604	794.436	2941.370	343.816
177	0.88000	906.915	2731.286	1287.226	908.039	2691.870	1093.645	896.088	2838.262	1360.840	876.234	2894.718	1175.808	986.746	2752.568	909.941	800.439	2734.007	899.675	926.750	2913.556	933.963	832.249	2909.154	926.248	1020.132	2837.256	955.364	737.118	2814.386	940.432	1043.809	2803.506	1334.136	759.860	2780.006	1341.510	1056.745	2766.530	716.481	1064.216	2829.376	693.792	1033.455	2790.728	607.622	1036.098	2731.728	638.057	887.791	2729.757	451.887	994.323	2691.506	449.146	991.144	2686.454	303.500	991.203	2740.450	306.564	971.343	2741.325	225.372	970.885	2686.435	223.643	868.092	2747.961	23.606	904.021	2765.596	20.789	937.267	2737.901	18.254	844.169	2589.391	34.521	866.525	2541.852	42.296	950.908	2606.665	27.452	704.927	2818.039	691.912	696.421	2869.747	698.601	716.601	2894.068	619.399	718.883	2835.219	606.606	877.608	2899.634	425.181	752.606	2891.967	420.203	763.056	3007.475	362.604	761.374	3011.625	423.099	785.729	3098.282	420.264	771.442	3096.186	360.773	782.396	3308.533	239.739	870.016	3290.642	218.776	879.956	3234.677	331.652	822.200	3303.107	391.048	939.456	2709.544	65.335	863.335	2698.734	82.213	938.643	2641.760	396.393	792.749	2916.488	339.428
178	0.88500	907.498	2718.345	1281.245	908.035	2677.265	1087.708	896.738	2821.569	1356.969	876.749	2878.656	1173.096	986.877	2737.925	905.913	800.078	2718.855	895.184	925.214	2899.514	929.295	831.234	2895.327	921.530	1019.892	2822.194	952.358	736.268	2799.534	935.528	1045.676	2786.667	1329.800	759.339	2764.080	1337.676	1056.146	2750.061	714.196	1065.073	2812.974	691.309	1037.094	2776.656	605.813	1036.951	2715.748	635.568	886.594	2711.567	450.908	993.803	2673.929	447.098	991.430	2672.978	303.418	991.064	2725.691	308.050	971.646	2729.831	227.263	970.276	2674.855	223.296	867.911	2747.141	24.410	903.874	2764.885	22.279	937.046	2737.137	19.426	844.670	2587.165	32.325	865.838	2540.211	38.555	950.465	2606.116	26.964	705.113	2799.615	686.838	696.188	2851.868	692.242	716.192	2874.384	612.707	718.518	2815.150	601.121	876.954	2874.446	418.593	750.170	2868.172	415.304	759.221	2982.859	359.542	755.229	2988.771	423.452	784.183	3071.997	417.787	769.844	3070.761	358.267	781.212	3279.960	238.311	867.675	3266.571	219.843	878.265	3209.571	331.943	820.576	3277.471	392.319	938.649	2706.742	66.414	862.770	2695.907	82.538	938.292	2624.822	395.104	791.558	2891.237	335.571
179	0.89000	906.482	2701.603	1276.893	906.687	2661.649	1082.780	897.366	2804.599	1353.834	877.325	2862.786	1171.003	987.028	2723.550	901.976	799.810	2703.706	890.323	924.303	2885.686	925.789	830.128	2881.624	916.920	1019.536	2807.474	949.596	729.225	2787.225	930.841	1046.515	2768.704	1326.072	758.515	2748.208	1334.265	1055.091	2734.261	712.381	1065.841	2797.841	690.382	1037.502	2762.393	604.446	1038.111	2701.083	633.446	885.535	2693.840	449.633	993.384	2656.179	445.102	987.587	2654.345	301.729	992.091	2711.117	309.567	972.440	2718.267	229.088	969.654	2663.501	223.281	867.714	2746.232	25.051	903.917	2764.104	23.734	936.987	2736.355	20.606	844.452	2586.062	30.459	865.678	2539.096	35.295	951.233	2606.604	26.877	705.099	2781.291	682.079	695.986	2834.822	687.188	715.836	2853.923	606.006	718.103	2794.972	596.190	876.644	2848.912	412.400	748.162	2843.095	409.798	758.008	2957.116	356.308	753.142	2961.959	419.819	783.289	3045.424	415.186	768.985	3043.654	354.864	778.076	3255.035	240.036	865.442	3241.672	220.356	876.951	3184.161	332.096	822.185	3250.120	388.309	938.218	2704.440	68.288	862.272	2693.205	84.412	937.819	2608.124	394.078	790.988	2865.704	332.196
180	0.89500	906.080	2684.794	1272.954	905.504	2645.567	1077.731	897.911	2787.385	1350.894	877.938	2846.996	1168.921	987.066	2709.103	898.287	799.551	2688.908	885.330	923.508	2871.418	923.287	828.828	2867.956	912.510	1018.770	2793.219	947.062	734.137	2770.519	925.726	1047.041	2750.224	1322.349	757.744	2732.429	1331.163	1056.817	2720.534	711.051	1065.591	2783.558	689.248	1037.120	2748.838	602.730	1038.864	2687.193	631.032	876.852	2671.292	451.053	989.097	2635.103	443.309	988.474	2641.791	302.024	993.707	2696.985	310.783	973.895	2707.244	230.721	969.910	2654.972	223.668	867.836	2745.390	26.028	903.965	2763.228	25.007	937.054	2735.461	21.607	844.166	2584.398	28.463	865.456	2537.206	31.269	952.206	2607.310	26.711	705.364	2762.738	678.480	695.263	2819.354	682.742	715.534	2832.622	599.839	718.277	2773.414	592.257	876.427	2822.854	406.876	746.531	2817.583	404.718	756.067	2930.672	353.502	751.379	2935.103	416.118	780.215	3018.461	412.495	767.278	3017.350	352.184	776.227	3226.764	238.678	863.491	3215.960	220.331	874.640	3157.800	331.748	820.865	3223.929	389.939	937.925	2701.970	70.245	862.175	2691.379	85.715	937.828	2592.659	392.474	790.435	2839.378	329.060
181	0.90000	905.362	2668.201	1268.921	903.518	2630.254	1072.549	897.768	2769.218	1348.815	878.532	2831.352	1166.907	987.426	2694.783	895.002	798.412	2675.061	880.593	921.963	2856.893	920.006	827.448	2854.106	908.385	1017.925	2778.975	944.921	726.862	2759.120	921.617	1047.882	2732.073	1319.143	756.965	2716.384	1327.993	1057.073	2706.002	708.680	1065.106	2769.657	687.677	1037.484	2735.629	601.147	1039.694	2673.836	628.589	883.660	2661.141	449.324	991.342	2619.419	442.221	986.102	2627.777	300.936	995.414	2683.555	311.680	973.606	2695.584	231.555	966.637	2640.999	222.378	867.906	2744.739	26.701	904.013	2762.627	25.910	937.000	2734.775	22.385	843.813	2583.235	27.435	865.496	2536.047	29.026	952.203	2607.062	26.671	705.253	2744.650	676.125	695.374	2801.517	678.274	715.506	2810.934	594.510	718.246	2751.607	589.614	877.228	2796.958	402.575	745.366	2791.669	400.093	755.287	2903.699	350.331	754.275	2904.110	408.710	777.923	2991.286	409.791	765.777	2990.447	349.209	774.044	3199.018	237.573	862.024	3189.686	219.797	872.808	3131.374	331.282	807.159	3197.762	387.695	937.638	2699.543	71.284	862.045	2689.005	86.949	933.237	2579.610	391.299	790.961	2813.329	326.274
182	0.90500	905.717	2651.941	1265.269	901.969	2614.859	1067.600	899.276	2752.374	1347.284	879.136	2815.740	1165.052	987.721	2680.168	892.062	796.441	2661.533	876.308	920.884	2841.942	918.535	826.055	2840.134	904.649	1017.164	2764.806	942.896	726.256	2745.370	917.384	1048.593	2713.776	1315.969	756.313	2700.166	1324.955	1058.045	2692.067	706.135	1064.421	2755.849	685.602	1037.028	2722.215	598.669	1040.092	2660.136	625.894	879.576	2642.853	451.050	990.961	2602.741	440.801	987.048	2617.210	300.071	995.817	2671.239	312.942	976.398	2687.357	232.731	964.564	2631.489	221.400	868.070	2744.491	27.332	904.024	2762.308	26.590	937.000	2734.427	22.902	843.629	2582.699	26.591	865.320	2535.370	27.079	952.340	2607.138	26.565	705.149	2726.614	674.551	695.540	2783.920	674.851	715.360	2789.788	590.445	717.837	2730.237	587.625	877.194	2770.484	399.406	744.786	2765.030	396.261	755.654	2876.244	346.775	751.712	2877.202	405.767	775.559	2964.026	407.134	763.954	2963.904	346.748	771.891	3170.823	235.740	860.640	3162.632	218.574	866.513	3101.590	329.577	811.740	3168.018	384.604	937.847	2698.011	71.819	861.910	2687.608	87.421	933.284	2565.809	389.245	791.065	2786.287	324.022
183	0.91000	904.997	2635.489	1261.941	900.626	2599.501	1063.232	899.906	2735.079	1345.769	879.940	2800.277	1163.386	987.898	2665.214	889.400	795.980	2647.388	872.754	919.826	2826.745	916.797	824.766	2826.026	901.390	1016.596	2750.608	940.828	726.009	2732.047	914.116	1048.980	2695.368	1313.117	756.067	2683.847	1322.246	1058.980	2678.564	703.391	1063.704	2742.215	683.031	1036.357	2708.309	595.888	1040.215	2646.427	622.934	876.675	2624.561	451.513	992.487	2589.280	439.457	986.622	2607.183	298.142	997.200	2660.390	312.535	980.550	2681.805	234.487	963.978	2624.222	220.001	868.520	2744.096	26.410	903.772	2762.547	27.199	937.385	2734.427	23.365	843.235	2582.626	25.757	865.231	2534.970	25.832	0.000	0.000	0.000	704.765	2708.490	673.157	695.460	2766.071	672.418	715.321	2769.202	587.364	717.105	2709.427	586.225	876.855	2744.264	397.469	744.213	2738.550	393.943	753.614	2848.899	344.188	752.701	2850.644	402.418	774.385	2937.221	404.758	762.745	2936.401	343.995	770.170	3141.783	232.793	859.431	3134.968	216.668	869.613	3077.800	329.305	809.092	3140.867	381.338	937.556	2696.355	71.975	861.692	2687.071	87.904	932.504	2553.325	387.343	791.802	2759.220	322.397
184	0.91500	904.049	2619.091	1258.702	898.435	2583.551	1059.065	900.305	2717.962	1344.479	880.704	2784.727	1161.910	988.199	2650.154	886.919	795.534	2633.038	869.096	919.569	2812.034	915.613	823.907	2811.769	898.660	1016.278	2736.142	938.730	725.810	2718.899	911.605	1049.053	2676.970	1310.471	755.872	2667.915	1319.863	1059.448	2665.054	700.218	1062.989	2728.772	680.122	1036.134	2695.000	593.161	1040.329	2632.945	619.948	879.378	2610.893	450.983	992.064	2575.984	437.556	985.822	2598.261	295.740	999.046	2651.570	310.612	978.725	2674.235	233.410	965.207	2619.483	218.448	868.385	2743.776	27.568	903.944	2763.250	26.741	936.959	2733.933	23.539	843.244	2581.968	25.305	865.732	2534.732	23.141	0.000	0.000	0.000	704.256	2690.408	672.385	695.496	2747.690	669.923	715.267	2748.974	585.103	716.171	2689.232	585.328	876.148	2718.307	396.736	743.876	2711.224	392.680	753.254	2820.516	341.226	750.375	2823.066	399.848	772.185	2909.630	402.276	762.000	2908.029	340.891	768.743	3112.094	229.072	858.259	3106.612	214.059	867.940	3050.416	327.557	805.891	3114.183	378.200	937.558	2695.104	71.831	861.578	2686.080	87.669	932.342	2541.923	384.473	790.065	2730.199	320.881
185	0.92000	903.254	2602.741	1255.956	898.045	2568.827	1055.528	900.212	2700.990	1343.125	881.445	2769.216	1160.668	988.041	2634.911	884.814	794.210	2618.717	865.928	919.090	2796.861	914.180	823.624	2797.198	896.580	1016.223	2721.351	936.851	726.131	2704.899	909.478	1048.915	2658.655	1308.233	755.938	2652.062	1317.781	1059.111	2651.306	696.791	1061.844	2715.211	676.950	1035.356	2681.939	590.144	1040.163	2619.865	616.671	876.538	2594.286	450.348	991.094	2564.513	434.526	986.843	2592.386	292.813	997.433	2642.257	309.629	978.174	2668.752	232.099	965.102	2614.766	216.023	868.372	2743.852	26.835	903.602	2762.293	27.885	935.282	2732.568	23.342	842.994	2581.775	24.697	865.323	2534.838	22.733	0.000	0.000	0.000	703.354	2672.573	671.713	695.393	2729.481	667.880	714.989	2729.129	583.205	715.298	2669.257	584.653	875.234	2692.499	397.011	744.566	2682.050	390.996	752.387	2792.976	339.779	748.523	2795.352	397.679	770.269	2881.984	399.965	760.299	2880.678	338.938	766.798	3082.875	225.321	857.245	3077.665	210.634	858.634	3018.043	322.911	803.522	3086.882	373.849	937.311	2693.872	71.454	861.461	2685.216	87.544	936.238	2530.368	381.203	790.716	2702.534	320.032
