NO_OF_FRAMES	221
NO_OF_CAMERAS	24
NO_OF_MARKERS	49
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-21, 11:22:06.183	240921.15183630
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	calc_med_right	calc_back_right	calc_lat_right	forfoot_med_right	toe_right	forfoot_lat_right	mal_med_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_med_right X	calc_med_right Y	calc_med_right Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_med_right X	mal_med_right Y	mal_med_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
90	0.44500	887.762	2367.644	1314.683	870.397	2333.140	1119.233	910.014	2469.393	1391.574	913.235	2533.087	1207.083	983.940	2399.702	918.342	797.053	2394.863	929.679	933.110	2554.475	969.383	839.771	2562.701	964.333	1025.480	2467.494	973.128	739.770	2480.111	981.241	1038.353	2395.746	1364.669	762.186	2457.488	1375.525	1052.791	2513.612	717.811	1057.344	2576.401	741.227	1036.214	2606.603	651.812	1035.180	2539.859	633.401	882.021	2651.958	483.054	1005.137	2633.009	462.565	1004.019	2710.194	341.243	1000.979	2753.269	373.563	984.482	2799.566	306.434	986.084	2753.394	272.962	892.530	2920.884	139.730	927.339	2934.777	152.827	959.641	2913.921	131.525	864.461	2809.854	34.757	881.522	2770.869	18.249	962.164	2814.908	37.844	695.554	2419.863	759.946	692.914	2471.835	734.912	718.941	2438.098	658.395	714.337	2383.011	682.156	756.683	2315.163	503.837	759.335	2341.137	364.732	749.375	2393.841	396.297	775.578	2437.795	321.501	766.190	2385.794	289.865	874.324	2498.393	100.168	840.123	2537.425	120.670	803.668	2519.634	112.795	864.112	2365.698	58.202	835.856	2320.174	48.667	771.209	2380.445	55.977	871.360	2446.148	152.372	791.793	2472.579	142.597	958.924	2859.121	152.243	884.610	2843.091	154.243	949.839	2619.898	388.613	802.353	2275.998	428.775
91	0.45000	887.628	2350.819	1318.186	869.661	2315.357	1123.126	909.631	2452.133	1394.206	913.529	2515.272	1209.519	982.901	2380.478	920.949	796.782	2376.610	933.579	933.070	2535.348	972.094	840.047	2543.783	967.406	1025.109	2448.336	975.788	739.771	2462.297	984.755	1037.586	2378.084	1367.760	761.945	2440.612	1378.018	1053.299	2498.076	720.817	1056.936	2559.775	745.443	1035.712	2591.557	656.602	1038.063	2526.887	638.944	881.411	2639.517	488.580	1004.861	2621.524	467.856	1004.093	2700.651	347.533	999.750	2743.546	380.068	983.906	2789.893	312.866	986.328	2743.851	279.197	894.174	2907.953	148.711	927.561	2924.407	164.397	959.808	2904.804	141.705	864.256	2806.495	38.196	881.701	2769.471	18.664	962.385	2812.040	41.677	695.475	2400.719	764.151	692.023	2452.533	739.088	717.899	2419.090	662.501	714.170	2364.260	686.343	755.694	2299.306	505.350	759.668	2318.584	364.363	747.133	2371.697	392.569	775.451	2412.540	315.490	766.091	2359.032	286.924	876.047	2461.188	89.429	840.985	2500.422	109.110	805.484	2481.558	102.006	865.707	2325.914	56.782	837.890	2279.016	51.772	772.914	2340.312	53.042	872.037	2411.244	147.825	796.234	2436.921	134.437	959.103	2849.769	159.461	884.857	2833.568	160.341	949.805	2609.364	393.332	802.044	2257.175	431.297
92	0.45500	886.923	2333.632	1321.257	868.934	2297.559	1126.867	909.231	2434.900	1396.585	913.775	2497.435	1211.700	982.659	2362.070	923.541	796.585	2358.467	937.122	933.131	2516.295	974.712	840.312	2524.978	970.247	1024.773	2429.200	978.380	739.918	2444.656	988.190	1036.511	2360.184	1370.672	761.663	2423.604	1380.257	1053.315	2481.975	723.857	1056.653	2543.022	749.485	1033.856	2575.345	661.044	1037.642	2512.029	642.418	881.018	2626.070	493.653	1004.566	2609.265	472.740	1004.024	2690.441	353.562	998.695	2732.831	386.362	983.560	2779.765	319.273	986.505	2734.000	285.390	893.687	2898.669	160.164	927.612	2913.789	175.942	959.810	2895.647	152.152	864.928	2802.310	42.821	882.115	2766.939	19.382	962.012	2808.776	46.144	695.368	2381.965	768.235	691.177	2433.228	742.811	716.958	2400.476	666.219	714.199	2345.534	689.933	756.206	2282.800	506.308	759.155	2296.083	363.579	747.416	2350.816	388.510	775.461	2387.299	309.452	765.964	2332.287	283.856	876.282	2424.814	81.767	842.688	2463.226	98.555	806.784	2444.239	92.125	867.649	2286.057	56.747	840.306	2239.064	54.174	774.861	2299.994	50.788	872.812	2376.553	142.558	798.116	2401.468	127.075	960.349	2838.322	166.239	885.170	2823.757	166.804	949.859	2598.184	397.780	801.155	2238.813	433.486
93	0.46000	886.398	2316.947	1324.153	868.228	2279.688	1130.369	908.801	2417.590	1398.735	913.860	2479.593	1213.740	982.236	2343.488	925.724	796.394	2340.412	940.140	933.193	2497.314	977.128	840.574	2506.136	972.856	1024.483	2410.161	980.844	740.275	2425.922	991.243	1035.624	2342.450	1373.332	761.371	2406.599	1382.256	1053.243	2465.561	726.659	1056.434	2526.316	753.316	1034.680	2560.974	665.653	1036.969	2496.695	645.646	880.838	2612.652	498.499	1003.821	2595.988	477.110	1003.757	2679.481	359.327	998.205	2721.842	392.502	983.379	2769.088	325.667	986.421	2723.495	291.350	893.704	2888.116	171.522	927.356	2902.967	187.666	959.546	2886.448	162.723	865.265	2797.740	48.141	881.044	2764.875	20.073	968.019	2812.065	49.539	695.524	2362.998	771.714	690.279	2414.286	746.605	716.056	2382.254	669.682	714.349	2327.163	693.032	755.315	2267.079	506.938	758.803	2273.991	362.487	746.879	2329.908	384.337	775.360	2362.083	303.431	766.050	2305.630	280.925	877.053	2386.974	73.080	843.866	2425.517	88.949	808.234	2406.153	83.112	868.814	2246.107	57.668	841.369	2199.032	57.479	776.541	2260.123	50.181	873.721	2341.628	137.885	799.101	2365.509	120.334	959.268	2831.079	175.104	884.858	2814.816	173.687	949.831	2586.305	401.906	800.128	2220.766	435.442
94	0.46500	885.921	2299.841	1326.509	867.687	2261.977	1133.392	908.346	2400.251	1400.591	913.891	2461.822	1215.520	981.916	2325.102	927.697	796.189	2322.237	942.766	933.389	2478.515	979.412	840.970	2487.659	975.413	1024.175	2391.180	983.040	740.405	2408.208	993.947	1034.702	2324.758	1375.693	761.007	2389.575	1383.993	1051.421	2450.898	729.244	1056.070	2509.454	756.950	1034.138	2545.432	669.852	1037.273	2481.757	648.973	880.695	2598.438	502.624	1003.467	2582.408	481.155	1003.432	2667.870	364.661	998.115	2710.051	398.378	983.148	2757.848	331.991	986.350	2712.737	297.285	893.438	2877.155	182.396	926.925	2892.155	199.168	959.180	2877.245	173.255	865.426	2792.526	54.640	881.051	2761.724	20.116	967.324	2808.469	55.510	695.753	2344.157	774.688	689.505	2395.617	750.039	715.429	2364.507	672.688	714.709	2309.192	695.520	754.286	2251.457	506.851	758.885	2252.083	360.953	745.920	2309.035	379.994	775.186	2336.790	297.529	766.223	2279.174	278.156	879.327	2348.392	68.543	845.126	2387.783	80.258	809.699	2368.217	75.308	870.871	2207.190	59.631	843.769	2160.336	61.661	778.598	2220.711	50.365	875.024	2307.239	134.173	799.207	2329.768	115.092	959.212	2821.973	183.296	884.590	2805.538	181.281	949.702	2573.737	405.601	799.281	2203.105	436.862
95	0.47000	885.230	2282.595	1328.749	866.978	2244.250	1136.330	907.852	2382.995	1402.263	913.865	2444.060	1217.072	981.706	2306.772	929.468	795.907	2304.263	945.114	933.466	2459.718	981.508	841.288	2468.859	977.526	1024.052	2372.240	985.052	740.377	2390.583	996.112	1033.857	2307.059	1377.826	760.612	2372.412	1385.446	1051.471	2431.811	730.716	1055.823	2492.541	760.359	1032.231	2528.482	673.480	1035.857	2465.248	651.785	880.661	2584.041	506.519	1003.483	2568.597	484.879	1003.074	2655.628	369.575	998.144	2697.432	404.005	983.104	2746.163	338.260	986.001	2701.486	302.925	892.831	2867.118	192.613	926.293	2881.881	209.842	958.623	2868.106	183.291	866.355	2787.047	59.631	881.284	2759.020	22.790	960.264	2796.907	64.309	696.107	2325.522	777.082	688.903	2377.060	753.122	714.801	2347.465	675.162	715.233	2291.827	697.401	753.467	2236.026	506.598	758.401	2230.340	359.590	745.105	2288.273	375.210	775.209	2311.402	291.469	766.112	2252.886	275.381	880.030	2312.622	66.227	846.579	2350.317	72.614	811.307	2330.186	68.228	873.055	2168.750	62.772	846.016	2121.926	67.648	780.356	2181.551	51.605	876.142	2272.281	129.260	801.108	2294.439	110.145	958.902	2813.042	191.578	884.103	2796.263	188.459	949.420	2560.473	408.792	798.504	2185.817	437.930
96	0.47500	884.742	2265.683	1330.515	866.305	2226.464	1138.882	907.269	2365.607	1403.579	913.776	2426.277	1218.348	982.370	2288.402	930.718	795.697	2286.225	946.802	933.606	2441.062	983.438	841.544	2450.243	979.364	1023.531	2353.074	986.658	741.656	2371.328	997.544	1033.046	2289.467	1379.656	760.208	2355.288	1386.572	1051.399	2414.982	733.072	1055.145	2475.373	763.453	1032.876	2513.410	677.148	1036.158	2449.661	654.524	880.755	2569.367	510.021	1003.069	2553.835	487.903	1002.410	2642.564	373.915	997.879	2683.713	409.194	982.974	2733.869	344.466	985.533	2689.945	308.301	891.777	2858.914	202.644	923.055	2875.039	218.210	957.819	2859.891	192.891	865.479	2782.774	67.521	881.480	2755.401	29.820	960.822	2792.494	72.088	696.463	2307.174	778.944	688.290	2358.996	755.861	714.188	2331.086	677.282	715.746	2275.041	698.544	752.807	2220.552	505.829	756.591	2208.772	357.850	745.806	2268.452	370.744	775.084	2286.149	285.981	765.970	2226.844	273.133	882.609	2272.453	59.306	848.181	2312.982	65.873	812.867	2292.875	62.398	874.786	2131.249	66.630	847.920	2084.743	73.982	782.133	2143.400	54.074	877.277	2237.401	126.595	802.517	2259.258	106.061	959.637	2802.431	198.866	884.186	2787.031	195.843	948.676	2546.510	411.478	797.404	2168.863	438.648
97	0.48000	884.104	2248.407	1332.182	865.583	2208.596	1140.915	906.622	2348.365	1404.610	913.646	2408.545	1219.369	981.847	2270.245	931.696	795.486	2268.239	948.048	933.747	2422.430	985.157	841.788	2431.745	980.940	1023.496	2334.357	988.109	741.155	2353.889	998.598	1032.233	2271.841	1381.195	759.660	2338.030	1387.477	1052.576	2398.979	735.942	1053.969	2459.181	766.175	1030.212	2495.269	679.861	1035.910	2433.401	656.879	880.667	2553.655	512.739	1002.143	2538.227	490.270	1001.863	2629.046	377.775	997.377	2669.031	413.891	982.972	2721.253	350.587	984.632	2677.977	313.347	891.300	2849.949	211.364	922.291	2866.510	227.807	957.195	2851.786	202.491	865.755	2776.184	74.869	881.146	2749.608	37.959	961.135	2786.697	80.739	696.840	2289.321	780.290	687.815	2341.221	758.115	713.600	2315.102	678.927	716.096	2258.732	699.228	751.742	2205.534	504.423	756.042	2187.501	356.423	748.941	2245.214	364.763	774.987	2260.898	280.775	766.306	2200.928	270.917	884.295	2235.152	56.168	849.806	2276.424	60.221	813.791	2256.005	57.610	877.283	2095.198	71.543	849.624	2048.513	80.969	783.175	2105.822	56.937	878.710	2203.030	126.274	804.013	2223.744	102.404	959.045	2794.551	207.620	883.441	2778.631	203.397	948.179	2532.068	413.551	796.647	2152.146	438.868
98	0.48500	883.330	2231.134	1333.456	865.090	2190.836	1142.575	906.053	2331.012	1405.428	913.411	2390.841	1220.107	976.498	2252.195	931.967	795.307	2250.396	948.788	933.780	2404.013	986.665	841.906	2413.354	982.275	1023.446	2315.826	989.376	741.764	2335.329	999.628	1031.527	2254.283	1382.479	759.064	2320.822	1388.100	1052.459	2382.029	737.743	1054.116	2440.882	767.899	1029.544	2478.444	682.322	1035.371	2416.571	658.850	880.652	2537.754	515.076	1001.598	2522.204	492.127	1001.149	2615.195	381.190	997.664	2654.354	418.378	983.041	2708.388	356.701	983.530	2665.759	318.201	888.412	2846.631	225.008	924.538	2854.756	238.671	956.724	2843.542	212.073	865.722	2769.956	84.137	880.916	2743.403	45.985	959.569	2778.926	89.539	697.320	2271.797	781.233	687.555	2323.892	759.993	713.209	2299.294	680.195	716.415	2242.863	699.553	750.580	2190.454	502.676	755.489	2166.328	355.134	748.032	2224.420	360.262	774.987	2236.057	276.117	766.299	2175.544	268.994	885.913	2198.315	55.183	851.257	2239.560	55.424	815.327	2219.301	53.454	877.990	2058.863	76.866	850.955	2013.390	88.614	785.495	2069.711	60.794	878.954	2171.527	125.651	805.228	2189.594	99.944	957.526	2788.054	217.375	882.687	2770.912	212.243	947.442	2517.117	415.171	795.568	2135.673	439.088
99	0.49000	881.941	2212.974	1334.272	864.608	2173.130	1143.966	905.423	2313.742	1405.993	913.127	2373.214	1220.581	976.335	2234.296	932.642	795.100	2232.465	949.237	933.785	2385.708	987.916	841.894	2394.907	983.395	1023.550	2297.643	990.525	740.851	2318.110	1000.223	1030.817	2236.753	1383.434	758.549	2303.618	1388.504	1052.221	2364.821	739.164	1053.599	2423.438	769.554	1029.050	2461.412	684.146	1035.321	2399.613	660.348	880.434	2520.603	516.641	1001.410	2505.802	493.454	1000.313	2600.895	384.182	998.538	2639.646	422.844	982.929	2695.077	362.842	982.742	2653.639	323.083	888.465	2838.273	234.897	924.254	2845.784	248.603	956.402	2834.849	221.973	865.181	2763.319	93.191	880.417	2736.962	54.627	959.972	2772.065	98.912	697.559	2254.665	781.726	687.359	2306.994	761.378	712.437	2283.805	681.008	716.500	2226.999	699.487	749.443	2175.305	500.660	755.152	2145.572	354.185	745.031	2205.689	357.673	775.340	2211.569	272.342	766.012	2151.005	267.727	887.108	2162.662	53.997	852.529	2203.692	51.568	816.627	2183.307	50.137	880.281	2025.169	83.369	852.177	1979.579	96.913	786.660	2034.123	65.296	879.471	2139.253	125.385	806.317	2156.033	98.148	957.137	2779.222	226.466	882.337	2762.359	221.014	946.945	2501.786	416.207	794.458	2119.461	438.807
