NO_OF_FRAMES	185
NO_OF_CAMERAS	24
NO_OF_MARKERS	50
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-21, 11:23:57.620	241032.58916290
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	calc_med_right	calc_back_right	calc_lat_right	forfoot_med_right	toe_right	forfoot_lat_right	mal_med_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_med_right X	calc_med_right Y	calc_med_right Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_med_right X	mal_med_right Y	mal_med_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
103	0.51000	948.083	2390.388	1265.047	935.909	2361.738	1063.166	960.731	2490.046	1349.822	954.558	2560.512	1169.630	1044.065	2437.718	885.332	852.245	2428.664	878.635	987.352	2597.753	929.683	892.518	2602.675	915.055	1081.188	2516.839	941.310	788.693	2516.988	922.838	1099.283	2426.459	1318.763	810.750	2465.327	1329.068	1120.287	2514.409	685.105	1121.601	2579.974	690.490	1098.741	2583.171	596.779	1105.032	2516.783	598.223	948.219	2564.927	418.237	1069.240	2544.246	403.621	1063.151	2602.460	275.943	1074.245	2647.378	304.383	1055.701	2691.792	236.772	1040.739	2642.511	206.615	955.812	2812.930	51.349	991.625	2829.882	53.300	1023.238	2803.503	44.859	923.463	2658.915	22.886	945.335	2610.437	18.627	1029.574	2674.686	17.494	758.292	2457.559	703.505	759.945	2510.721	680.452	781.024	2477.818	602.828	772.364	2422.389	624.328	942.296	2364.954	456.819	816.027	2338.469	455.262	824.672	2418.534	357.582	812.372	2444.577	407.540	833.144	2524.465	373.008	829.343	2496.459	318.475	934.944	2700.236	225.680	902.363	2715.623	263.370	863.747	2706.695	249.079	923.085	2612.398	113.375	894.009	2579.003	81.486	830.814	2624.967	122.062	930.603	2627.437	243.477	855.625	2651.434	245.726	1023.486	2753.624	87.168	943.512	2747.161	105.652	1014.221	2519.241	337.621	865.732	2330.117	381.999
104	0.51500	946.852	2372.667	1269.611	934.354	2342.899	1068.234	961.078	2472.739	1353.309	955.890	2541.937	1172.469	1044.094	2418.071	887.774	852.374	2409.608	882.536	987.660	2577.676	932.878	892.792	2583.082	919.148	1081.264	2496.062	943.686	791.113	2497.773	928.970	1098.333	2407.788	1322.900	810.779	2449.730	1333.192	1119.301	2498.715	687.126	1120.855	2563.966	694.394	1098.184	2570.185	600.867	1103.502	2503.448	600.287	947.520	2559.566	421.815	1069.429	2539.830	407.420	1063.251	2599.248	279.828	1072.753	2642.001	309.059	1055.181	2689.017	240.312	1041.106	2639.494	210.737	956.158	2810.472	57.052	992.352	2826.846	58.985	1023.479	2801.422	49.955	923.369	2658.791	23.587	945.195	2610.279	18.537	1029.629	2673.945	18.231	757.137	2438.436	708.687	759.350	2490.839	684.680	781.110	2456.741	607.812	772.178	2401.633	629.984	941.397	2341.523	464.142	815.101	2315.946	462.385	824.011	2392.271	359.240	812.518	2421.409	408.230	833.435	2498.691	369.017	828.921	2468.089	316.282	934.827	2667.096	211.038	902.715	2683.769	248.940	865.032	2673.592	233.950	921.766	2571.761	105.044	894.682	2537.882	75.082	830.095	2585.554	113.600	931.341	2592.075	232.324	855.762	2618.527	235.079	1023.758	2750.834	91.483	945.644	2742.718	106.408	1004.561	2520.243	341.472	865.005	2304.712	387.666
105	0.52000	945.208	2354.910	1273.912	932.918	2324.118	1073.342	961.027	2455.493	1357.156	957.167	2523.288	1175.423	1043.843	2398.129	890.273	852.377	2390.197	886.842	987.977	2557.505	936.239	893.035	2563.265	923.342	1081.469	2474.992	946.292	791.980	2478.157	933.639	1097.439	2389.097	1327.270	810.693	2433.996	1337.134	1113.155	2481.531	687.642	1120.010	2547.718	698.579	1097.822	2557.448	605.107	1102.384	2490.556	602.847	946.813	2554.145	426.075	1068.103	2536.595	411.103	1060.137	2593.755	281.144	1072.617	2639.175	313.879	1054.449	2684.892	245.232	1041.366	2635.991	215.516	955.557	2808.444	64.118	990.738	2826.983	68.101	1023.735	2798.917	55.842	923.422	2658.589	24.104	944.527	2610.833	17.748	1029.652	2673.100	19.014	756.319	2418.419	713.525	758.669	2470.877	689.067	781.637	2435.416	612.630	772.699	2380.505	635.322	938.619	2321.026	471.459	814.968	2293.732	468.858	823.375	2366.428	361.001	812.656	2398.133	408.301	834.975	2472.499	363.533	828.614	2439.633	313.892	935.036	2630.696	197.885	902.849	2651.881	233.837	865.050	2640.363	220.238	921.912	2531.377	97.358	892.983	2495.551	69.373	829.625	2545.788	105.401	932.220	2556.086	221.132	856.571	2584.336	224.017	1024.049	2747.530	96.478	946.061	2739.255	110.343	1005.475	2515.052	344.283	866.314	2279.662	393.330
106	0.52500	945.126	2337.059	1278.851	931.559	2305.306	1078.642	960.948	2437.930	1360.902	958.423	2504.622	1178.424	1043.271	2377.964	892.780	852.124	2370.817	891.125	988.370	2537.163	939.696	893.355	2543.436	927.755	1081.781	2453.685	948.958	793.205	2458.832	937.974	1096.573	2370.396	1331.647	810.691	2418.002	1341.051	1114.091	2465.024	690.361	1119.311	2531.412	702.963	1097.313	2544.051	609.788	1101.318	2477.462	605.743	946.152	2548.781	431.112	1067.502	2530.500	415.587	1062.938	2592.197	287.506	1071.630	2634.637	319.654	1054.011	2681.136	251.695	1044.469	2634.254	221.820	955.713	2805.663	69.465	990.813	2823.912	76.145	1024.008	2795.707	62.394	923.614	2658.234	24.585	944.101	2610.754	17.684	1029.650	2672.109	19.837	755.199	2398.677	718.709	757.823	2450.785	693.573	781.719	2414.443	617.857	772.418	2359.879	641.034	938.787	2297.910	477.300	814.875	2272.212	474.960	822.725	2340.697	362.449	812.795	2375.150	408.054	835.303	2446.755	359.166	829.247	2410.859	311.030	934.943	2595.251	184.933	902.768	2618.617	219.463	865.166	2606.189	206.395	922.155	2489.880	90.133	894.067	2452.034	64.460	829.430	2505.251	97.619	932.661	2521.242	211.803	856.046	2551.820	213.676	1024.225	2743.711	102.080	946.406	2735.100	114.715	1004.361	2510.309	348.011	863.591	2255.579	399.710
107	0.53000	944.267	2319.376	1283.880	929.505	2286.143	1083.841	960.856	2420.378	1364.664	959.599	2485.906	1181.534	1042.225	2357.508	895.285	852.109	2351.607	895.499	988.312	2516.677	943.005	893.623	2523.437	932.283	1081.703	2432.280	951.595	791.599	2436.344	945.831	1095.634	2351.647	1336.070	810.694	2401.636	1344.997	1113.095	2448.903	693.043	1118.463	2514.766	707.529	1096.723	2530.134	614.909	1099.708	2463.413	608.806	945.693	2543.045	436.753	1066.921	2523.990	420.543	1061.512	2586.157	295.587	1070.547	2629.568	325.929	1052.750	2675.884	259.233	1040.407	2626.123	226.174	956.392	2801.604	77.031	991.128	2819.574	84.177	1024.197	2791.940	69.502	925.041	2657.279	24.767	943.796	2610.583	17.692	1029.635	2670.929	20.693	754.311	2378.787	723.927	756.846	2430.665	698.251	781.243	2393.655	622.915	772.469	2339.025	646.453	938.138	2276.203	483.569	814.648	2251.639	480.695	822.108	2315.417	363.581	812.754	2352.606	407.567	835.120	2421.468	354.728	829.010	2382.550	308.332	935.047	2559.247	171.708	902.712	2584.441	204.595	866.680	2571.240	192.111	922.354	2448.375	83.370	894.280	2409.083	59.988	829.657	2463.845	89.818	932.007	2488.006	202.805	856.114	2517.652	202.994	1024.341	2739.126	107.995	947.465	2729.131	118.808	1003.632	2504.648	352.284	863.029	2232.115	405.063
108	0.53500	942.838	2301.527	1288.402	929.160	2267.800	1089.036	960.676	2402.620	1368.349	960.686	2467.101	1184.650	1041.885	2337.536	898.163	852.125	2332.054	900.248	988.659	2496.248	946.598	893.906	2503.329	936.785	1081.777	2410.866	954.467	793.736	2418.160	949.779	1094.678	2332.914	1340.448	810.785	2385.080	1348.872	1113.047	2433.053	696.827	1116.281	2499.993	712.027	1096.353	2516.041	620.051	1092.841	2448.018	610.018	945.179	2536.692	442.949	1066.231	2514.223	425.282	1063.099	2581.992	301.895	1069.558	2624.177	332.443	1051.830	2670.769	265.943	1045.971	2629.090	230.781	956.040	2797.058	84.693	991.544	2814.464	93.036	1024.486	2787.401	77.335	925.291	2656.736	25.698	943.545	2610.175	17.659	1029.399	2668.787	21.561	753.514	2358.708	729.054	755.870	2410.344	703.012	780.820	2372.893	628.149	772.070	2318.665	652.582	937.910	2254.410	490.052	814.563	2231.713	485.886	821.804	2290.121	364.313	812.216	2330.274	406.644	835.428	2395.627	349.824	827.714	2354.924	306.058	935.847	2521.171	157.737	902.182	2549.611	191.105	864.572	2535.604	179.317	921.371	2406.175	76.847	894.355	2365.799	56.237	829.879	2422.463	82.634	931.505	2453.575	193.605	856.667	2481.926	192.421	1024.330	2733.925	114.098	947.946	2723.449	123.812	1004.547	2498.293	356.800	862.301	2209.247	410.086
109	0.54000	942.673	2283.681	1292.964	928.033	2248.947	1094.316	960.664	2385.045	1372.097	961.750	2448.349	1187.756	1041.094	2317.409	901.054	851.992	2312.469	904.964	988.833	2475.834	950.122	894.188	2483.150	941.169	1081.809	2389.446	957.432	793.266	2399.162	954.054	1093.793	2314.133	1344.793	810.755	2368.255	1352.671	1111.255	2416.058	699.392	1116.929	2480.849	716.461	1096.127	2501.631	625.293	1094.471	2433.255	614.011	944.623	2529.450	449.669	1066.654	2506.099	431.036	1059.531	2575.089	308.539	1068.909	2618.207	339.341	1053.349	2666.584	273.469	1048.422	2621.364	240.328	957.787	2791.057	92.827	992.090	2808.345	102.502	1024.813	2781.909	85.875	925.350	2655.666	26.269	943.194	2609.877	17.721	1029.723	2666.535	23.155	752.793	2338.547	734.257	754.784	2390.118	707.969	780.250	2352.317	633.277	771.895	2298.017	657.958	936.244	2234.544	495.819	814.594	2212.432	490.364	821.169	2265.183	365.040	812.378	2307.830	405.130	835.415	2369.738	345.071	828.092	2326.339	302.677	935.507	2484.658	146.751	901.874	2514.290	176.916	870.275	2501.848	163.917	923.005	2364.804	71.886	893.610	2323.026	53.017	830.909	2380.344	75.729	931.775	2418.477	185.206	856.648	2446.933	182.202	1024.310	2727.825	120.323	947.409	2718.006	129.236	1004.214	2491.482	362.034	862.096	2186.945	414.529
110	0.54500	942.820	2266.306	1297.640	927.135	2230.276	1099.486	960.565	2367.167	1375.733	962.682	2429.470	1190.882	1040.562	2297.366	904.108	851.927	2293.032	909.763	989.007	2455.341	953.653	894.481	2463.040	945.559	1081.596	2368.170	960.244	793.976	2379.176	959.730	1092.701	2295.116	1348.995	810.857	2351.175	1356.432	1111.009	2400.273	703.210	1116.333	2463.573	721.283	1095.747	2487.010	630.638	1093.815	2418.776	617.756	943.977	2520.965	457.106	1065.313	2497.719	437.402	1058.381	2569.145	315.582	1067.558	2611.214	346.040	1052.279	2659.758	280.404	1046.536	2612.593	247.007	958.459	2784.899	101.737	992.903	2801.244	112.626	1025.346	2775.411	95.099	925.474	2654.705	27.404	942.824	2609.595	17.671	1030.058	2663.444	25.448	752.102	2318.335	739.353	753.690	2369.806	712.913	779.471	2331.956	638.401	771.735	2277.470	663.215	935.469	2213.910	500.532	814.547	2193.992	494.521	820.501	2240.665	365.334	812.619	2285.149	403.162	835.338	2343.860	339.589	827.584	2298.147	299.605	935.583	2447.125	134.641	902.048	2478.472	163.032	864.875	2463.006	152.505	924.054	2322.930	67.148	895.172	2279.460	50.829	831.489	2338.487	69.538	932.514	2383.181	178.002	856.768	2411.278	171.986	1024.288	2721.022	126.821	947.961	2710.206	133.880	1004.400	2484.049	367.532	862.317	2165.001	418.630
111	0.55000	940.604	2248.124	1301.922	926.114	2211.430	1104.422	960.526	2349.281	1379.237	963.579	2410.662	1194.006	1040.030	2277.570	907.464	851.910	2273.423	914.749	989.275	2435.093	957.131	894.695	2442.830	949.797	1081.350	2346.974	963.004	793.429	2359.778	964.304	1091.915	2276.348	1353.072	810.859	2333.877	1360.024	1109.047	2383.236	705.513	1115.663	2446.383	726.196	1095.422	2472.087	635.961	1093.267	2404.259	621.541	943.357	2512.048	463.694	1065.760	2488.357	443.465	1061.172	2559.212	318.033	1066.475	2603.707	353.077	1047.838	2649.743	286.470	1044.697	2602.143	252.573	959.247	2778.029	111.393	993.915	2792.962	123.190	1026.065	2767.863	104.892	925.804	2653.301	28.589	941.545	2609.310	17.547	1029.873	2660.330	27.282	751.554	2298.090	744.526	752.607	2349.317	717.868	778.763	2311.522	643.366	771.483	2257.157	668.032	935.185	2194.697	505.306	814.389	2176.168	498.168	819.713	2216.380	365.469	812.526	2262.955	400.889	835.315	2317.809	334.033	827.009	2270.202	296.750	935.770	2408.792	122.547	902.088	2441.859	149.432	864.885	2425.671	139.644	923.828	2280.130	63.229	895.963	2236.276	49.478	832.403	2296.532	63.877	931.569	2348.054	169.971	856.994	2375.253	162.209	1024.287	2713.324	133.576	948.352	2702.296	139.186	1004.665	2475.992	373.128	861.804	2143.653	422.484
112	0.55500	940.654	2230.390	1306.364	924.395	2192.096	1109.191	960.438	2331.272	1382.653	964.618	2392.185	1197.124	1039.438	2257.573	910.708	851.819	2253.945	919.555	988.585	2414.184	960.117	895.015	2422.740	953.679	1081.101	2326.160	965.766	793.770	2339.996	969.156	1090.970	2257.525	1357.040	810.875	2316.449	1363.567	1112.216	2364.750	710.135	1115.053	2429.035	730.950	1094.956	2457.084	641.366	1092.996	2389.656	625.555	941.875	2503.279	471.361	1064.513	2477.990	450.199	1061.458	2551.272	325.026	1065.357	2595.646	360.161	1046.693	2641.329	293.383	1047.217	2596.948	260.505	959.310	2770.676	122.453	994.773	2783.406	134.212	1026.735	2759.402	115.097	926.252	2651.450	30.784	941.255	2608.898	17.449	1030.176	2657.280	29.702	751.002	2277.740	749.479	751.432	2328.959	722.767	777.845	2291.426	648.138	770.979	2237.297	673.272	934.642	2175.440	509.591	813.800	2159.132	501.186	819.393	2192.445	365.156	812.300	2240.937	398.045	835.825	2291.631	328.537	826.617	2242.113	293.517	935.842	2369.684	111.030	902.161	2404.547	136.308	865.097	2387.900	127.153	924.748	2237.846	60.467	897.487	2193.126	49.541	832.813	2254.381	58.960	932.946	2309.186	161.408	856.933	2339.348	152.445	1024.386	2704.733	140.462	948.718	2693.584	144.512	1004.855	2467.039	378.622	860.894	2123.029	426.104
