NO_OF_FRAMES	208
NO_OF_CAMERAS	24
NO_OF_MARKERS	39
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-21, 11:29:23.061	241358.03123630
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
98	0.48500	851.036	2372.682	1285.057	840.456	2341.617	1089.344	870.981	2470.931	1362.246	885.733	2541.716	1180.947	959.913	2408.634	892.335	773.927	2410.980	909.439	913.933	2564.168	941.420	821.134	2578.212	937.044	1004.057	2475.354	946.717	720.479	2501.074	955.673	998.936	2393.988	1338.189	721.767	2456.956	1336.717	1024.878	2523.281	683.476	1029.710	2583.782	708.569	1001.867	2615.809	621.323	1006.487	2552.471	602.122	0.000	0.000	0.000	966.599	2646.517	441.552	970.769	2776.578	431.294	963.365	2772.720	485.235	951.562	2854.809	486.477	956.619	2857.863	430.763	865.821	3044.063	513.515	904.943	3044.172	529.414	935.539	3051.609	503.160	852.807	3092.785	359.660	866.237	3103.813	313.876	948.818	3096.011	373.258	663.733	2448.411	727.673	661.512	2503.043	708.787	682.937	2479.119	628.313	677.375	2420.420	645.238	843.754	2368.288	460.038	723.900	2344.874	462.318	723.109	2352.451	321.482	941.044	3013.512	466.822	865.786	3005.096	446.972	916.587	2678.591	369.292	771.590	2279.893	413.352
99	0.49000	850.389	2351.410	1281.049	841.114	2321.106	1084.957	869.660	2449.620	1358.514	884.474	2520.945	1177.345	958.970	2387.581	888.545	772.929	2390.937	906.413	914.481	2544.033	936.889	821.811	2558.455	932.856	1004.000	2454.893	942.596	720.864	2482.077	952.326	998.479	2373.661	1334.203	720.425	2435.065	1332.146	1024.635	2500.203	678.543	1029.150	2560.981	702.552	1002.478	2592.171	615.117	1007.013	2528.350	596.834	0.000	0.000	0.000	966.180	2617.337	434.891	971.196	2746.804	428.581	963.164	2741.044	482.191	951.568	2823.102	486.181	956.699	2827.879	430.549	871.708	3014.179	515.146	903.712	3013.095	535.145	935.243	3019.293	509.742	854.269	3064.288	366.133	868.121	3076.517	320.847	950.161	3066.835	381.047	663.312	2430.201	727.034	662.614	2484.164	706.531	685.649	2456.736	627.481	677.530	2400.048	645.522	842.851	2345.484	459.214	723.677	2323.416	461.091	721.772	2335.246	319.026	941.064	2982.067	472.263	865.940	2974.350	451.418	917.223	2650.401	363.641	771.255	2260.583	409.040
100	0.49500	849.662	2330.169	1276.679	840.388	2299.939	1080.400	868.289	2428.272	1354.511	883.053	2500.171	1173.496	958.591	2366.864	884.598	773.228	2371.739	902.673	915.224	2524.178	932.106	822.575	2538.699	928.462	1003.936	2434.450	938.253	721.245	2462.919	948.706	997.983	2353.391	1330.084	719.106	2412.870	1327.657	1022.974	2475.869	673.100	1028.438	2538.059	696.204	1000.746	2566.838	608.069	1004.270	2501.331	590.648	0.000	0.000	0.000	966.826	2588.305	428.303	971.443	2716.356	425.394	963.109	2709.043	478.897	951.715	2790.929	485.241	957.118	2797.541	429.911	871.408	2981.780	520.002	904.397	2977.288	540.332	936.018	2986.854	515.272	856.344	3033.984	371.168	869.961	3048.019	326.673	951.401	3036.515	387.490	663.221	2411.844	726.190	663.734	2465.205	704.490	686.960	2435.488	626.305	678.669	2378.815	645.415	841.470	2323.083	457.631	723.111	2302.592	459.723	720.350	2318.382	316.444	941.341	2950.035	476.576	866.047	2943.107	455.096	917.629	2621.624	357.848	771.309	2241.357	404.248
101	0.50000	849.045	2308.911	1272.192	840.308	2278.929	1075.547	866.810	2406.956	1350.276	881.580	2479.452	1169.461	958.335	2346.386	880.582	771.001	2350.771	899.437	916.096	2504.399	927.238	823.411	2519.208	924.203	1003.870	2414.126	933.823	721.752	2443.718	945.400	997.461	2333.179	1325.887	717.596	2390.759	1322.963	1022.385	2452.533	667.741	1027.737	2515.215	689.606	1000.962	2542.793	600.917	1004.192	2476.453	584.759	0.000	0.000	0.000	967.590	2558.798	421.593	971.712	2685.415	421.822	963.361	2676.648	475.089	951.763	2758.371	483.391	957.251	2766.368	428.602	871.881	2948.460	523.448	904.428	2943.517	544.100	936.299	2953.422	519.384	857.550	3003.879	375.822	871.693	3018.484	331.284	952.870	3005.468	392.656	663.641	2392.888	725.263	664.941	2445.737	702.309	687.805	2414.024	624.873	679.079	2358.258	645.668	839.449	2301.546	455.515	722.412	2282.436	457.651	720.184	2301.338	313.563	941.823	2917.530	479.885	865.805	2911.804	458.256	918.103	2592.292	351.967	770.791	2222.145	399.017
102	0.50500	848.548	2287.661	1267.497	840.781	2258.166	1070.572	865.360	2385.762	1346.027	880.088	2458.731	1165.386	957.890	2325.641	876.213	771.494	2331.722	895.156	916.920	2484.823	922.308	824.211	2499.957	920.020	1004.019	2393.888	929.220	721.999	2424.402	941.795	996.968	2313.095	1321.680	716.134	2368.346	1318.180	1022.002	2429.340	662.249	1026.972	2492.420	682.806	1000.237	2517.894	593.478	1004.147	2451.419	578.726	0.000	0.000	0.000	969.716	2529.726	415.111	972.297	2654.070	417.846	963.798	2643.962	471.023	952.008	2725.245	481.202	957.690	2734.866	426.756	872.061	2915.805	526.604	904.848	2909.573	546.759	937.177	2919.769	522.442	858.656	2972.926	379.397	873.147	2988.029	334.927	953.974	2973.344	396.463	664.154	2373.526	723.881	665.847	2425.929	699.953	688.371	2392.156	622.966	680.481	2336.762	645.015	838.419	2279.854	452.543	721.495	2262.543	455.008	721.138	2284.199	310.843	942.271	2884.372	482.023	866.016	2879.441	460.252	918.680	2562.269	346.368	769.875	2202.559	393.953
103	0.51000	848.086	2266.642	1262.803	840.657	2237.448	1065.750	863.763	2364.620	1341.732	878.624	2438.048	1161.375	958.026	2305.346	871.939	769.523	2311.149	891.381	918.386	2465.820	916.916	824.889	2481.079	916.065	1004.232	2373.737	924.450	722.396	2405.163	937.299	996.528	2293.141	1317.566	714.397	2345.622	1313.458	1021.270	2406.020	656.746	1026.235	2469.508	675.732	999.626	2492.784	585.733	1003.926	2426.129	572.653	0.000	0.000	0.000	970.250	2499.262	407.900	972.738	2622.138	413.495	964.531	2610.743	466.341	952.811	2691.967	478.730	958.029	2702.662	424.222	872.986	2881.944	528.357	905.491	2875.300	548.429	938.165	2885.575	524.248	859.383	2941.686	382.155	874.362	2956.868	337.644	955.191	2940.672	398.884	664.500	2354.068	722.307	666.290	2405.621	697.289	687.945	2370.457	620.540	681.038	2315.589	643.963	837.059	2259.411	450.114	720.520	2242.511	452.224	721.565	2268.144	309.420	942.695	2850.691	483.129	866.531	2846.323	461.247	919.047	2531.626	340.718	768.627	2182.689	389.380
104	0.51500	847.852	2245.355	1258.136	841.531	2216.938	1060.587	862.124	2343.498	1337.593	877.175	2417.349	1157.883	957.676	2284.672	867.332	769.703	2292.312	886.178	919.354	2446.782	912.286	825.594	2462.460	912.308	1004.268	2353.340	919.253	722.874	2385.561	935.258	996.217	2273.166	1313.734	712.680	2322.528	1307.932	1020.619	2382.554	651.124	1025.422	2446.473	668.633	999.069	2467.514	577.993	999.739	2401.129	567.840	0.000	0.000	0.000	971.064	2468.458	401.005	973.202	2589.752	408.743	964.835	2578.709	462.101	953.592	2658.337	475.405	958.318	2670.202	420.894	873.900	2848.066	529.128	906.541	2840.630	548.798	938.098	2850.367	524.419	860.479	2909.062	383.468	875.407	2924.815	339.006	956.198	2907.383	399.990	664.606	2333.672	720.099	666.129	2385.041	694.329	686.532	2348.868	617.761	680.559	2294.561	642.333	835.468	2239.753	448.001	718.922	2222.182	449.777	721.936	2252.017	309.488	943.502	2816.783	483.204	867.049	2812.892	461.422	919.168	2500.298	335.395	767.238	2163.451	385.709
105	0.52000	846.268	2223.404	1253.532	842.065	2196.451	1055.481	860.551	2322.388	1333.743	875.836	2396.785	1155.128	957.619	2264.439	862.607	768.553	2271.785	882.654	920.346	2427.917	907.752	826.469	2444.229	909.381	1004.497	2333.379	914.119	721.059	2366.189	931.473	996.011	2253.304	1310.149	711.128	2299.942	1303.690	1018.224	2357.806	644.346	1024.324	2422.964	661.567	998.645	2441.866	570.251	1001.949	2374.516	558.626	0.000	0.000	0.000	968.679	2435.150	391.824	973.957	2557.112	403.687	965.881	2545.129	456.972	954.455	2624.439	471.679	958.601	2637.121	417.338	875.237	2813.967	528.717	907.682	2806.501	548.141	942.031	2817.873	524.640	861.100	2876.462	383.884	876.169	2892.067	339.113	957.252	2873.575	399.733	664.369	2312.679	717.622	665.462	2363.744	691.523	684.677	2327.239	615.054	679.668	2272.642	639.810	834.049	2220.039	445.091	717.102	2201.672	447.761	721.199	2235.152	310.963	942.708	2781.556	481.697	867.193	2779.409	460.861	919.079	2468.127	330.465	765.700	2144.211	383.769
106	0.52500	846.716	2202.181	1249.375	843.130	2176.306	1050.725	858.963	2301.251	1330.358	874.578	2376.356	1152.873	956.859	2244.150	857.743	766.817	2251.996	878.571	921.446	2409.273	903.373	827.244	2425.736	905.962	1005.205	2313.982	909.311	719.769	2346.647	930.077	996.022	2233.631	1306.850	709.513	2277.313	1299.816	1018.183	2334.412	640.456	1023.677	2399.283	654.797	998.331	2415.637	563.001	1001.877	2348.006	553.429	0.000	0.000	0.000	972.049	2404.379	387.318	974.669	2523.998	398.491	967.146	2511.395	451.696	955.591	2590.310	467.724	959.135	2603.688	413.511	876.673	2780.126	527.584	909.248	2772.367	546.713	941.090	2781.908	522.316	861.672	2843.120	382.979	876.864	2858.361	338.027	957.832	2839.221	398.036	664.153	2291.204	715.222	664.323	2342.411	689.219	682.824	2305.644	612.134	678.245	2251.370	637.415	832.857	2201.772	442.808	715.154	2181.191	446.154	719.580	2217.787	312.448	945.061	2748.126	480.303	868.782	2744.745	459.318	918.293	2435.646	326.189	764.404	2125.571	382.634
107	0.53000	845.810	2181.132	1245.023	844.490	2156.293	1045.719	857.608	2280.064	1327.563	873.393	2356.175	1150.769	952.835	2224.136	852.535	765.693	2233.018	874.257	922.585	2390.538	899.228	828.306	2406.954	902.921	1005.454	2294.485	904.468	721.086	2327.317	927.813	996.063	2213.827	1303.729	708.009	2254.828	1296.165	1016.809	2309.895	636.624	1023.384	2376.845	648.963	997.968	2388.340	556.103	1002.023	2320.487	549.953	0.000	0.000	0.000	971.388	2372.659	380.467	975.406	2490.586	393.261	969.060	2475.994	445.784	956.836	2556.129	463.294	959.481	2569.902	409.205	878.382	2746.517	525.445	910.969	2738.629	544.340	944.308	2749.030	520.015	861.699	2809.446	380.655	877.439	2824.028	335.527	958.817	2804.727	395.018	663.812	2270.180	713.048	662.553	2321.591	687.505	680.913	2285.970	609.827	677.131	2231.382	634.473	831.798	2183.599	440.953	713.605	2160.410	444.672	717.659	2200.586	313.669	945.870	2713.671	477.485	868.604	2710.909	456.771	917.999	2401.827	321.518	763.977	2107.614	381.471
