NO_OF_FRAMES	212
NO_OF_CAMERAS	24
NO_OF_MARKERS	50
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-21, 11:32:33.709	241548.68054730
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	calc_med_right	calc_back_right	calc_lat_right	forfoot_med_right	toe_right	forfoot_lat_right	mal_med_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_med_right X	calc_med_right Y	calc_med_right Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_med_right X	mal_med_right Y	mal_med_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
104	0.51500	861.089	2011.102	1265.688	845.868	1987.658	1063.841	874.329	2114.080	1348.810	863.911	2191.032	1172.925	954.710	2071.313	886.125	760.286	2057.587	878.473	892.005	2228.468	930.902	798.549	2232.436	916.867	988.177	2151.595	942.230	702.251	2144.847	923.521	1011.276	2048.854	1317.490	724.085	2077.458	1332.207	1027.541	2157.250	684.673	1026.398	2222.531	693.815	1003.833	2229.542	599.268	1011.203	2163.293	598.039	853.815	2217.791	418.125	974.201	2202.753	404.066	968.652	2259.524	276.444	978.155	2304.136	304.644	958.144	2348.455	236.606	947.381	2301.344	207.531	856.789	2467.356	50.959	892.504	2485.011	53.589	924.109	2456.265	44.524	823.697	2322.414	19.026	842.584	2265.545	15.083	922.175	2322.929	16.525	670.889	2081.608	705.320	670.225	2133.709	680.699	693.898	2099.159	603.662	688.395	2043.734	626.760	862.914	1994.132	467.113	735.629	1958.230	462.478	745.404	2048.665	378.208	728.995	2066.069	431.644	746.918	2151.118	408.499	746.804	2132.023	351.298	842.680	2354.702	297.023	807.741	2359.932	337.595	771.919	2352.187	320.739	833.125	2288.873	169.263	806.134	2264.387	131.479	741.850	2298.176	179.128	842.210	2279.420	296.111	767.206	2296.554	304.076	924.301	2407.403	83.053	845.261	2398.750	104.877	915.589	2178.290	337.975	791.569	1957.945	389.956
105	0.52000	859.940	1990.497	1271.734	843.119	1964.787	1070.154	873.501	2093.695	1352.911	865.709	2168.709	1176.301	954.320	2046.954	888.748	759.687	2034.207	883.881	893.189	2203.932	934.368	799.847	2208.694	921.511	989.063	2125.782	944.383	703.232	2121.776	929.429	1009.425	2025.912	1322.639	723.657	2058.618	1336.857	1025.946	2137.693	686.847	1025.585	2202.592	698.551	1002.975	2213.843	605.544	1009.242	2147.133	600.361	852.711	2212.275	423.674	974.085	2193.917	408.552	968.557	2255.643	281.730	976.767	2299.730	310.435	958.050	2345.455	243.744	947.595	2297.751	212.415	857.134	2464.232	58.057	892.890	2481.873	61.371	924.400	2453.503	51.251	823.877	2321.988	19.464	842.346	2265.551	15.173	921.733	2321.979	17.214	670.215	2058.145	711.551	669.896	2109.880	685.717	694.751	2073.186	609.973	688.620	2018.296	634.338	862.194	1965.571	475.677	735.972	1929.558	471.546	745.627	2017.415	381.357	730.099	2038.250	433.963	747.793	2121.321	405.661	746.902	2098.729	349.538	843.568	2317.447	281.048	811.792	2326.623	320.005	774.450	2316.336	303.804	834.197	2244.429	157.283	805.274	2216.110	122.135	741.631	2253.572	168.905	852.846	2259.031	287.093	768.511	2260.336	293.158	924.947	2402.819	90.322	844.941	2395.215	109.289	911.267	2175.548	342.999	791.490	1926.600	397.438
106	0.52500	858.084	1968.477	1276.848	841.082	1942.312	1076.162	871.974	2070.644	1357.027	867.517	2146.327	1179.713	953.770	2022.388	891.407	761.020	2011.990	888.786	894.799	2179.925	937.903	801.151	2184.737	926.275	989.984	2099.409	946.688	704.259	2097.851	935.239	1007.894	2003.150	1327.847	723.109	2040.060	1342.120	1024.679	2118.206	689.503	1024.290	2182.135	703.683	1002.190	2198.127	610.788	1007.881	2131.242	603.531	851.737	2206.403	430.397	972.725	2186.544	414.498	965.909	2249.181	287.436	977.052	2291.378	317.665	959.642	2340.115	250.796	947.475	2293.397	218.120	856.618	2460.864	66.014	893.069	2477.533	70.299	924.487	2449.951	58.997	824.096	2321.529	20.222	842.090	2265.373	14.969	921.515	2321.041	18.287	669.365	2034.682	717.984	669.965	2085.700	690.946	695.357	2047.344	616.428	688.738	1993.168	641.881	862.493	1937.091	484.523	736.210	1901.705	479.848	744.506	1986.116	384.563	728.043	2010.355	436.800	748.969	2091.571	402.296	746.877	2065.671	347.727	842.953	2283.911	267.470	813.203	2291.101	303.473	775.613	2279.582	288.031	834.037	2197.812	147.561	804.657	2167.480	113.584	741.684	2208.037	158.138	847.123	2200.404	279.110	768.877	2224.264	281.952	924.610	2399.101	99.145	844.723	2391.056	114.468	912.796	2169.263	347.149	790.846	1895.892	404.595
107	0.53000	857.025	1947.821	1282.939	839.559	1920.093	1082.272	871.450	2050.471	1361.245	869.178	2123.970	1183.147	953.045	1997.675	894.001	761.055	1988.462	894.126	895.914	2154.636	941.503	802.514	2160.671	931.143	990.731	2072.801	949.099	704.648	2076.401	940.372	1006.287	1980.416	1333.006	722.791	2020.994	1346.890	1023.279	2098.374	692.298	1023.661	2161.863	708.835	998.477	2179.176	616.295	1006.413	2114.548	607.007	850.690	2199.543	437.860	971.733	2178.441	420.318	967.815	2245.274	294.998	974.715	2287.334	325.391	958.476	2334.985	258.809	947.184	2287.714	225.941	856.499	2456.234	74.952	892.761	2473.020	80.674	924.479	2445.474	67.708	824.272	2320.867	21.210	841.674	2265.344	15.204	921.633	2319.276	19.708	668.641	2011.118	724.700	669.844	2061.132	696.105	695.857	2021.656	622.893	688.677	1967.837	649.494	860.255	1909.862	493.034	736.122	1874.926	487.928	743.909	1955.592	387.373	729.906	1983.042	437.729	750.138	2061.820	398.877	746.883	2032.855	345.837	847.413	2236.170	247.626	813.254	2252.490	287.608	777.145	2242.204	273.230	833.588	2151.338	137.167	807.603	2119.216	104.959	742.329	2162.419	148.014	846.909	2161.615	267.116	769.403	2187.321	270.531	924.252	2394.053	105.168	846.774	2384.595	118.224	910.589	2163.192	352.793	790.527	1865.922	411.405
108	0.53500	855.701	1926.596	1288.503	838.077	1897.788	1088.452	871.514	2029.094	1365.587	870.705	2101.414	1186.539	951.240	1972.378	896.420	761.088	1964.753	899.736	897.465	2129.930	945.246	803.848	2136.514	936.035	991.287	2046.191	951.597	704.626	2052.463	947.071	1004.608	1957.675	1338.057	722.526	2001.654	1351.344	1022.140	2078.454	695.561	1023.741	2141.458	713.973	998.830	2162.111	622.391	1004.707	2097.172	611.002	849.813	2191.612	446.070	971.387	2169.723	428.062	966.277	2237.368	302.538	972.352	2282.235	333.857	953.693	2329.187	267.324	947.843	2281.804	234.979	856.649	2450.515	84.983	893.061	2466.587	91.908	924.586	2439.706	77.668	824.267	2319.929	22.523	841.336	2265.129	15.142	921.894	2316.991	21.365	667.968	1987.148	731.039	669.428	2036.648	702.255	696.496	1995.582	629.260	689.712	1942.431	656.910	859.097	1882.574	501.176	736.028	1848.732	495.431	743.572	1925.169	389.753	731.725	1956.021	438.362	750.751	2032.481	395.360	746.873	2000.083	343.870	847.577	2198.064	233.392	815.862	2216.164	271.980	778.626	2204.436	257.928	833.888	2104.473	127.782	807.755	2070.425	98.030	742.219	2116.990	138.406	846.495	2123.362	255.459	771.021	2149.234	258.821	923.833	2387.647	112.642	847.102	2377.475	124.253	909.565	2155.483	358.821	789.390	1836.553	417.783
109	0.54000	854.330	1904.851	1293.297	835.833	1874.648	1094.218	871.410	2008.227	1369.595	872.215	2078.992	1189.890	951.814	1948.530	899.114	761.216	1941.105	905.270	898.727	2105.004	949.052	805.189	2112.269	940.925	991.683	2019.657	954.296	705.526	2028.865	953.081	1003.058	1935.073	1343.044	722.358	1982.003	1355.637	1020.407	2057.517	698.826	1022.974	2119.567	719.265	998.478	2143.619	628.147	1003.359	2079.294	615.117	849.351	2182.642	454.585	970.148	2159.637	435.159	966.312	2230.000	310.864	968.395	2272.850	342.707	952.427	2321.551	276.163	950.358	2272.609	243.536	857.008	2443.742	95.943	893.252	2458.716	104.829	924.608	2432.613	88.297	824.232	2319.139	24.053	840.653	2265.181	15.056	921.467	2314.015	23.338	667.307	1963.010	737.405	668.650	2012.066	707.900	695.834	1970.590	635.764	689.910	1917.395	664.044	858.271	1856.029	508.882	735.698	1823.932	502.376	742.751	1895.255	391.588	732.727	1928.927	438.769	753.034	2002.763	390.969	746.380	1967.467	342.213	848.461	2158.180	219.508	817.365	2178.337	255.799	780.228	2166.118	242.667	835.045	2057.600	119.459	807.125	2020.736	91.784	743.109	2071.068	128.947	846.885	2084.378	244.463	772.136	2110.938	246.623	923.301	2379.864	120.691	847.336	2369.183	130.502	908.801	2146.907	365.712	788.190	1807.926	424.314
110	0.54500	853.229	1883.652	1298.559	834.918	1852.778	1099.982	871.098	1987.092	1373.614	873.553	2056.466	1193.217	950.816	1924.323	901.547	761.154	1917.468	910.838	900.065	2080.276	952.862	806.436	2088.033	945.780	992.004	1993.287	957.030	706.080	2005.121	959.051	1001.363	1912.472	1347.872	722.298	1962.129	1359.782	1019.330	2036.786	702.151	1023.177	2098.692	724.343	1000.886	2126.936	634.351	1002.095	2060.945	619.226	848.554	2172.412	463.722	969.430	2148.865	442.728	965.258	2220.754	319.719	966.906	2264.465	351.756	951.095	2312.583	285.336	948.425	2265.990	251.230	857.786	2436.750	107.847	893.624	2449.641	118.870	925.369	2423.251	100.874	824.476	2318.257	26.099	839.716	2265.428	14.842	922.304	2311.481	26.411	666.750	1938.676	743.783	667.696	1987.422	713.658	695.638	1945.320	642.185	690.092	1892.403	671.158	857.157	1829.395	515.784	735.223	1799.783	508.494	742.207	1865.644	392.941	733.699	1902.051	438.528	753.354	1972.436	386.706	746.150	1934.925	339.789	850.246	2115.595	203.704	818.112	2139.686	240.175	781.478	2126.762	227.463	835.813	2009.966	111.420	807.822	1971.670	86.268	744.530	2024.586	119.844	847.969	2044.877	234.826	773.135	2072.044	235.028	923.009	2371.356	129.007	847.651	2359.160	136.570	908.471	2137.206	372.727	785.738	1780.156	430.599
111	0.55000	852.328	1862.612	1303.426	834.162	1830.768	1105.636	871.005	1966.047	1377.488	874.732	2034.017	1196.497	947.079	1899.668	903.656	761.646	1894.258	916.100	901.137	2055.537	956.575	807.487	2063.835	950.517	992.196	1967.168	959.763	706.433	1981.535	965.221	1000.130	1890.235	1352.500	722.206	1941.908	1363.713	1018.615	2016.126	705.634	1022.923	2077.380	729.471	1000.926	2108.293	640.260	1001.398	2042.706	623.415	848.009	2160.634	472.792	968.813	2136.956	450.714	965.237	2211.337	328.405	967.191	2256.575	360.701	949.376	2302.642	294.177	949.060	2256.400	260.496	860.647	2429.835	122.279	893.438	2439.153	134.219	924.789	2414.873	115.231	823.525	2316.499	30.259	839.442	2266.222	14.885	922.345	2309.776	29.386	666.337	1914.110	750.086	666.573	1962.617	719.557	694.882	1920.319	648.352	688.808	1867.608	678.125	856.367	1803.465	522.171	734.778	1776.196	514.300	740.875	1836.350	394.178	735.240	1875.169	437.753	755.249	1942.020	381.940	746.468	1902.211	336.821	850.598	2074.916	190.447	819.199	2100.569	224.486	782.527	2086.955	212.438	837.532	1962.987	104.663	809.092	1922.883	81.575	745.912	1978.048	111.205	847.741	2005.635	224.896	774.157	2031.001	222.710	922.677	2361.710	138.091	847.635	2348.964	144.135	908.649	2126.425	379.851	784.548	1752.830	436.113
112	0.55500	851.235	1841.377	1308.160	833.138	1808.624	1111.067	870.591	1944.653	1381.141	875.709	2011.553	1199.667	946.362	1875.586	906.563	761.388	1870.724	921.241	902.502	2031.302	960.376	808.378	2039.619	954.957	992.304	1941.669	962.491	707.114	1958.083	970.676	998.803	1867.990	1356.933	722.132	1921.388	1367.406	1018.308	1995.513	709.193	1022.575	2056.003	734.598	1000.934	2089.375	646.173	1000.790	2024.202	627.768	847.581	2147.344	481.608	968.654	2124.103	458.527	966.052	2201.725	336.992	967.049	2247.431	370.259	947.746	2291.651	302.962	948.420	2245.186	269.440	857.007	2415.870	138.969	893.638	2427.003	150.451	924.220	2405.127	129.072	824.009	2314.859	34.827	839.689	2266.869	15.211	922.517	2308.933	33.265	665.994	1889.463	756.244	665.465	1937.721	725.512	694.047	1895.510	654.430	690.044	1842.750	684.147	855.595	1778.057	527.537	734.556	1753.363	518.872	740.000	1807.381	394.795	733.831	1849.379	437.474	755.540	1912.114	376.986	746.175	1869.832	333.795	851.412	2032.737	178.052	819.434	2060.353	209.510	783.791	2046.183	197.769	838.709	1914.995	98.354	810.748	1874.319	77.779	747.443	1931.252	103.161	850.454	1963.314	216.091	773.981	1992.862	212.440	922.413	2351.139	147.709	847.614	2337.958	151.901	908.978	2114.522	386.747	783.332	1726.113	441.065
113	0.56000	850.442	1820.214	1312.516	831.702	1786.127	1116.312	870.357	1923.532	1384.600	876.629	1989.168	1202.632	945.287	1851.425	909.428	761.316	1847.473	926.058	903.087	2006.809	963.887	809.486	2015.469	959.785	992.335	1916.783	965.387	706.919	1934.171	976.163	997.601	1846.020	1361.118	722.025	1900.708	1370.813	1018.061	1974.723	712.870	1022.056	2034.482	739.629	1000.388	2069.960	651.972	1000.487	2005.667	632.153	847.248	2132.351	489.785	968.656	2110.056	465.967	966.023	2190.469	345.836	965.507	2235.872	379.381	946.519	2280.040	312.034	948.763	2234.223	278.323	856.356	2403.619	154.941	892.820	2413.991	167.068	923.574	2394.977	143.566	823.036	2311.933	41.802	838.454	2268.477	16.051	925.953	2311.643	37.421	665.899	1864.679	762.327	664.324	1913.116	731.511	693.093	1870.625	659.936	689.627	1818.474	690.220	855.248	1753.685	531.915	734.103	1730.929	522.909	739.303	1778.659	395.014	733.823	1823.012	435.603	756.605	1881.891	371.168	745.961	1837.546	330.572	852.567	1989.567	164.819	820.427	2019.702	194.219	782.973	2004.002	184.478	841.026	1868.192	93.260	812.688	1825.935	74.944	748.847	1884.182	95.642	850.188	1924.025	206.970	774.919	1952.690	201.655	921.753	2341.158	158.416	847.473	2326.265	160.526	911.903	2101.114	392.704	782.201	1700.107	445.703
