NO_OF_FRAMES	197
NO_OF_CAMERAS	24
NO_OF_MARKERS	50
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-21, 11:33:25.167	241600.13849050
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	calc_med_right	calc_back_right	calc_lat_right	forfoot_med_right	toe_right	forfoot_lat_right	mal_med_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_med_right X	calc_med_right Y	calc_med_right Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_med_right X	mal_med_right Y	mal_med_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
64	0.31500	928.078	2031.851	1240.870	927.674	2018.170	1042.084	912.020	2125.777	1327.093	883.537	2208.606	1156.017	996.798	2103.188	874.503	807.183	2080.498	853.527	926.323	2262.519	917.912	832.998	2257.224	902.742	1023.513	2186.593	935.165	742.331	2156.598	900.652	1065.948	2100.567	1294.147	778.601	2053.174	1303.530	1071.084	2130.070	699.055	1075.041	2192.001	675.136	1047.893	2151.999	589.632	1054.753	2092.454	620.231	897.624	2067.007	443.175	1014.402	2042.841	435.290	1004.866	2041.858	290.845	1008.666	2095.709	300.040	986.734	2108.717	219.998	981.792	2051.402	212.578	880.119	2143.446	17.577	914.820	2163.112	18.095	947.953	2135.274	15.428	857.730	1991.959	19.828	879.720	1936.039	25.484	956.520	1996.950	16.997	719.317	2181.973	653.518	713.992	2238.341	662.731	736.318	2256.300	580.185	734.984	2196.615	567.384	900.408	2250.498	394.196	767.007	2248.893	386.989	780.553	2362.964	386.269	778.281	2338.918	439.763	803.594	2416.376	476.701	791.740	2441.732	421.982	903.098	2620.116	526.604	869.745	2595.418	561.180	834.557	2608.171	543.586	895.485	2681.526	400.110	868.566	2697.990	356.004	804.090	2685.387	415.683	897.398	2575.485	471.276	823.108	2587.928	497.849	948.493	2101.518	60.904	873.721	2090.564	77.370	956.436	1991.002	382.851	817.866	2286.080	327.933
65	0.32000	927.615	2009.412	1236.047	926.469	1997.008	1036.775	912.873	2103.533	1324.399	884.336	2187.526	1153.911	996.384	2084.735	871.086	806.456	2060.894	848.851	925.158	2242.723	915.567	831.550	2237.793	899.088	1023.405	2166.927	932.655	741.270	2136.189	896.283	1066.649	2076.706	1290.331	777.969	2032.121	1300.551	1071.708	2111.424	695.152	1074.605	2174.090	672.037	1047.460	2136.168	586.984	1055.129	2075.538	615.778	895.138	2048.211	440.307	1014.619	2023.602	431.799	1003.294	2027.057	289.719	1009.947	2080.207	300.345	988.385	2096.128	221.052	980.609	2040.311	211.929	879.677	2142.561	17.978	914.287	2162.548	19.141	947.498	2134.608	16.608	857.826	1990.518	18.931	880.162	1934.418	22.855	957.591	1996.350	16.964	719.076	2156.647	650.903	713.727	2213.355	657.793	735.261	2227.596	574.264	734.275	2167.369	564.214	902.048	2216.844	390.971	766.302	2213.791	381.088	779.698	2326.955	380.797	775.442	2303.141	434.233	800.651	2380.213	471.752	789.965	2405.814	416.909	899.360	2584.505	524.517	864.957	2559.916	558.058	830.560	2572.610	539.880	894.083	2644.894	396.767	868.477	2661.082	352.636	802.540	2649.506	411.248	895.516	2538.987	469.767	820.116	2551.557	493.928	948.211	2098.779	61.857	871.886	2088.201	80.644	956.520	1974.554	379.944	817.975	2249.991	323.893
66	0.32500	926.566	1987.204	1232.009	924.143	1974.940	1031.430	913.484	2081.180	1322.170	885.197	2166.478	1152.095	995.921	2064.970	867.727	805.389	2042.321	843.979	924.015	2222.673	913.594	830.141	2218.412	895.781	1023.138	2147.649	930.400	740.482	2116.710	892.565	1067.193	2052.891	1286.927	777.318	2011.082	1297.789	1072.963	2093.407	691.614	1074.002	2156.520	670.164	1046.630	2120.336	584.434	1055.798	2059.408	611.830	896.585	2031.990	437.291	1014.602	2003.784	428.289	1002.710	2013.715	288.098	1011.304	2066.221	300.781	989.241	2085.107	222.365	979.711	2030.690	210.919	879.614	2142.144	18.337	914.204	2162.288	19.791	947.415	2134.187	17.165	857.284	1990.112	17.735	879.893	1933.710	20.808	956.345	1995.838	16.157	718.996	2130.635	649.203	713.501	2187.786	653.530	734.176	2198.854	569.480	733.479	2138.201	561.911	901.962	2182.434	388.175	765.900	2177.823	376.537	778.920	2290.466	375.922	772.357	2267.096	429.209	798.617	2344.159	466.751	788.492	2369.436	411.848	892.144	2547.898	520.586	860.587	2525.094	554.383	825.043	2536.581	535.215	893.017	2607.971	392.768	868.508	2623.758	347.965	801.228	2613.103	405.103	893.169	2502.359	466.855	817.222	2515.490	489.119	947.805	2097.244	62.208	871.420	2086.201	81.432	955.758	1958.986	376.948	818.578	2213.394	320.369
67	0.33000	925.495	1965.088	1228.383	923.122	1953.862	1026.826	913.927	2058.975	1320.346	886.079	2145.478	1150.534	996.469	2045.916	865.199	806.268	2023.245	840.488	922.742	2202.409	911.893	828.942	2198.926	892.853	1022.794	2128.322	928.539	740.256	2097.882	889.661	1067.489	2029.177	1283.887	776.783	1989.967	1295.289	1074.247	2075.425	688.741	1073.079	2138.742	668.801	1046.444	2104.355	582.128	1056.085	2043.040	608.142	894.783	2013.686	436.203	1012.954	1984.730	425.783	1003.084	2002.742	286.729	1013.504	2055.015	301.536	991.206	2075.833	223.902	980.100	2023.042	210.013	879.596	2141.942	18.677	914.173	2162.119	20.271	947.426	2133.957	17.546	857.058	1989.729	16.860	879.657	1933.322	19.341	956.150	1995.582	15.927	718.595	2104.597	647.633	712.771	2161.760	650.172	733.242	2170.142	565.739	732.720	2109.472	560.237	902.005	2147.731	386.980	765.702	2141.138	373.589	778.102	2253.103	371.848	769.552	2230.519	425.138	796.049	2307.777	462.338	786.762	2332.576	407.163	889.214	2512.983	516.687	856.292	2490.832	549.243	822.723	2503.036	529.158	892.084	2571.003	387.465	868.442	2585.909	341.854	800.033	2576.305	397.619	890.741	2466.007	462.859	816.009	2480.215	483.190	947.825	2095.502	62.384	871.411	2085.203	81.640	955.281	1944.743	374.189	819.079	2175.958	317.748
68	0.33500	924.635	1943.282	1225.451	921.662	1933.282	1023.565	913.591	2036.167	1318.952	887.055	2124.569	1149.311	997.018	2026.326	862.895	806.341	2004.323	836.757	921.470	2182.119	910.360	828.034	2179.298	890.294	1022.560	2108.942	926.974	740.131	2079.001	887.860	1067.383	2004.883	1281.233	776.495	1969.072	1293.290	1074.927	2058.069	685.772	1072.443	2121.553	667.667	1046.420	2088.581	579.963	1056.467	2027.002	604.884	894.727	1996.363	435.142	1012.303	1968.731	422.968	1003.297	1993.810	284.580	1013.069	2044.485	300.746	990.083	2068.696	223.234	980.389	2016.640	208.417	879.747	2141.800	18.919	914.354	2162.021	20.638	947.562	2133.826	17.770	857.003	1989.556	16.283	879.625	1933.098	18.361	956.058	1995.403	15.553	718.207	2078.364	646.763	711.738	2135.708	647.640	733.462	2140.824	562.677	732.121	2080.693	559.049	900.935	2112.297	386.040	765.295	2103.927	371.886	778.202	2215.260	368.824	767.577	2193.417	422.110	793.791	2271.351	458.600	785.058	2295.196	402.957	886.359	2478.976	511.328	852.477	2457.304	543.393	819.061	2468.651	522.571	890.988	2533.777	380.682	868.110	2547.668	334.263	798.702	2539.356	388.915	886.793	2428.786	457.465	812.114	2444.067	476.941	947.976	2094.174	62.299	871.527	2084.360	81.643	955.128	1932.120	370.849	819.695	2137.986	316.066
69	0.34000	923.543	1921.484	1223.103	919.861	1911.792	1020.490	913.628	2014.150	1317.928	887.975	2103.494	1148.394	996.460	2005.355	860.655	807.250	1983.969	834.024	920.540	2161.846	909.215	827.688	2159.541	888.480	1022.553	2089.392	925.816	739.886	2059.611	886.754	1067.194	1981.271	1279.069	775.908	1948.830	1291.814	1074.692	2040.517	683.121	1071.331	2104.242	666.223	1046.063	2073.010	577.785	1056.463	2011.097	601.513	894.270	1979.468	434.599	1012.145	1955.623	420.471	1003.795	1986.086	281.287	1013.289	2036.281	299.061	991.705	2063.292	223.264	980.799	2010.853	205.833	879.816	2141.621	19.365	914.500	2161.586	21.026	947.631	2133.651	18.179	856.842	1989.421	15.672	879.719	1932.766	17.402	955.678	1995.166	15.269	717.858	2052.192	646.384	710.603	2109.436	645.388	732.643	2112.328	560.520	731.510	2052.046	558.589	903.794	2078.203	388.990	764.877	2065.795	372.306	777.055	2176.981	366.359	766.645	2156.013	420.152	791.454	2234.902	455.494	783.490	2257.566	399.186	883.707	2445.496	504.721	848.996	2424.456	536.440	816.044	2435.669	515.303	889.762	2496.324	372.439	867.705	2508.913	325.309	797.358	2502.059	379.006	884.176	2392.927	451.076	809.846	2408.963	469.869	948.115	2092.680	62.198	870.806	2083.825	82.144	954.953	1920.308	367.016	820.261	2099.862	315.210
70	0.34500	922.034	1899.472	1221.255	917.607	1889.951	1018.585	914.056	1992.398	1317.147	888.857	2082.237	1147.699	996.872	1985.469	859.576	807.152	1964.155	832.124	920.638	2141.039	908.941	827.662	2139.333	887.588	1022.803	2069.630	924.887	739.840	2039.814	885.873	1066.621	1957.571	1277.621	775.704	1928.604	1290.976	1074.603	2023.348	680.365	1070.421	2087.294	664.824	1045.096	2057.627	575.784	1056.488	1995.445	598.141	895.892	1965.290	433.369	1012.169	1944.721	416.482	1003.872	1978.744	277.066	1012.953	2028.382	296.748	991.053	2057.363	221.707	980.998	2005.890	202.996	878.817	2142.393	21.689	915.527	2160.287	20.520	947.697	2133.369	18.703	856.689	1989.278	15.273	879.822	1932.659	16.377	955.424	1994.884	14.928	717.464	2026.141	646.722	709.326	2083.114	643.973	731.608	2083.787	559.054	730.739	2023.490	558.998	903.890	2043.149	390.270	765.612	2028.855	372.019	776.656	2138.486	364.557	765.963	2118.663	418.732	789.418	2198.578	452.755	782.368	2219.779	395.670	881.480	2412.586	497.081	846.022	2392.401	528.622	812.934	2402.519	507.020	888.764	2458.839	363.023	867.054	2469.344	315.086	795.960	2464.424	368.141	882.077	2357.564	444.311	807.817	2374.105	462.075	948.417	2091.457	62.244	870.615	2082.594	82.434	955.742	1910.163	361.834	820.115	2060.656	315.199
71	0.35000	920.741	1877.654	1220.180	916.251	1868.913	1017.215	914.461	1970.738	1316.574	889.809	2061.061	1147.429	997.530	1965.498	859.219	807.026	1943.268	831.506	920.703	2120.026	908.831	828.106	2118.310	887.915	1023.076	2048.988	924.436	739.521	2020.150	885.407	1066.059	1933.724	1276.615	775.260	1908.720	1290.745	1074.374	2006.361	677.881	1069.834	2070.714	663.751	1043.662	2042.785	574.268	1056.324	1980.258	595.096	895.213	1950.059	430.320	1013.478	1935.994	412.270	1003.649	1971.857	273.048	1012.961	2021.283	294.302	991.255	2052.510	220.429	980.583	2001.155	199.918	878.966	2142.036	22.743	915.648	2160.698	21.667	947.761	2133.125	19.306	856.662	1989.123	14.992	879.838	1932.705	15.118	955.666	1994.877	14.758	716.860	2000.184	647.891	708.487	2056.941	643.300	730.641	2055.106	558.404	729.979	1994.897	560.127	903.199	2007.489	391.812	764.622	1989.241	374.005	776.495	2099.948	363.127	765.403	2081.431	417.774	787.468	2162.266	450.147	781.824	2182.262	392.195	877.383	2380.141	486.929	843.763	2361.306	520.273	810.511	2370.113	497.856	887.024	2420.360	352.211	865.921	2428.921	303.785	794.507	2426.036	356.236	879.558	2322.198	436.261	805.897	2339.728	454.051	948.650	2090.295	62.401	870.824	2081.136	82.651	956.458	1901.030	356.355	820.376	2021.638	315.407
72	0.35500	919.527	1855.766	1219.465	914.385	1847.648	1016.331	914.857	1949.161	1316.484	890.793	2039.648	1147.433	997.616	1944.784	858.972	807.297	1923.026	831.732	921.507	2098.848	909.311	828.780	2097.044	888.886	1023.508	2027.422	924.487	738.846	2000.316	885.457	1065.178	1909.576	1276.201	774.759	1889.084	1291.211	1074.137	1989.946	676.107	1069.290	2054.421	663.384	1042.263	2028.392	573.585	1056.463	1965.760	592.598	899.805	1938.080	429.167	1015.226	1928.884	407.410	1003.283	1965.607	269.304	1012.541	2014.144	291.643	990.457	2047.468	218.571	979.723	1996.699	196.990	878.822	2141.952	23.639	915.429	2160.497	22.731	947.679	2132.871	20.136	856.268	1988.923	14.893	879.841	1932.478	14.613	955.384	1994.765	14.715	716.499	1974.265	649.721	707.764	2030.926	643.576	729.631	2026.626	558.659	729.136	1966.435	562.251	903.756	1972.492	394.861	766.494	1953.263	376.718	776.600	2061.495	362.354	764.917	2044.503	417.331	785.591	2126.501	447.822	781.216	2144.579	389.022	874.255	2348.089	476.240	841.508	2330.694	510.672	808.379	2337.745	487.708	882.944	2380.306	338.401	864.248	2388.015	291.480	792.833	2387.073	343.810	879.573	2287.916	429.623	804.514	2305.270	445.248	948.597	2089.458	63.005	870.604	2079.978	83.352	956.982	1892.838	350.631	820.869	1982.088	318.222
73	0.36000	918.253	1833.970	1219.765	912.251	1826.242	1016.466	915.238	1927.679	1316.860	891.855	2018.124	1147.759	998.311	1924.268	859.152	807.253	1902.364	833.225	922.370	2077.280	910.038	829.631	2075.576	890.281	1023.872	2005.606	924.518	738.933	1980.127	886.086	1064.387	1885.501	1276.329	774.155	1869.682	1292.368	1073.728	1973.404	674.774	1068.565	2038.100	663.865	1041.261	2014.519	573.314	1056.362	1951.616	590.538	903.576	1928.316	427.736	1015.936	1921.333	402.655	1002.934	1959.933	265.857	1015.237	2010.123	289.746	990.083	2043.091	217.226	978.936	1992.839	194.365	879.707	2140.940	22.332	914.548	2160.543	24.333	947.493	2132.654	21.145	856.095	1988.823	14.650	879.705	1932.288	14.125	955.434	1994.830	14.716	715.878	1948.648	652.428	706.995	2005.026	644.525	728.773	1998.114	559.810	728.280	1938.134	565.220	901.227	1947.168	398.197	767.206	1915.552	380.864	776.439	2022.766	362.340	764.782	2008.197	417.107	784.037	2090.979	445.974	780.719	2106.901	386.649	874.016	2316.410	464.779	839.945	2300.373	500.558	807.096	2305.195	476.604	882.956	2342.006	327.630	863.097	2346.205	278.692	791.175	2347.608	330.723	877.172	2253.017	420.470	803.400	2271.061	436.139	948.638	2088.182	63.572	870.536	2078.586	83.886	956.619	1884.926	344.552	821.174	1941.731	322.315
