NO_OF_FRAMES	226
NO_OF_CAMERAS	24
NO_OF_MARKERS	50
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-21, 11:34:31.562	241666.53485770
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	calc_med_right	calc_back_right	calc_lat_right	forfoot_med_right	toe_right	forfoot_lat_right	mal_med_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_med_right X	calc_med_right Y	calc_med_right Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_med_right X	mal_med_right Y	mal_med_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
53	0.26000	915.869	3015.372	1298.639	931.404	2982.642	1102.819	891.048	3117.419	1377.764	876.875	3188.862	1195.269	1002.849	3055.366	914.536	814.668	3050.217	899.556	955.332	3210.244	958.280	860.655	3216.436	954.542	1041.804	3130.663	973.197	759.901	3127.711	950.658	1042.714	3095.002	1359.910	761.698	3043.288	1343.618	1077.826	3058.696	748.674	1078.341	3113.340	712.735	1045.464	3058.075	638.657	1055.383	3006.659	679.643	0.000	0.000	0.000	1010.079	2930.928	517.125	1016.233	2978.407	384.886	1012.527	3026.392	410.222	1003.033	3062.376	336.276	1001.160	3010.717	309.911	919.245	3156.265	131.616	0.000	0.000	0.000	986.731	3150.657	138.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	774.893	3411.407	343.646	769.415	3452.603	385.653	809.617	3512.135	325.614	795.212	3471.715	282.239	0.000	0.000	0.000	865.776	3649.013	181.170	833.965	3637.476	158.435	0.000	0.000	0.000	909.698	3503.400	21.052	824.750	3553.574	37.830	901.517	3556.018	159.770	825.933	3585.325	160.401	977.482	3101.244	173.628	907.778	3084.207	176.298	957.876	2889.064	452.267	822.824	3332.925	380.012
54	0.26500	916.358	2994.229	1302.354	931.839	2962.431	1107.216	890.845	3096.094	1380.665	875.597	3166.599	1197.629	1002.022	3031.509	918.454	814.336	3026.407	902.709	953.673	3185.366	963.370	859.987	3192.030	957.538	1040.991	3106.654	977.253	762.090	3104.775	953.386	1042.355	3074.262	1362.713	762.272	3021.497	1347.344	1076.708	3034.432	752.865	1078.474	3089.292	717.053	1045.554	3034.879	642.723	1054.786	2983.373	683.816	0.000	0.000	0.000	1012.880	2911.591	519.587	1015.194	2949.707	382.487	1013.396	2999.298	404.719	999.668	3028.884	328.053	996.185	2975.338	304.474	916.116	3112.197	119.897	0.000	0.000	0.000	983.868	3107.027	125.334	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	774.358	3398.979	351.836	769.708	3439.985	394.045	809.595	3499.632	333.970	794.632	3459.459	290.550	0.000	0.000	0.000	864.896	3634.658	196.305	833.410	3625.579	172.175	0.000	0.000	0.000	908.686	3501.809	21.224	818.472	3551.546	44.816	900.202	3543.952	168.360	824.454	3574.070	170.663	971.242	3059.265	159.303	905.232	3043.291	168.956	957.588	2865.153	455.091	822.811	3319.611	386.773
55	0.27000	916.535	2972.813	1305.637	934.937	2942.248	1111.358	890.689	3074.671	1383.289	874.465	3144.266	1199.841	1001.526	3008.068	922.176	815.856	3002.385	905.061	951.657	3162.865	966.331	859.334	3167.826	960.383	1040.210	3082.888	980.998	762.023	3079.979	955.593	1042.080	3053.396	1365.172	762.870	2999.519	1350.731	1076.046	3010.684	756.588	1078.361	3065.214	720.971	1045.242	3011.872	646.210	1053.354	2960.148	687.103	0.000	0.000	0.000	1009.331	2888.236	519.460	1013.818	2921.168	379.797	1013.129	2971.815	398.716	998.713	2997.042	320.693	994.899	2942.342	300.322	914.038	3066.505	107.617	946.286	3090.184	113.955	979.809	3062.605	113.275	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	774.437	3385.637	359.346	780.611	3423.440	400.179	809.463	3486.483	342.424	794.446	3446.657	298.696	0.000	0.000	0.000	865.559	3619.899	211.095	832.894	3613.722	186.300	0.000	0.000	0.000	912.446	3501.626	23.194	810.104	3548.974	53.945	909.129	3534.625	185.347	823.664	3562.731	181.479	976.336	3020.836	155.819	903.481	3000.729	161.842	957.526	2841.897	457.413	822.790	3305.528	392.952
56	0.27500	916.936	2951.540	1308.695	935.020	2920.040	1115.404	890.585	3053.289	1385.601	873.377	3122.060	1201.839	1001.449	2984.551	925.539	815.932	2978.879	907.608	950.327	3139.558	969.210	858.749	3143.703	963.065	1039.339	3059.514	984.171	762.105	3055.527	958.086	1041.873	3032.412	1367.399	763.425	2977.615	1353.889	1074.568	2986.691	759.596	1078.370	3041.480	724.508	1045.165	2989.518	648.939	1051.667	2937.334	689.476	0.000	0.000	0.000	1009.132	2867.380	519.523	1013.445	2893.598	377.248	1013.261	2944.895	392.614	997.537	2965.296	313.482	991.951	2908.845	295.973	910.379	3021.754	97.263	942.660	3045.936	102.267	976.750	3018.718	102.725	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	774.859	3371.361	366.486	780.953	3408.540	407.858	809.315	3472.598	351.266	794.453	3433.421	306.890	907.884	3589.204	178.040	864.565	3605.283	226.056	833.028	3601.341	200.468	922.470	3524.335	54.804	913.965	3499.760	25.361	803.236	3545.955	64.346	909.247	3522.921	195.272	823.304	3551.520	192.739	975.440	2980.382	148.413	900.970	2959.387	154.943	957.234	2819.116	459.200	822.897	3290.459	398.690
57	0.28000	917.498	2930.228	1311.370	932.771	2896.150	1119.669	890.504	3031.836	1387.616	872.449	3099.775	1203.631	1001.975	2961.258	928.414	814.470	2955.901	910.148	949.625	3115.687	971.952	858.188	3119.766	965.606	1038.750	3036.356	987.093	762.315	3032.068	960.121	1041.675	3011.381	1369.403	763.940	2955.620	1356.721	1073.832	2963.537	762.171	1078.514	3018.331	727.748	1045.294	2967.978	650.953	1050.259	2915.370	690.893	0.000	0.000	0.000	1008.905	2846.852	518.916	1012.447	2865.918	374.338	1012.946	2918.266	386.471	996.520	2933.988	306.549	991.424	2877.136	292.734	907.590	2982.692	84.144	938.956	3001.736	91.504	967.978	2970.953	91.615	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	782.763	3354.368	371.398	780.792	3392.615	415.294	809.162	3457.974	360.027	794.715	3419.541	314.830	917.090	3576.846	205.357	875.875	3588.921	237.699	833.429	3589.685	214.222	922.265	3519.478	64.878	913.365	3497.682	34.779	801.458	3542.588	75.147	909.768	3511.797	205.413	832.870	3539.695	203.899	972.761	2938.992	141.129	897.613	2918.840	150.021	957.047	2797.081	460.322	823.181	3274.640	403.752
58	0.28500	918.684	2909.222	1313.812	932.534	2874.074	1122.785	890.436	3010.369	1389.366	871.544	3077.661	1205.207	1002.660	2938.086	930.714	814.365	2933.012	912.026	948.990	3091.926	974.417	857.030	3096.711	966.685	1038.311	3013.325	989.618	761.417	3007.759	961.903	1041.520	2990.219	1371.129	764.412	2933.659	1359.300	1070.721	2939.471	763.249	1078.777	2995.620	730.553	1046.219	2947.518	652.453	1047.979	2893.542	691.141	0.000	0.000	0.000	1008.979	2826.821	517.685	1011.819	2838.631	371.325	1012.105	2891.498	380.291	995.106	2902.678	299.824	992.535	2846.622	290.169	901.852	2933.667	81.040	933.105	2956.414	87.400	954.896	2926.259	74.111	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	783.331	3338.501	377.165	780.391	3375.618	422.073	808.771	3442.585	368.799	795.043	3405.310	322.554	918.146	3566.736	219.074	866.356	3580.151	253.409	844.429	3576.363	225.521	922.550	3513.320	76.380	910.020	3492.054	42.717	802.514	3536.442	86.509	910.440	3501.210	216.639	833.380	3529.591	215.923	969.940	2897.797	134.716	895.246	2877.759	145.310	957.108	2775.487	461.029	823.805	3257.933	408.188
59	0.29000	918.256	2887.326	1315.635	930.327	2846.372	1127.570	890.336	2988.888	1390.847	870.812	3055.410	1206.611	992.496	2913.755	929.935	815.816	2909.946	913.002	948.463	3068.394	976.533	856.454	3073.125	968.768	1037.898	2990.471	991.670	760.360	2984.087	963.676	1041.326	2969.098	1372.606	764.717	2911.673	1361.538	1069.150	2916.797	764.341	1078.573	2973.137	732.771	1046.465	2927.052	653.264	1047.379	2872.873	691.461	0.000	0.000	0.000	1008.517	2806.710	515.647	1011.555	2811.844	368.354	1011.655	2865.483	374.402	993.418	2871.561	293.444	993.226	2816.218	287.531	896.819	2892.829	76.254	920.825	2906.347	69.552	946.368	2881.613	61.394	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	784.025	3322.044	382.471	780.985	3356.820	427.185	808.173	3426.680	377.650	795.569	3390.582	330.018	918.247	3558.312	231.349	876.294	3569.493	263.788	846.241	3564.429	237.454	921.301	3503.635	93.245	911.032	3485.184	54.605	803.713	3528.495	97.938	910.968	3491.560	229.281	835.006	3517.323	226.114	967.191	2856.867	129.143	894.019	2835.493	139.983	957.351	2754.459	461.329	824.577	3240.580	411.896
60	0.29500	919.085	2866.054	1317.523	928.636	2824.838	1130.586	890.285	2967.312	1392.095	870.116	3033.246	1207.845	991.731	2891.034	931.244	816.027	2887.159	914.058	948.001	3045.120	978.381	855.932	3049.681	970.735	1037.515	2967.874	993.301	757.404	2959.580	965.239	1041.283	2947.930	1373.880	764.944	2889.577	1363.493	1067.933	2894.784	765.096	1078.929	2951.389	734.515	1046.638	2906.810	653.703	1045.752	2851.853	690.743	0.000	0.000	0.000	1008.681	2787.089	513.218	1011.195	2785.433	365.348	1010.327	2839.232	368.501	991.700	2840.780	287.490	992.606	2785.491	284.690	893.635	2848.900	70.167	918.142	2862.566	62.430	941.631	2837.290	52.828	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	784.971	3305.110	387.293	780.642	3337.934	432.996	806.762	3410.735	386.778	796.246	3375.572	337.477	917.831	3548.956	245.183	874.994	3558.651	280.570	845.756	3553.633	250.847	922.220	3495.281	106.473	912.794	3477.192	67.702	807.149	3519.051	110.028	911.571	3482.169	242.031	834.164	3508.681	241.012	964.652	2816.281	124.455	890.998	2796.136	137.818	957.624	2733.873	461.178	825.669	3222.678	415.118
61	0.30000	913.848	2840.914	1318.221	930.274	2804.555	1131.961	889.682	2945.284	1392.907	869.543	3011.102	1208.944	990.764	2868.375	931.983	815.997	2864.481	914.894	948.160	3022.559	980.361	855.488	3026.376	972.365	1037.248	2945.469	994.372	756.371	2936.857	966.281	1041.202	2926.708	1374.921	765.236	2867.333	1365.045	1066.186	2873.000	765.332	1078.554	2929.725	735.763	1046.751	2886.769	653.772	1044.783	2831.131	689.745	0.000	0.000	0.000	1009.772	2768.158	510.670	1008.815	2758.256	361.674	1009.174	2813.652	362.848	990.038	2810.476	282.010	993.440	2756.240	282.775	890.800	2805.661	65.517	916.301	2819.571	56.957	939.925	2793.564	47.775	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1047.249	2887.336	653.897	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	786.111	3287.655	391.806	780.054	3318.550	438.706	805.924	3393.730	396.001	797.090	3360.279	345.038	917.101	3538.954	259.476	873.909	3547.292	294.476	844.902	3541.866	264.546	930.698	3489.121	126.170	914.845	3468.776	81.010	810.640	3509.279	122.424	911.225	3472.017	254.407	834.423	3497.148	253.734	962.368	2776.289	120.672	887.284	2757.974	136.047	957.946	2713.696	460.703	827.229	3204.196	417.785
62	0.30500	916.219	2819.935	1319.991	930.263	2782.866	1133.585	889.573	2923.532	1393.836	868.985	2989.009	1209.905	983.916	2842.874	931.031	814.358	2842.090	916.023	947.924	2999.484	981.410	855.328	3003.121	973.518	1036.988	2923.008	995.022	756.107	2913.800	967.526	1041.257	2905.518	1375.796	765.255	2845.155	1366.549	1064.975	2851.244	765.105	1077.795	2908.204	736.213	1046.818	2866.906	653.472	1044.366	2810.660	688.444	0.000	0.000	0.000	1009.417	2748.513	507.405	1010.221	2734.045	359.592	1007.562	2788.369	357.629	989.919	2782.153	277.497	991.088	2725.617	279.798	888.284	2763.193	61.850	914.628	2777.105	52.450	940.486	2750.712	45.597	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1047.546	2867.715	653.674	1045.411	2811.495	688.840	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	787.386	3269.686	396.087	778.288	3299.618	445.166	804.926	3376.049	405.090	798.073	3344.312	352.460	916.198	3527.819	274.190	872.581	3534.509	308.665	844.001	3528.928	278.290	932.607	3480.451	140.395	917.909	3460.807	94.525	815.829	3498.824	135.410	911.897	3460.852	267.989	835.585	3482.693	264.356	960.382	2736.909	117.746	885.052	2719.440	134.029	958.183	2694.445	459.672	828.611	3185.441	419.971
