NO_OF_FRAMES	291
NO_OF_CAMERAS	24
NO_OF_MARKERS	50
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-24, 11:20:13.484	500010.27420580
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	calc_med_right	calc_back_right	calc_lat_right	forfoot_med_right	toe_right	forfoot_lat_right	mal_med_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_med_right X	calc_med_right Y	calc_med_right Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_med_right X	mal_med_right Y	mal_med_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
12	0.05500	832.475	3142.667	1502.020	836.674	3103.939	1325.974	868.412	3279.033	1572.327	908.204	3329.970	1388.983	989.806	3137.430	1056.398	748.978	3173.543	1054.260	944.105	3344.853	1103.176	859.744	3362.166	1096.200	1022.707	3155.946	1150.422	0.000	0.000	0.000	1004.113	3161.349	1579.734	693.942	3270.187	1513.750	1042.537	3227.193	741.558	1038.440	3290.203	737.619	1015.991	3292.201	653.826	1027.111	3230.510	648.290	879.894	3278.904	523.316	995.711	3289.971	525.894	1008.854	3413.409	460.970	1006.776	3427.755	514.525	991.273	3509.542	490.628	995.851	3499.123	437.411	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	696.622	3132.827	799.000	703.433	3190.025	781.744	730.746	3166.930	703.041	715.971	3112.746	714.743	870.760	3083.747	574.483	745.656	3076.592	551.936	731.366	3058.626	427.675	748.787	3109.326	421.421	756.817	3105.926	340.453	746.611	3050.183	343.497	885.519	3039.703	48.190	841.123	3061.929	35.090	801.342	3043.719	33.069	845.856	2852.804	124.879	814.763	2812.906	142.018	754.460	2862.935	97.214	883.143	2995.374	124.700	785.296	3002.935	86.015	964.061	3722.514	375.667	0.000	0.000	0.000	945.726	3289.862	436.291	796.174	3011.254	511.271
13	0.06000	831.950	3125.397	1498.679	836.522	3086.569	1322.378	867.611	3262.117	1568.762	906.853	3313.114	1385.739	989.497	3120.553	1053.522	746.066	3156.001	1051.363	941.061	3327.050	1097.806	858.860	3345.470	1091.793	1022.539	3139.322	1146.747	0.000	0.000	0.000	1003.584	3144.691	1576.370	692.967	3252.729	1509.935	1042.680	3205.814	738.195	1038.010	3268.883	732.932	1015.678	3268.910	648.917	1028.168	3207.424	644.756	880.723	3253.590	518.760	996.542	3263.926	521.880	1009.678	3387.591	459.044	1006.980	3401.005	512.958	991.749	3483.111	490.266	996.831	3473.659	436.905	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	698.537	3115.537	796.025	704.644	3172.112	777.926	730.403	3150.437	699.616	717.904	3094.804	711.256	871.152	3068.185	570.431	746.059	3061.263	547.916	737.837	3042.661	422.588	748.235	3096.514	417.948	756.733	3094.831	337.033	747.995	3037.339	338.623	885.903	3033.000	47.074	840.905	3057.388	35.342	804.144	3038.355	31.393	847.618	2846.761	115.172	816.346	2806.288	131.156	756.350	2857.764	87.585	884.590	2989.956	119.698	786.472	2998.482	81.404	965.120	3697.615	379.433	0.000	0.000	0.000	946.796	3264.010	432.478	796.804	2996.800	505.766
14	0.06500	831.350	3108.188	1494.989	836.354	3069.286	1318.576	866.762	3245.225	1565.021	905.503	3296.197	1382.383	990.376	3103.891	1050.009	748.100	3139.171	1047.145	940.581	3310.672	1092.833	858.043	3328.974	1087.158	1022.375	3122.764	1142.764	0.000	0.000	0.000	1003.248	3127.993	1572.722	691.903	3235.232	1505.941	1043.046	3184.550	734.714	1037.582	3247.492	727.935	1015.373	3245.530	643.909	1029.166	3184.243	641.095	881.578	3228.094	514.231	997.466	3237.916	517.910	1011.130	3361.754	457.132	1007.271	3374.039	511.161	992.160	3456.533	489.700	997.732	3447.904	436.137	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	700.321	3098.440	792.816	704.462	3155.103	774.643	730.807	3133.365	695.411	720.566	3076.365	706.950	871.244	3052.924	566.047	746.356	3046.108	543.769	738.571	3029.579	418.313	747.860	3083.785	414.805	757.498	3083.515	333.559	749.338	3025.794	334.007	886.897	3029.394	44.916	844.648	3050.638	33.439	806.603	3034.137	29.910	849.389	2840.247	105.299	817.985	2798.984	119.423	758.199	2852.866	78.847	885.860	2983.122	115.053	788.241	2994.304	77.182	966.096	3672.210	382.577	0.000	0.000	0.000	948.067	3237.936	428.689	797.506	2981.839	500.238
15	0.07000	830.776	3090.967	1491.332	836.307	3052.068	1314.344	865.896	3228.369	1561.102	904.227	3279.342	1378.806	995.583	3090.476	1048.905	748.217	3122.139	1043.415	940.140	3294.364	1087.498	857.336	3312.722	1082.323	1022.183	3106.118	1138.524	0.000	0.000	0.000	1002.892	3111.434	1569.003	690.754	3217.573	1501.798	1043.549	3163.365	731.054	1037.241	3226.112	722.904	1014.980	3222.118	638.759	1030.214	3161.067	637.342	882.499	3202.413	509.660	998.588	3211.688	513.969	1012.411	3335.545	455.014	1007.619	3346.908	509.221	992.766	3429.743	488.772	998.858	3421.950	435.134	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	702.031	3081.190	789.284	703.773	3137.854	770.834	730.301	3116.481	691.096	721.179	3059.409	703.023	871.136	3037.877	561.553	746.601	3030.933	539.783	739.499	3016.379	414.268	747.904	3070.648	411.876	759.125	3071.786	330.004	750.901	3014.507	330.183	887.952	3025.871	43.436	845.527	3047.622	34.463	807.369	3031.215	30.373	851.758	2833.517	94.875	820.277	2791.414	107.219	760.280	2847.416	70.055	887.665	2976.272	110.816	789.050	2989.874	75.348	967.134	3646.416	385.232	0.000	0.000	0.000	949.415	3211.642	425.101	797.423	2965.828	495.413
16	0.07500	830.298	3073.618	1487.568	834.378	3034.327	1310.292	864.945	3211.551	1557.169	902.998	3262.444	1375.082	989.962	3070.137	1042.108	748.194	3105.515	1039.713	939.824	3278.159	1081.898	856.712	3296.808	1077.295	1021.970	3089.421	1133.988	0.000	0.000	0.000	1002.655	3094.959	1565.232	689.551	3199.751	1497.374	1044.014	3142.204	727.272	1036.924	3204.663	717.711	1014.547	3198.739	633.561	1031.225	3137.957	633.432	883.425	3176.335	505.132	999.287	3185.038	511.021	1013.498	3308.951	452.819	1008.180	3319.698	507.080	993.457	3402.730	487.627	999.894	3395.613	433.898	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	703.892	3062.930	785.228	702.397	3120.972	767.415	729.730	3098.534	686.509	720.978	3042.661	698.919	873.521	3022.518	557.334	746.823	3015.326	535.963	740.544	3002.922	410.828	748.241	3057.120	409.803	760.365	3060.425	328.360	752.620	3003.434	327.125	888.708	3022.783	42.688	846.265	3044.528	35.907	808.499	3028.248	30.958	854.173	2827.287	84.704	822.877	2784.424	95.067	763.522	2841.295	61.182	889.166	2969.472	107.166	790.260	2984.017	73.631	968.297	3620.201	387.432	0.000	0.000	0.000	950.806	3185.132	421.225	797.801	2949.368	491.614
17	0.08000	829.703	3056.201	1483.869	835.761	3017.692	1305.327	863.944	3194.774	1553.352	901.840	3245.588	1371.170	989.532	3053.463	1037.624	748.582	3089.231	1035.778	939.495	3262.083	1076.052	856.173	3281.286	1072.093	1021.804	3072.814	1129.314	0.000	0.000	0.000	1002.309	3078.540	1561.370	688.313	3181.702	1492.942	1044.534	3121.110	723.321	1037.065	3183.166	713.537	1013.930	3175.272	628.399	1028.918	3112.776	628.158	884.256	3150.043	500.664	1000.684	3158.714	507.299	1014.816	3282.239	450.608	1008.890	3292.316	504.919	994.296	3375.597	486.294	1001.194	3369.086	432.504	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	703.637	3046.113	781.166	700.902	3103.769	762.564	728.841	3081.837	682.164	719.707	3026.879	694.746	870.026	3004.027	550.602	747.076	2998.600	532.755	741.381	2988.526	408.701	749.835	3041.196	408.628	762.352	3047.364	327.667	753.650	2991.444	325.396	889.517	3020.515	42.551	846.465	3042.544	38.171	808.512	3026.428	32.597	856.596	2822.160	75.604	825.973	2778.566	83.830	765.675	2836.926	54.744	890.736	2963.757	104.425	789.893	2980.058	73.800	969.567	3593.621	389.112	0.000	0.000	0.000	945.352	3159.687	420.504	799.308	2932.199	489.776
18	0.08500	829.109	3038.830	1479.439	834.168	3000.110	1300.985	862.837	3178.064	1549.773	900.794	3228.791	1367.155	988.797	3036.684	1032.416	748.853	3073.278	1031.778	939.271	3246.160	1069.992	855.701	3266.176	1066.709	1021.575	3056.093	1124.382	0.000	0.000	0.000	1002.205	3062.156	1557.651	682.449	3164.891	1488.674	1047.463	3099.181	721.435	1036.735	3161.791	708.133	1013.191	3151.809	623.167	1026.346	3086.951	623.902	884.948	3123.460	496.498	1002.324	3131.689	503.352	1016.010	3255.271	448.300	1009.880	3264.797	502.657	995.456	3348.226	484.695	1002.269	3342.186	430.894	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	702.068	3029.210	777.120	699.982	3086.725	758.341	728.541	3064.968	678.594	718.237	3010.324	690.778	863.655	2986.269	546.285	747.217	2980.711	530.779	741.762	2972.977	407.847	750.702	3025.602	409.343	763.497	3033.638	328.549	753.942	2978.035	324.712	890.238	3018.936	42.794	846.760	3040.567	39.821	809.051	3024.456	33.792	858.735	2818.278	68.227	828.890	2774.264	74.635	767.619	2833.214	48.997	884.700	2955.381	99.414	791.760	2974.729	72.090	971.001	3566.737	390.439	0.000	0.000	0.000	951.534	3130.367	417.009	800.148	2914.722	488.268
19	0.09000	828.811	3021.256	1474.913	835.782	2983.699	1295.492	861.633	3161.219	1546.501	899.850	3212.126	1363.103	988.604	3020.791	1027.543	748.864	3057.392	1027.811	938.999	3230.431	1063.720	855.408	3251.305	1061.207	1021.429	3039.399	1119.277	0.000	0.000	0.000	1002.054	3045.901	1553.889	679.333	3146.186	1483.682	1042.060	3075.408	713.982	1036.221	3140.371	702.654	1012.195	3128.236	618.136	1028.162	3066.179	618.119	885.544	3096.525	492.568	1003.627	3105.167	500.097	1017.124	3228.039	446.069	1011.070	3237.147	500.389	996.765	3320.724	482.994	1003.400	3315.013	429.213	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	699.634	3012.459	773.968	699.228	3069.793	755.530	728.255	3048.271	675.778	716.770	2994.042	687.522	856.256	2968.681	544.185	747.036	2961.769	530.455	741.590	2956.989	407.690	751.447	3009.296	410.740	763.297	3019.953	330.443	753.696	2964.058	324.579	890.586	3017.752	43.234	846.903	3039.017	41.453	809.313	3023.124	35.295	860.155	2815.463	62.143	831.150	2770.999	66.820	768.883	2830.157	44.500	884.762	2951.692	98.497	791.118	2974.079	74.331	972.445	3539.423	391.229	0.000	0.000	0.000	952.601	3103.038	414.824	800.442	2896.868	486.933
20	0.09500	828.381	3003.750	1470.449	834.084	2966.398	1290.549	860.397	3144.093	1543.382	899.033	3195.521	1359.236	988.288	3005.260	1022.343	747.834	3041.781	1024.034	938.883	3214.937	1057.200	855.534	3236.129	1055.842	1021.244	3022.781	1113.987	0.000	0.000	0.000	1002.149	3029.674	1550.204	677.891	3127.939	1479.147	1042.348	3054.068	709.945	1035.284	3119.244	697.336	1011.050	3104.614	612.276	1028.892	3042.870	614.216	885.929	3069.273	489.267	1004.731	3078.546	497.390	1018.472	3200.580	443.994	1012.475	3209.373	498.164	998.318	3293.040	481.146	1004.559	3287.608	427.432	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	697.130	2996.627	771.991	698.593	3052.367	753.327	727.357	3031.818	674.162	715.434	2977.603	685.556	849.679	2950.700	544.105	746.181	2942.223	530.849	741.497	2940.262	407.420	750.992	2993.666	412.119	762.611	3005.638	331.624	753.396	2950.188	324.551	891.177	3016.718	43.779	847.175	3037.469	43.018	809.527	3021.740	36.414	860.694	2812.757	56.485	832.604	2768.085	59.234	769.433	2827.594	40.282	884.846	2948.300	97.790	791.610	2971.706	75.251	982.523	3514.676	397.985	0.000	0.000	0.000	953.384	3075.820	412.854	800.297	2879.694	485.152
21	0.10000	827.707	2986.395	1466.149	836.059	2950.133	1284.864	859.111	3126.851	1540.333	898.303	3178.956	1356.068	987.312	2989.424	1016.718	748.090	3025.760	1019.697	938.975	3199.625	1050.405	856.307	3219.747	1050.864	1021.156	3006.296	1108.533	0.000	0.000	0.000	1002.260	3013.439	1546.583	676.481	3109.433	1474.977	1042.935	3032.817	706.134	1034.167	3097.379	692.459	1009.938	3080.803	607.854	1029.795	3019.722	610.755	886.376	3041.675	486.672	1005.765	3051.634	495.168	1019.311	3172.787	442.093	1014.092	3181.453	496.129	1000.119	3265.129	479.234	1005.410	3259.767	425.637	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	695.993	2980.222	770.365	696.873	3036.430	751.979	725.430	3015.434	672.530	714.348	2960.728	684.273	845.773	2931.763	545.847	745.247	2922.396	531.192	741.131	2924.414	406.957	750.026	2977.876	413.318	761.398	2992.154	332.740	753.381	2936.918	324.585	881.683	3009.043	39.822	847.573	3035.753	44.595	809.810	3020.476	38.227	860.880	2809.789	50.813	832.692	2764.940	51.131	769.315	2824.907	36.075	894.024	2949.864	100.329	792.248	2969.002	76.239	988.502	3488.100	401.088	0.000	0.000	0.000	955.136	3048.381	410.473	800.162	2862.780	483.537
