NO_OF_FRAMES	387
NO_OF_CAMERAS	24
NO_OF_MARKERS	50
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-24, 11:20:48.775	500045.56492310
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	calc_med_right	calc_back_right	calc_lat_right	forfoot_med_right	toe_right	forfoot_lat_right	mal_med_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Mixed	Measured	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Mixed	Measured	Mixed	Measured	Mixed	Mixed	Measured	Mixed	Measured	Mixed	Measured	Mixed	Measured	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Mixed	Measured	Mixed	Measured	Mixed	Measured	Mixed
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_med_right X	calc_med_right Y	calc_med_right Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_med_right X	mal_med_right Y	mal_med_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
17	0.08000	819.201	3611.067	1493.273	0.000	0.000	0.000	832.612	3746.901	1562.902	0.000	0.000	0.000	986.648	3606.692	1045.451	737.993	3638.995	1035.711	918.106	3808.921	1081.012	846.818	3829.291	1082.841	1009.580	3624.794	1135.644	0.000	0.000	0.000	975.916	3630.506	1576.386	676.782	3725.807	1503.943	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1008.093	3897.740	500.629	0.000	0.000	0.000	0.000	0.000	0.000	873.084	4236.516	397.738	0.000	0.000	0.000	0.000	0.000	0.000	884.529	4163.709	211.809	925.157	4149.817	163.484	0.000	0.000	0.000	709.976	3599.240	783.801	707.074	3656.771	765.531	735.074	3636.584	686.210	727.232	3579.997	697.799	0.000	0.000	0.000	0.000	0.000	0.000	753.721	3544.146	411.746	763.027	3598.025	411.863	776.892	3600.927	330.143	764.621	3546.196	328.620	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	859.266	3369.653	87.713	825.838	3328.590	99.704	765.438	3389.027	67.346	0.000	0.000	0.000	790.217	3530.616	79.365	0.000	0.000	0.000	873.161	4149.694	359.976	972.752	3753.357	434.350	810.486	3487.881	491.293
18	0.08500	819.118	3594.380	1488.809	0.000	0.000	0.000	845.036	3729.170	1559.289	0.000	0.000	0.000	987.308	3591.444	1040.858	744.950	3622.850	1029.670	919.148	3793.886	1074.740	847.178	3814.726	1077.269	1009.267	3608.687	1130.610	0.000	0.000	0.000	976.122	3614.637	1571.983	675.734	3708.677	1498.919	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1008.897	3733.365	510.002	0.000	0.000	0.000	1009.283	3871.907	497.220	0.000	0.000	0.000	0.000	0.000	0.000	874.376	4211.907	393.936	0.000	0.000	0.000	0.000	0.000	0.000	889.179	4138.038	208.638	930.943	4123.465	161.333	0.000	0.000	0.000	710.077	3582.954	779.205	706.322	3640.406	760.798	735.368	3620.321	681.619	725.388	3564.808	693.524	0.000	0.000	0.000	0.000	0.000	0.000	754.685	3528.389	411.328	764.187	3582.165	412.655	777.835	3587.015	330.962	764.607	3533.727	329.141	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	862.291	3364.605	79.005	829.385	3322.424	88.879	768.051	3383.871	60.488	0.000	0.000	0.000	790.298	3525.313	78.645	0.000	0.000	0.000	875.529	4124.739	356.428	974.090	3728.016	429.932	808.081	3470.906	490.598
19	0.09000	819.383	3577.480	1484.099	0.000	0.000	0.000	844.921	3712.765	1555.336	0.000	0.000	0.000	987.993	3576.622	1036.239	747.085	3610.183	1024.568	920.187	3779.118	1068.342	847.805	3800.339	1071.584	1009.176	3592.761	1125.383	0.000	0.000	0.000	976.583	3598.874	1567.822	674.634	3691.420	1493.890	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1010.493	3708.485	505.079	0.000	0.000	0.000	1011.154	3846.170	492.983	0.000	0.000	0.000	0.000	0.000	0.000	875.339	4187.054	389.842	0.000	0.000	0.000	0.000	0.000	0.000	893.570	4111.594	205.451	936.653	4096.261	158.898	0.000	0.000	0.000	708.409	3567.076	775.125	705.880	3624.801	757.032	736.102	3604.983	678.448	724.544	3549.446	689.257	0.000	0.000	0.000	0.000	0.000	0.000	754.823	3511.827	411.367	765.175	3565.385	413.997	778.173	3572.312	332.488	764.395	3519.038	329.365	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	865.017	3360.667	71.561	833.442	3317.675	79.343	770.409	3379.543	54.635	0.000	0.000	0.000	790.085	3521.115	78.402	0.000	0.000	0.000	876.991	4099.623	352.792	975.035	3702.235	425.960	808.070	3452.908	489.983
20	0.09500	818.886	3560.546	1479.184	0.000	0.000	0.000	844.542	3696.233	1551.641	0.000	0.000	0.000	988.937	3562.116	1031.678	749.275	3595.762	1021.715	921.188	3764.642	1061.850	848.835	3785.584	1065.839	1008.654	3576.691	1119.803	0.000	0.000	0.000	976.979	3583.043	1563.674	673.431	3674.025	1488.943	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1011.650	3683.275	500.459	0.000	0.000	0.000	1013.015	3820.068	488.727	0.000	0.000	0.000	0.000	0.000	0.000	877.513	4161.801	385.098	0.000	0.000	0.000	0.000	0.000	0.000	898.818	4084.206	201.767	942.250	4068.008	156.204	0.000	0.000	0.000	706.204	3551.594	772.083	706.011	3609.530	754.774	736.860	3589.749	676.359	723.859	3534.690	686.481	0.000	0.000	0.000	0.000	0.000	0.000	754.476	3495.065	411.370	765.483	3548.467	415.214	777.821	3557.199	333.692	763.212	3504.422	329.512	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	867.144	3357.522	64.694	835.461	3313.764	70.776	772.088	3375.961	49.284	0.000	0.000	0.000	790.628	3517.622	78.614	0.000	0.000	0.000	878.577	4074.045	348.926	975.768	3676.058	422.280	807.984	3435.877	489.660
21	0.10000	818.142	3543.740	1474.131	0.000	0.000	0.000	843.994	3679.482	1548.065	878.415	3736.203	1364.749	990.031	3547.831	1027.125	748.222	3580.920	1018.008	922.496	3750.323	1055.152	850.305	3770.011	1061.026	1008.535	3560.912	1114.137	0.000	0.000	0.000	977.790	3567.503	1559.707	672.137	3656.623	1484.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1012.344	3657.607	496.853	0.000	0.000	0.000	1015.251	3793.783	484.407	0.000	0.000	0.000	0.000	0.000	0.000	879.672	4136.414	380.046	0.000	0.000	0.000	0.000	0.000	0.000	903.188	4056.064	198.173	947.380	4038.905	153.324	0.000	0.000	0.000	704.654	3536.487	769.960	706.114	3594.324	752.734	736.908	3573.840	674.347	723.509	3518.875	684.667	0.000	0.000	0.000	0.000	0.000	0.000	754.137	3478.462	411.089	764.815	3531.858	416.302	776.016	3542.960	334.984	762.315	3490.132	329.463	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	868.307	3354.472	57.730	836.917	3310.384	61.889	773.006	3372.844	43.895	0.000	0.000	0.000	791.242	3514.637	79.086	0.000	0.000	0.000	880.788	4047.953	344.780	976.355	3649.617	419.016	810.301	3418.201	486.948
22	0.10500	818.450	3526.624	1469.448	0.000	0.000	0.000	843.334	3662.558	1544.641	878.761	3720.153	1362.193	991.167	3533.670	1022.530	748.333	3566.507	1013.825	923.941	3736.088	1048.294	851.732	3754.614	1057.163	1008.177	3545.141	1108.259	0.000	0.000	0.000	985.201	3555.826	1557.675	670.855	3639.197	1479.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1013.642	3632.401	492.209	0.000	0.000	0.000	1017.584	3767.154	480.215	0.000	0.000	0.000	0.000	0.000	0.000	881.734	4110.845	374.632	0.000	0.000	0.000	0.000	0.000	0.000	907.302	4027.284	194.373	952.198	4008.627	150.483	0.000	0.000	0.000	704.406	3521.218	768.522	705.793	3578.833	750.236	736.016	3556.896	672.091	723.152	3501.884	683.695	0.000	0.000	0.000	0.000	0.000	0.000	753.953	3462.539	410.428	763.128	3515.870	416.899	773.473	3529.687	335.868	762.618	3476.419	329.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	868.708	3351.456	50.331	837.623	3307.191	52.451	772.912	3369.843	38.672	0.000	0.000	0.000	791.965	3511.332	79.451	0.000	0.000	0.000	882.309	4021.717	340.652	976.691	3622.947	416.001	810.136	3401.454	486.446
23	0.11000	818.793	3509.559	1464.650	0.000	0.000	0.000	839.310	3647.882	1541.582	877.415	3705.718	1359.049	992.238	3519.539	1017.845	746.933	3551.734	1010.367	925.384	3721.586	1041.515	852.931	3739.574	1054.124	1007.919	3529.538	1102.358	0.000	0.000	0.000	985.981	3540.127	1553.801	669.585	3621.729	1474.677	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1014.295	3606.324	489.443	0.000	0.000	0.000	1019.766	3740.174	476.185	0.000	0.000	0.000	0.000	0.000	0.000	884.750	4085.097	368.645	0.000	0.000	0.000	0.000	0.000	0.000	911.495	3997.655	190.378	956.506	3977.514	147.335	0.000	0.000	0.000	704.514	3505.979	767.471	705.012	3563.170	747.755	734.640	3539.639	669.819	722.416	3484.971	682.903	0.000	0.000	0.000	0.000	0.000	0.000	754.237	3447.307	409.065	760.606	3500.686	416.966	771.159	3517.218	336.426	763.314	3463.659	328.294	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	869.451	3348.772	43.732	838.651	3304.507	43.645	772.768	3366.851	35.667	0.000	0.000	0.000	792.642	3507.508	79.690	0.000	0.000	0.000	885.140	3994.813	336.208	976.867	3595.864	413.273	810.464	3385.901	484.498
24	0.11500	818.888	3492.737	1460.290	0.000	0.000	0.000	838.314	3631.062	1538.409	877.830	3689.264	1356.415	993.134	3505.340	1013.020	742.392	3534.802	1007.955	935.273	3710.165	1042.400	854.215	3724.518	1051.260	1007.519	3513.749	1096.331	0.000	0.000	0.000	986.448	3524.373	1549.937	668.411	3603.990	1470.324	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1014.607	3579.670	487.014	0.000	0.000	0.000	1022.038	3713.097	472.596	0.000	0.000	0.000	0.000	0.000	0.000	887.824	4059.089	362.287	0.000	0.000	0.000	0.000	0.000	0.000	915.120	3967.523	186.328	960.259	3945.547	144.224	0.000	0.000	0.000	704.252	3490.591	766.089	704.181	3547.464	745.306	732.919	3522.758	667.542	721.752	3467.971	681.845	0.000	0.000	0.000	0.000	0.000	0.000	754.894	3433.181	407.052	757.895	3486.554	416.290	769.814	3505.330	336.353	763.853	3451.848	326.665	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	870.604	3347.337	41.545	839.097	3302.493	40.327	773.883	3365.277	34.555	0.000	0.000	0.000	793.681	3503.720	79.626	0.000	0.000	0.000	886.974	3967.855	331.672	977.065	3568.322	410.993	810.899	3370.947	481.450
25	0.12000	819.579	3475.894	1456.121	0.000	0.000	0.000	837.439	3614.247	1535.364	877.753	3673.191	1353.300	993.748	3490.980	1008.006	740.327	3519.933	1005.212	936.605	3694.732	1039.343	855.673	3709.323	1048.190	1007.502	3498.228	1090.532	0.000	0.000	0.000	986.644	3508.454	1546.146	667.273	3586.060	1466.084	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1050.353	3523.773	617.840	0.000	0.000	0.000	1014.876	3552.607	485.270	0.000	0.000	0.000	1025.728	3685.521	472.265	0.000	0.000	0.000	0.000	0.000	0.000	890.492	4032.630	355.634	0.000	0.000	0.000	0.000	0.000	0.000	918.584	3936.669	181.929	963.787	3912.872	140.956	0.000	0.000	0.000	703.433	3475.432	764.420	703.371	3531.930	742.845	731.545	3505.924	665.131	720.953	3451.474	680.603	0.000	0.000	0.000	0.000	0.000	0.000	755.200	3420.621	404.184	756.068	3473.549	414.484	769.128	3494.475	335.244	764.276	3441.040	324.183	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	871.402	3347.011	40.338	839.526	3302.110	38.823	775.787	3364.682	34.714	0.000	0.000	0.000	794.274	3501.714	79.790	0.000	0.000	0.000	889.275	3940.218	326.905	977.158	3540.535	409.101	811.054	3355.993	477.646
26	0.12500	819.522	3459.565	1452.496	0.000	0.000	0.000	836.573	3597.540	1532.459	877.471	3656.862	1350.131	993.971	3476.361	1002.754	740.048	3503.109	1001.697	937.820	3679.335	1037.680	856.920	3694.034	1044.762	1007.063	3482.288	1084.557	0.000	0.000	0.000	986.701	3492.642	1542.440	666.338	3567.873	1462.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1050.550	3499.889	617.086	0.000	0.000	0.000	1027.909	3529.261	496.508	0.000	0.000	0.000	1029.597	3657.627	473.266	0.000	0.000	0.000	0.000	0.000	0.000	894.111	4005.713	348.531	0.000	0.000	0.000	0.000	0.000	0.000	921.694	3905.150	177.386	966.830	3879.691	137.413	0.000	0.000	0.000	702.727	3460.542	762.534	702.806	3516.617	740.184	730.312	3489.606	662.654	720.222	3435.434	679.177	0.000	0.000	0.000	0.000	0.000	0.000	755.076	3409.033	400.497	755.372	3461.610	411.875	768.724	3484.598	333.374	765.437	3431.363	321.093	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	871.852	3346.693	39.492	840.296	3301.582	37.289	775.077	3364.475	34.103	0.000	0.000	0.000	795.473	3501.919	80.549	0.000	0.000	0.000	891.266	3912.299	321.978	977.262	3512.616	407.719	808.454	3336.140	474.119
