NO_OF_FRAMES	216
NO_OF_CAMERAS	24
NO_OF_MARKERS	50
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-24, 11:22:15.235	500132.02547000
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	calc_med_right	calc_back_right	calc_lat_right	forfoot_med_right	toe_right	forfoot_lat_right	mal_med_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_med_right X	calc_med_right Y	calc_med_right Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_med_right X	mal_med_right Y	mal_med_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
144	0.71500	896.440	2229.389	1429.792	888.154	2194.615	1245.905	914.708	2371.863	1505.068	900.161	2433.787	1320.600	1015.438	2292.164	974.714	0.000	0.000	0.000	895.219	2476.704	1018.190	816.906	2467.475	1017.316	1047.276	2325.816	1053.309	755.096	2259.891	954.890	1076.610	2280.961	1477.032	732.848	2310.073	1470.184	1072.023	2311.186	702.362	1037.648	2363.910	678.917	1025.874	2330.724	597.048	1061.426	2277.589	609.093	914.823	2240.312	473.304	1036.532	2271.839	468.095	1030.386	2310.312	337.586	1030.252	2359.504	362.623	1012.606	2404.602	294.201	1005.416	2354.952	262.164	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	738.183	2315.037	402.416	810.014	2543.365	171.266	779.057	2566.040	194.299	744.372	2553.041	185.663	803.733	2360.429	93.761	777.897	2316.199	78.984	710.454	2368.880	102.902	831.007	2453.042	195.420	735.131	2474.644	203.185	971.613	2485.200	75.233	0.000	0.000	0.000	990.880	2212.218	409.225	0.000	0.000	0.000
145	0.72000	895.486	2211.540	1431.825	887.873	2176.779	1247.980	914.621	2354.124	1506.839	901.162	2415.683	1322.344	1013.550	2273.216	975.470	0.000	0.000	0.000	897.018	2458.656	1020.128	818.628	2450.056	1019.509	1047.733	2307.286	1055.256	754.336	2242.682	957.902	1075.919	2262.398	1480.037	732.566	2293.627	1471.724	1072.169	2300.352	701.682	1037.121	2353.163	679.676	1026.047	2321.537	597.308	1061.960	2268.695	608.351	915.627	2233.593	470.818	1037.118	2265.909	466.017	1033.195	2308.577	337.160	1030.718	2355.741	362.207	1011.545	2400.653	293.668	1009.762	2353.455	260.633	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	739.920	2287.217	404.479	811.223	2508.236	165.648	779.921	2531.637	187.695	745.215	2518.218	179.589	805.428	2322.767	93.968	779.474	2277.471	80.843	711.301	2330.634	103.369	832.353	2417.830	191.129	736.172	2440.155	199.213	971.503	2484.739	76.059	0.000	0.000	0.000	992.173	2207.334	406.284	0.000	0.000	0.000
146	0.72500	894.996	2193.597	1434.104	887.436	2158.786	1250.383	914.497	2336.413	1508.814	902.283	2397.577	1324.322	1014.521	2255.081	977.872	0.000	0.000	0.000	897.833	2440.237	1022.536	820.406	2432.616	1021.903	1047.984	2288.111	1057.341	753.659	2225.324	961.357	1075.229	2243.758	1483.339	732.321	2277.401	1473.675	1072.026	2289.439	701.642	1036.768	2342.277	680.789	1026.378	2312.711	597.293	1062.219	2258.855	608.828	916.152	2227.493	468.467	1037.392	2260.525	464.849	1031.038	2303.246	335.109	1030.430	2351.980	361.852	1012.433	2397.955	294.810	1009.676	2350.640	259.489	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	741.661	2259.890	406.714	815.108	2475.318	159.778	780.917	2496.815	181.399	743.872	2479.880	174.967	806.453	2285.329	95.518	780.082	2240.145	83.481	712.806	2293.469	104.698	832.793	2385.308	190.996	735.668	2405.738	194.451	971.571	2484.094	77.289	0.000	0.000	0.000	992.990	2202.880	403.679	0.000	0.000	0.000
147	0.73000	893.422	2175.400	1436.668	886.860	2140.623	1253.233	914.406	2318.751	1511.127	903.599	2379.452	1326.543	1012.638	2235.460	978.664	0.000	0.000	0.000	899.701	2421.940	1024.844	822.173	2414.690	1024.622	1045.837	2266.107	1058.558	753.574	2207.675	964.675	1074.349	2225.134	1486.816	732.058	2261.239	1475.897	1071.753	2278.113	701.811	1036.571	2331.319	682.278	1026.697	2303.953	598.026	1062.033	2250.009	608.458	916.471	2221.791	466.446	1037.996	2255.543	465.056	1033.714	2302.486	335.535	1030.016	2348.567	361.738	1011.928	2395.656	294.503	1007.589	2346.865	258.939	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	743.362	2232.269	408.899	815.791	2441.151	155.543	782.470	2462.138	174.235	744.705	2443.756	169.382	808.392	2247.940	96.242	781.394	2202.505	86.315	714.776	2254.612	104.572	834.736	2348.820	186.712	738.289	2371.789	193.079	971.690	2483.342	79.419	0.000	0.000	0.000	993.721	2198.955	401.912	0.000	0.000	0.000
148	0.73500	892.316	2157.321	1439.726	886.104	2122.333	1256.391	914.215	2300.984	1513.581	904.952	2361.250	1328.889	1012.817	2216.288	980.482	0.000	0.000	0.000	901.705	2403.321	1027.510	823.920	2396.713	1027.481	1045.811	2245.521	1061.073	753.114	2190.116	968.374	1073.538	2206.385	1490.628	731.969	2245.170	1478.593	1071.497	2266.629	702.295	1036.650	2320.167	684.416	1026.904	2295.299	599.119	1062.089	2241.209	608.453	916.554	2216.423	464.735	1037.488	2251.436	464.431	1033.667	2299.700	335.393	1029.933	2345.764	362.451	1010.383	2392.589	295.737	1009.784	2346.414	259.648	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	745.182	2204.751	411.423	818.029	2403.270	149.528	783.428	2427.465	168.354	746.521	2407.803	163.999	809.359	2210.323	98.600	782.180	2164.424	90.011	716.057	2217.883	106.309	836.054	2314.077	184.888	739.258	2337.121	190.862	971.776	2482.802	80.811	0.000	0.000	0.000	993.705	2194.979	400.449	0.000	0.000	0.000
149	0.74000	891.232	2139.383	1443.094	885.117	2103.877	1259.901	914.168	2283.330	1516.364	906.473	2342.914	1331.382	1012.443	2196.549	981.880	0.000	0.000	0.000	903.679	2384.625	1030.301	825.595	2378.419	1030.567	1046.239	2224.983	1063.975	752.595	2172.277	972.449	1072.608	2187.876	1494.747	731.699	2229.212	1481.507	1071.141	2254.687	703.066	1036.596	2309.035	686.785	1026.948	2286.711	600.831	1061.677	2232.093	608.578	915.951	2211.900	464.312	1036.919	2247.329	464.552	1031.331	2295.453	334.994	1029.202	2342.747	363.311	1010.235	2390.693	297.763	1010.316	2344.939	261.203	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	746.828	2177.940	413.569	819.260	2365.769	143.600	785.228	2391.712	162.916	747.468	2372.769	159.231	811.369	2172.625	100.459	784.158	2126.482	93.542	716.907	2181.459	108.445	837.095	2278.145	184.632	740.873	2302.707	188.059	971.728	2482.732	83.912	0.000	0.000	0.000	994.328	2192.006	400.661	0.000	0.000	0.000
150	0.74500	890.042	2121.512	1446.707	884.074	2085.382	1263.720	914.077	2265.579	1519.322	908.065	2324.454	1334.055	1012.639	2176.976	983.864	0.000	0.000	0.000	905.673	2365.650	1033.237	827.308	2360.043	1033.866	1046.047	2203.249	1066.235	752.285	2154.326	976.583	1071.631	2169.127	1499.058	731.554	2213.394	1484.686	1070.766	2242.838	704.256	1036.634	2297.641	689.704	1027.906	2277.263	603.582	1061.116	2223.100	609.016	915.585	2207.536	464.136	1036.370	2243.373	465.169	1031.130	2293.228	336.079	1028.913	2340.610	364.748	1010.658	2388.491	298.847	1009.664	2341.287	262.922	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	747.659	2151.414	416.667	820.763	2329.890	139.602	786.842	2356.265	157.778	749.074	2337.372	154.658	812.212	2135.140	103.380	785.308	2088.888	98.007	718.003	2144.432	110.790	838.631	2243.773	183.309	742.124	2268.213	186.281	971.907	2481.869	85.594	0.000	0.000	0.000	993.991	2188.651	400.537	0.000	0.000	0.000
151	0.75000	888.998	2103.656	1450.639	882.852	2066.713	1267.754	913.974	2247.932	1522.424	909.708	2305.882	1336.850	1011.869	2156.832	985.622	0.000	0.000	0.000	907.849	2346.516	1036.343	828.964	2341.481	1037.322	1045.951	2181.792	1069.234	752.241	2136.153	980.982	1070.863	2149.944	1503.815	730.340	2198.109	1488.769	1070.348	2230.767	705.851	1036.972	2286.651	693.136	1026.755	2269.608	606.235	1060.575	2213.730	608.694	914.808	2203.752	464.788	1035.613	2239.501	466.368	1030.707	2290.607	338.117	1031.103	2338.430	369.067	1009.264	2385.315	301.583	1009.460	2339.345	265.121	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	750.855	2123.721	418.177	822.335	2294.049	135.896	788.669	2320.691	153.002	750.816	2301.862	150.534	813.449	2097.941	106.279	786.545	2051.444	102.509	719.327	2107.620	113.251	838.746	2211.243	183.999	743.509	2233.772	184.619	972.350	2481.019	86.783	0.000	0.000	0.000	993.523	2186.100	401.201	0.000	0.000	0.000
152	0.75500	887.861	2085.984	1454.773	881.676	2048.037	1272.000	913.823	2230.231	1525.667	911.335	2287.251	1339.800	1012.212	2136.847	987.750	0.000	0.000	0.000	909.892	2327.181	1039.567	830.669	2322.777	1040.927	1045.721	2159.921	1072.485	752.362	2117.797	985.597	1069.615	2131.167	1508.463	730.233	2182.268	1492.337	1069.698	2218.476	708.030	1037.255	2275.346	697.369	1026.282	2261.154	609.660	1059.697	2204.772	610.273	913.997	2200.143	466.109	1034.590	2235.740	468.428	1030.415	2288.936	340.281	1030.564	2336.290	372.160	1008.572	2383.325	304.541	1009.284	2338.329	267.523	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	751.662	2097.553	421.022	824.727	2257.157	133.271	790.698	2285.257	148.677	753.097	2266.380	147.053	814.718	2060.826	109.601	787.171	2014.117	107.674	720.879	2071.190	115.970	841.708	2174.512	182.118	745.400	2199.691	183.002	972.795	2479.784	89.193	0.000	0.000	0.000	992.591	2183.484	402.331	0.000	0.000	0.000
153	0.76000	886.025	2067.508	1459.321	880.444	2029.409	1276.433	913.829	2212.584	1529.220	912.955	2268.559	1342.886	1011.762	2116.413	989.967	0.000	0.000	0.000	912.189	2307.755	1042.829	832.453	2303.994	1044.636	1044.996	2137.689	1075.567	752.854	2099.321	990.519	1068.341	2112.247	1513.310	730.031	2166.444	1496.077	1069.054	2206.338	710.648	1037.183	2263.640	701.953	1025.783	2252.382	613.902	1058.613	2195.919	612.583	912.847	2196.827	468.312	1033.418	2232.081	471.510	1029.768	2286.628	343.485	1029.465	2333.159	376.006	1007.769	2381.120	308.198	1009.008	2336.875	270.822	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	752.886	2071.154	423.217	826.103	2222.572	130.370	792.366	2250.433	144.509	755.154	2231.070	143.513	815.846	2024.137	113.208	788.629	1977.764	112.476	722.114	2035.157	118.890	842.858	2140.849	183.104	747.028	2165.592	181.738	973.291	2478.405	92.364	0.000	0.000	0.000	991.516	2180.761	404.336	0.000	0.000	0.000
