NO_OF_FRAMES	214
NO_OF_CAMERAS	24
NO_OF_MARKERS	50
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-24, 11:22:59.624	500176.41567470
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	calc_med_right	calc_back_right	calc_lat_right	forfoot_med_right	toe_right	forfoot_lat_right	mal_med_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_med_right X	calc_med_right Y	calc_med_right Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_med_right X	mal_med_right Y	mal_med_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
151	0.75000	886.753	2096.481	1533.041	906.147	2044.095	1354.988	852.649	2237.096	1590.014	855.762	2282.140	1401.645	1025.161	2106.638	1087.490	781.031	2090.771	1036.941	926.876	2299.797	1114.959	842.216	2292.510	1112.876	1056.101	2137.351	1177.405	754.072	2092.778	1134.051	1027.102	2202.139	1600.555	707.854	2136.914	1546.060	1078.248	2054.396	829.393	1063.692	2110.196	795.747	1044.641	2065.804	721.480	1061.754	2007.927	746.196	922.850	1977.743	607.592	1041.179	1984.017	601.937	1049.966	1942.444	462.133	1052.392	1999.599	453.779	1040.376	1989.344	368.922	1040.806	1932.095	372.617	930.320	1946.293	66.177	965.840	1968.671	61.014	1000.423	1952.660	64.559	933.714	1758.779	141.229	962.677	1717.320	163.357	1023.652	1763.253	134.898	744.398	2226.337	782.843	732.809	2280.943	805.677	764.005	2319.474	734.064	757.696	2269.123	705.938	909.626	2347.027	576.836	789.487	2363.831	563.970	783.769	2448.125	465.994	793.311	2486.052	503.843	811.000	2544.120	447.133	796.670	2506.762	408.327	932.463	2727.671	232.220	898.359	2746.225	259.096	862.576	2745.820	237.624	908.157	2615.586	70.188	879.684	2593.553	31.667	818.737	2648.244	68.828	925.793	2644.533	216.471	837.317	2681.188	222.891	1017.895	1909.961	134.530	922.799	1903.885	155.410	992.844	1903.990	562.294	837.810	2347.445	481.581
152	0.75500	887.061	2078.621	1534.794	906.475	2025.850	1357.197	852.718	2219.089	1591.261	855.805	2263.930	1402.889	1025.069	2088.558	1089.287	780.416	2072.037	1039.642	926.209	2281.081	1117.649	841.466	2273.649	1115.716	1055.603	2119.032	1179.776	754.500	2074.877	1137.412	1027.064	2184.756	1601.980	708.470	2118.846	1548.023	1062.948	2094.748	795.653	0.000	0.000	0.000	1043.502	2050.763	721.126	1061.512	1992.876	745.161	921.560	1963.526	605.994	1039.829	1968.615	600.543	1048.283	1924.780	461.097	1049.914	1981.888	451.380	1037.643	1969.550	366.943	1039.020	1912.499	372.033	926.521	1919.275	66.844	961.745	1941.549	60.616	996.694	1925.483	63.647	931.101	1732.939	144.622	960.201	1692.073	167.412	1021.132	1737.661	137.423	743.474	2206.664	784.198	732.462	2261.568	806.541	762.713	2299.633	734.419	757.420	2248.937	706.802	908.382	2325.476	576.688	788.951	2343.112	564.495	782.175	2429.258	467.868	792.199	2466.470	506.850	809.458	2526.121	451.858	795.847	2489.577	411.977	931.433	2714.908	244.393	895.835	2734.384	270.440	859.185	2735.748	250.358	908.565	2608.629	78.583	880.534	2587.494	39.053	818.822	2640.461	77.252	924.793	2633.766	225.241	835.893	2669.831	232.118	1014.944	1884.416	134.463	920.054	1878.396	156.154	991.629	1888.095	561.921	836.751	2328.203	481.338
153	0.76000	887.465	2060.849	1536.444	906.742	2007.695	1359.230	852.753	2201.038	1592.377	855.902	2245.850	1403.947	1024.384	2070.132	1090.750	779.899	2053.454	1042.113	925.863	2262.550	1120.068	840.739	2254.788	1118.285	1055.258	2100.946	1181.902	754.334	2056.858	1140.703	1026.830	2167.366	1603.156	708.985	2100.766	1549.651	1061.830	2078.889	795.130	0.000	0.000	0.000	1042.784	2035.913	720.642	1061.398	1977.947	743.751	919.996	1948.731	604.367	1038.285	1953.373	598.996	1047.065	1907.648	460.027	1047.324	1964.395	449.243	1034.817	1950.388	365.205	1037.077	1893.526	371.301	922.362	1893.140	67.495	957.687	1916.755	59.825	992.938	1899.925	62.757	928.781	1708.782	147.838	958.272	1668.342	170.897	1018.497	1713.195	139.469	744.499	2186.873	784.547	732.356	2241.642	806.335	762.460	2278.887	733.986	756.720	2227.839	706.898	907.470	2303.517	576.146	788.609	2321.779	564.165	781.150	2409.949	469.484	791.009	2445.958	509.571	807.928	2507.351	456.373	794.877	2471.869	415.332	929.275	2704.539	255.288	893.604	2723.079	281.350	856.669	2724.342	261.250	908.697	2599.963	87.820	881.676	2579.390	47.577	818.743	2630.603	86.289	923.119	2621.160	236.701	834.829	2658.243	241.695	1011.702	1860.115	134.465	917.359	1854.163	156.839	990.430	1872.160	561.406	835.850	2308.493	480.698
154	0.76500	887.767	2042.950	1537.669	906.876	1989.711	1360.811	852.828	2182.912	1593.219	855.975	2227.720	1404.781	1024.249	2051.950	1092.068	779.161	2034.776	1044.398	925.369	2243.997	1122.211	840.253	2236.171	1120.537	1055.019	2083.073	1183.809	754.214	2039.049	1143.926	1026.457	2149.954	1603.841	709.685	2082.596	1551.020	1060.785	2063.561	794.582	0.000	0.000	0.000	1041.421	2021.011	719.881	1061.661	1963.238	742.040	918.199	1933.750	602.423	1036.697	1937.957	597.353	1045.380	1890.419	458.836	1045.743	1947.548	447.328	1031.838	1931.523	363.281	1035.056	1874.986	370.298	918.709	1869.432	67.145	953.865	1891.437	59.091	989.024	1875.747	61.814	926.543	1685.685	150.493	956.426	1645.716	173.837	1016.749	1690.784	141.151	743.689	2165.787	784.661	731.862	2220.997	805.571	761.239	2257.971	732.494	756.538	2206.364	706.319	908.124	2282.705	575.811	788.337	2300.011	563.477	780.161	2390.073	470.426	790.443	2424.610	511.199	806.220	2488.067	460.827	793.894	2453.791	418.602	926.837	2693.838	265.976	890.606	2711.206	291.917	854.744	2711.814	271.045	908.960	2590.067	97.633	882.936	2569.955	56.199	818.636	2619.521	95.506	922.198	2610.165	246.588	833.499	2645.895	251.315	1008.856	1837.297	134.175	914.586	1831.092	157.295	989.208	1856.209	560.576	835.126	2288.535	479.679
155	0.77000	888.044	2025.022	1538.555	906.969	1971.748	1362.259	852.902	2164.750	1593.884	856.090	2209.677	1405.415	1024.213	2033.887	1093.084	778.516	2016.475	1046.501	924.899	2225.303	1124.035	839.763	2217.497	1122.462	1054.982	2065.409	1185.460	753.307	2021.215	1146.855	1026.098	2132.335	1604.529	710.075	2064.389	1552.002	1059.423	2047.904	793.730	0.000	0.000	0.000	1039.109	2005.538	718.564	1060.838	1947.747	739.467	916.415	1918.443	600.735	1035.225	1922.382	595.840	1043.763	1873.785	457.734	1042.201	1930.054	445.252	1028.712	1913.256	361.592	1032.960	1856.836	369.278	914.716	1846.241	67.282	949.756	1869.616	58.295	985.158	1852.992	60.798	924.420	1663.895	152.538	954.688	1624.396	176.184	1014.095	1668.983	142.109	744.700	2145.032	783.691	731.412	2199.945	804.234	760.362	2236.659	730.798	756.489	2184.646	705.194	904.451	2257.688	572.119	788.097	2277.850	562.283	779.180	2369.751	471.237	788.982	2403.002	513.295	804.645	2468.274	465.045	792.846	2435.273	421.612	924.369	2682.088	276.413	887.794	2698.733	302.362	851.774	2698.729	281.279	909.088	2579.515	107.133	883.839	2559.369	65.225	818.462	2607.500	104.793	921.334	2598.373	256.077	831.768	2632.457	260.734	1006.040	1815.735	133.522	911.752	1809.130	157.545	987.888	1840.209	559.563	834.933	2268.251	478.405
156	0.77500	889.323	2007.529	1539.151	907.189	1954.112	1363.256	853.047	2146.625	1594.288	856.193	2191.786	1405.832	1023.722	2015.634	1093.878	777.768	1998.014	1048.316	924.621	2206.887	1125.528	839.395	2199.023	1124.035	1054.408	2047.271	1186.569	752.176	2003.586	1149.283	1026.024	2114.446	1604.654	710.792	2046.155	1552.817	1057.863	2032.258	792.758	0.000	0.000	0.000	1039.238	1991.093	717.533	1062.616	1933.598	737.725	915.122	1903.010	598.586	1033.829	1906.473	594.251	1041.377	1856.631	455.612	1039.703	1913.342	443.410	1025.803	1895.452	359.955	1030.651	1839.268	367.991	910.930	1824.893	67.070	945.942	1848.146	57.325	981.406	1831.752	59.693	922.400	1643.381	154.081	953.024	1604.251	177.759	1011.754	1648.660	142.767	744.729	2123.619	782.597	730.809	2178.762	802.484	759.610	2214.827	728.885	756.465	2162.777	703.717	903.995	2234.928	570.589	787.913	2255.266	560.818	778.371	2349.102	471.962	787.743	2381.015	515.068	803.013	2447.982	469.197	791.862	2416.324	424.612	921.687	2669.475	286.785	884.769	2684.985	312.792	848.807	2684.540	291.399	909.229	2568.317	116.307	883.577	2547.956	74.334	818.161	2594.897	113.679	920.265	2585.496	265.406	829.955	2618.306	269.737	1003.087	1795.437	132.759	909.109	1788.477	157.655	986.932	1824.273	558.478	834.428	2247.569	477.102
157	0.78000	888.334	1989.237	1539.456	907.087	1936.362	1363.878	853.118	2128.445	1594.465	856.314	2173.901	1406.099	1023.495	1997.439	1094.329	777.119	1979.580	1049.804	924.266	2188.377	1126.615	839.150	2180.546	1125.224	1053.881	2029.026	1187.326	751.037	1986.154	1151.400	1026.014	2096.511	1604.837	711.320	2028.002	1553.227	1056.171	2016.361	791.551	0.000	0.000	0.000	1037.928	1975.570	716.064	1063.218	1918.620	735.386	912.947	1886.792	596.972	1032.468	1890.467	592.676	1039.494	1839.933	453.998	1036.926	1896.620	441.561	1022.943	1878.122	358.358	1028.536	1822.130	366.816	907.404	1804.739	66.564	942.270	1828.139	56.329	977.853	1811.884	58.472	920.279	1624.029	154.867	951.262	1585.204	178.560	1010.062	1629.913	142.696	744.031	2101.744	781.397	730.040	2157.337	800.439	758.627	2193.129	726.568	756.423	2140.666	702.039	903.579	2211.790	568.685	787.551	2232.447	559.117	777.794	2328.103	472.438	785.301	2359.033	517.038	801.534	2427.208	473.122	791.065	2396.821	427.445	918.686	2656.500	295.968	880.973	2669.586	322.899	845.905	2669.124	301.538	909.137	2556.304	125.131	883.778	2536.125	82.639	817.871	2581.784	122.281	919.153	2572.715	272.196	828.157	2603.008	278.362	1000.416	1776.429	131.799	906.409	1769.035	157.325	985.400	1808.118	557.254	833.977	2226.630	475.715
158	0.78500	888.464	1971.322	1539.497	907.015	1918.611	1364.168	853.303	2110.333	1594.411	856.468	2156.119	1406.076	1023.029	1979.221	1094.376	776.467	1961.231	1050.949	923.868	2169.908	1127.418	838.964	2162.116	1125.977	1053.654	2011.046	1187.770	749.977	1968.852	1153.195	1026.014	2078.347	1604.577	711.736	2009.817	1553.373	1054.614	2000.355	790.094	0.000	0.000	0.000	1036.460	1959.494	714.510	1062.932	1902.461	732.475	910.929	1870.412	595.356	1031.127	1874.135	591.088	1037.716	1823.684	452.502	1034.504	1880.229	439.815	1020.139	1861.290	356.685	1026.082	1805.110	365.137	904.276	1785.903	65.763	938.887	1809.685	55.177	974.487	1793.370	57.018	917.839	1605.962	155.168	949.476	1567.278	178.317	1007.425	1611.827	141.950	744.361	2080.319	779.801	729.417	2135.752	798.184	757.490	2171.227	723.871	756.607	2118.513	700.000	905.356	2189.212	568.195	787.214	2209.341	557.152	777.391	2306.769	473.033	783.775	2336.663	518.398	801.075	2405.794	476.248	790.516	2376.893	430.134	916.057	2641.060	305.845	878.745	2653.388	332.770	843.012	2652.537	311.278	908.517	2543.417	133.355	883.534	2523.589	90.512	816.976	2567.623	130.556	917.983	2557.773	280.646	826.233	2586.529	286.717	997.942	1758.525	130.312	903.790	1750.780	156.570	983.729	1791.767	555.918	833.490	2205.561	474.229
159	0.79000	889.640	1953.841	1539.124	906.886	1900.936	1364.054	853.422	2092.274	1594.164	856.639	2138.354	1405.866	1022.708	1961.188	1094.325	775.830	1942.754	1051.853	923.766	2151.585	1127.690	838.935	2143.706	1126.438	1053.160	1992.819	1187.788	749.005	1951.745	1154.562	1026.058	2060.128	1604.057	712.190	1991.577	1553.320	1053.072	1983.893	788.493	0.000	0.000	0.000	1035.027	1942.995	712.731	1063.753	1887.082	730.456	908.935	1853.591	593.914	1029.476	1857.527	589.019	1035.417	1807.372	450.657	1032.004	1863.880	438.044	1017.491	1844.901	355.035	1023.903	1788.776	363.551	901.015	1768.794	64.539	935.685	1792.283	53.678	971.331	1776.144	55.416	915.606	1588.953	154.473	947.208	1550.407	177.932	1005.530	1595.138	140.843	744.408	2058.644	777.929	728.759	2114.187	795.610	756.336	2149.350	721.124	756.348	2096.247	697.906	904.348	2166.272	566.158	786.834	2186.035	555.068	777.109	2285.118	473.505	782.570	2313.784	519.754	798.176	2385.364	480.255	790.057	2356.508	432.656	913.545	2624.565	315.327	875.249	2635.504	341.957	840.292	2635.084	320.717	908.167	2529.624	140.574	883.000	2510.389	97.789	815.837	2552.858	138.400	916.200	2541.329	288.324	824.162	2569.489	294.659	994.891	1741.414	128.787	901.210	1733.682	155.555	982.120	1775.543	554.479	833.745	2183.964	472.305
160	0.79500	888.643	1935.594	1538.542	908.151	1883.843	1363.597	853.576	2074.310	1593.640	856.833	2120.561	1405.369	1022.451	1943.151	1093.878	775.209	1924.413	1052.352	923.723	2133.287	1127.665	838.930	2125.320	1126.555	1052.779	1974.391	1187.073	747.995	1934.817	1155.557	1026.434	2041.735	1603.050	712.542	1973.406	1552.869	1051.746	1967.240	786.755	0.000	0.000	0.000	1033.740	1926.182	710.882	1063.639	1870.721	728.294	906.909	1836.599	592.507	1028.212	1841.148	587.217	1033.643	1791.368	448.899	1029.742	1847.931	436.316	1014.650	1828.377	353.537	1021.796	1772.739	361.678	898.114	1752.660	63.000	932.732	1776.087	51.846	968.447	1760.036	53.489	912.874	1573.049	153.247	944.729	1534.627	176.555	1002.743	1579.253	139.174	744.814	2037.154	776.075	728.146	2092.683	793.121	755.189	2127.160	718.158	756.248	2073.846	695.702	904.090	2143.347	563.992	786.382	2162.682	552.949	776.377	2263.265	473.898	781.520	2290.781	520.996	797.102	2363.314	482.735	789.425	2335.656	434.994	911.159	2606.973	324.077	873.039	2617.281	350.981	837.946	2616.817	329.561	907.601	2515.093	147.441	882.485	2496.206	104.465	814.199	2537.461	145.937	914.462	2524.132	295.580	822.360	2551.763	302.275	992.310	1725.408	126.961	898.676	1717.648	153.994	980.312	1759.317	552.948	833.250	2161.982	470.536
