NO_OF_FRAMES	358
NO_OF_CAMERAS	24
NO_OF_MARKERS	46
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-24, 11:23:52.016	500228.80772950
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	calc_med_right	calc_back_right	calc_lat_right	forfoot_med_right	toe_right	forfoot_lat_right	mal_med_right	mal_lat_right	mal_lat_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Measured
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_med_right X	calc_med_right Y	calc_med_right Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_med_right X	mal_med_right Y	mal_med_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
85	0.42000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	747.285	3160.895	1055.990	914.334	3356.152	1127.187	829.188	3357.561	1126.490	0.000	0.000	0.000	719.433	3170.806	1156.341	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1040.670	2996.660	821.576	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	702.829	3319.141	807.841	698.743	3371.383	836.591	716.952	3417.146	768.232	717.137	3367.157	734.591	857.192	3451.118	596.880	742.510	3472.817	600.729	734.680	3559.335	505.814	749.652	3598.944	542.572	765.326	3655.384	483.694	746.347	3616.922	447.499	874.658	3824.527	269.913	835.576	3835.554	310.529	798.641	3844.318	292.602	0.000	0.000	0.000	824.204	3747.439	47.569	752.426	3796.184	103.480	859.851	3742.886	233.315	768.483	3785.713	262.664	0.000	0.000	0.000	0.000	0.000	0.000	774.192	3458.062	516.275
86	0.42500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	746.224	3141.220	1059.998	914.469	3336.534	1130.553	829.338	3337.648	1130.206	0.000	0.000	0.000	719.914	3151.008	1160.402	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1040.137	2979.827	819.383	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	702.284	3299.369	811.310	698.816	3351.804	839.931	727.223	3394.296	768.953	716.396	3346.814	737.714	871.830	3435.907	609.795	742.049	3451.904	603.091	733.890	3540.180	509.216	749.008	3578.722	546.858	767.009	3634.223	488.928	745.913	3599.065	452.345	875.354	3812.497	278.470	836.265	3823.449	319.229	798.784	3831.978	301.789	0.000	0.000	0.000	822.815	3734.563	56.161	751.069	3783.103	113.307	860.504	3730.842	243.061	769.998	3773.186	272.516	0.000	0.000	0.000	0.000	0.000	0.000	773.563	3438.933	518.490
87	0.43000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	747.003	3121.463	1063.456	914.683	3316.955	1133.697	829.574	3317.840	1133.758	0.000	0.000	0.000	719.655	3131.646	1164.202	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1039.958	2963.490	816.918	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	702.004	3278.661	813.924	698.606	3331.482	842.190	726.599	3373.444	770.349	715.707	3325.672	739.949	871.137	3414.232	611.719	742.758	3429.043	603.917	733.417	3520.538	512.169	747.927	3558.161	550.862	766.416	3615.068	494.490	745.479	3580.954	456.930	875.723	3800.715	286.443	836.889	3811.571	327.509	798.987	3819.598	310.428	0.000	0.000	0.000	821.517	3720.789	64.960	749.834	3768.862	122.810	861.516	3718.339	252.605	770.983	3760.185	282.197	0.000	0.000	0.000	0.000	0.000	0.000	773.873	3419.285	520.215
88	0.43500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	746.962	3101.785	1066.802	915.040	3297.381	1136.588	829.911	3298.096	1137.066	0.000	0.000	0.000	719.780	3112.342	1167.902	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1039.749	2947.327	813.972	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	701.867	3257.583	815.818	698.172	3310.567	843.541	725.831	3351.954	771.469	715.330	3303.830	741.325	870.711	3391.874	613.094	742.622	3407.395	605.157	733.017	3500.536	514.861	746.709	3537.297	554.589	765.772	3595.459	499.711	745.211	3562.469	461.308	876.051	3788.550	294.146	838.078	3798.740	335.331	799.065	3806.192	318.761	0.000	0.000	0.000	819.795	3706.738	73.905	748.716	3753.700	131.932	862.545	3705.176	261.347	772.495	3746.127	291.000	0.000	0.000	0.000	0.000	0.000	0.000	779.799	3398.011	520.428
89	0.44000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	746.812	3082.300	1069.881	915.386	3277.822	1139.258	830.299	3278.401	1140.098	0.000	0.000	0.000	719.986	3093.156	1171.339	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1038.411	2930.653	809.713	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	701.947	3236.034	816.848	697.852	3288.996	844.103	724.800	3330.547	772.094	715.245	3281.731	742.013	870.491	3369.190	613.881	742.501	3385.670	606.180	732.644	3480.230	517.252	745.611	3516.089	557.968	764.891	3575.709	504.777	745.267	3543.296	465.190	876.175	3775.289	302.024	838.194	3784.671	343.128	799.285	3791.138	327.117	0.000	0.000	0.000	817.265	3693.117	83.512	747.709	3737.861	140.618	863.448	3691.172	269.152	772.861	3731.043	299.278	0.000	0.000	0.000	0.000	0.000	0.000	780.077	3377.946	521.499
90	0.44500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	997.515	3055.504	1117.304	746.872	3062.706	1072.826	915.864	3258.194	1141.605	830.703	3258.791	1142.835	0.000	0.000	0.000	720.500	3074.073	1174.647	0.000	0.000	0.000	0.000	0.000	0.000	1055.249	2979.378	877.742	1037.913	3026.182	833.943	1020.069	2966.845	770.614	1039.378	2915.825	806.909	0.000	0.000	0.000	1007.582	2857.374	673.234	1032.804	2810.650	544.950	1036.895	2862.780	531.394	1027.164	2846.817	447.249	1020.945	2790.767	454.811	906.656	2611.305	251.475	933.782	2572.596	280.845	997.418	2610.447	247.998	702.135	3214.511	817.500	697.097	3267.598	844.444	723.684	3308.599	772.369	715.361	3259.586	742.207	870.132	3346.127	614.123	742.498	3363.835	606.776	732.474	3459.544	519.332	744.817	3494.677	561.023	764.144	3555.576	509.360	745.188	3524.036	468.964	875.930	3760.514	309.657	842.485	3774.160	348.990	817.574	3772.723	338.716	0.000	0.000	0.000	803.828	3681.447	94.209	746.807	3721.585	148.813	864.175	3676.273	276.434	773.252	3714.854	306.902	1003.191	2753.373	220.100	965.148	2778.577	645.995	780.357	3357.624	522.218
91	0.45000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	997.376	3036.224	1118.514	746.772	3043.246	1075.483	916.377	3238.553	1143.709	831.165	3239.225	1145.242	0.000	0.000	0.000	720.448	3055.324	1177.524	0.000	0.000	0.000	0.000	0.000	0.000	1055.106	2962.822	874.822	1037.213	3010.300	832.057	1019.225	2951.925	767.695	1038.394	2899.899	802.069	0.000	0.000	0.000	1007.087	2842.646	669.016	1032.066	2794.008	541.489	1035.916	2846.115	526.938	1025.743	2828.191	443.070	1020.306	2772.198	451.767	905.844	2588.050	252.357	932.184	2549.242	282.759	996.532	2587.188	248.655	702.569	3192.723	817.758	696.600	3245.675	843.841	722.429	3286.914	771.789	715.432	3237.588	742.318	869.661	3323.030	613.955	742.510	3341.839	607.170	732.467	3438.650	521.099	744.318	3472.987	563.606	763.639	3535.091	513.374	745.411	3504.080	472.107	875.469	3744.368	317.203	841.437	3756.661	356.782	816.760	3755.552	346.091	0.000	0.000	0.000	803.285	3666.920	100.984	746.004	3705.114	156.460	864.363	3660.137	283.050	773.318	3697.715	314.034	1002.307	2729.310	217.994	964.236	2763.865	642.137	780.473	3336.938	522.652
92	0.45500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	997.010	3016.671	1118.978	746.812	3023.745	1077.832	916.924	3218.940	1145.493	831.631	3219.719	1147.330	0.000	0.000	0.000	720.707	3036.542	1180.201	0.000	0.000	0.000	0.000	0.000	0.000	1056.552	2947.212	872.387	1036.479	2994.587	830.066	1018.581	2937.521	764.707	1039.731	2885.714	798.570	0.000	0.000	0.000	1007.559	2828.681	664.998	1031.205	2777.753	537.916	1034.754	2829.857	522.457	1024.319	2810.208	438.859	1019.270	2754.822	447.849	905.154	2565.431	252.663	931.584	2527.307	283.709	996.120	2564.777	248.502	703.067	3171.166	817.903	695.878	3224.097	843.981	721.447	3265.232	771.341	715.648	3215.544	742.144	869.590	3300.115	613.610	742.440	3319.996	607.497	732.532	3417.624	522.777	744.137	3451.316	565.955	763.368	3514.282	516.813	745.627	3483.818	474.884	875.538	3727.343	324.856	845.921	3733.037	366.627	806.375	3739.115	355.705	0.000	0.000	0.000	801.674	3652.344	107.504	745.295	3688.689	163.505	864.500	3643.291	289.009	783.385	3679.446	320.671	1001.166	2706.121	215.698	963.688	2749.593	638.223	780.687	3315.884	522.833
93	0.46000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	997.416	2997.612	1119.422	746.898	3004.258	1079.927	917.510	3199.262	1146.972	832.144	3200.204	1149.061	0.000	0.000	0.000	721.025	3017.777	1182.620	0.000	0.000	0.000	0.000	0.000	0.000	1056.717	2930.947	869.009	1035.728	2979.078	827.922	1017.629	2923.029	761.574	1038.683	2869.975	793.213	0.000	0.000	0.000	1006.918	2814.048	660.690	1028.477	2760.306	533.095	1033.153	2813.819	517.865	1022.520	2792.709	434.740	1017.750	2735.760	444.078	904.843	2543.798	252.180	931.323	2506.139	284.267	996.145	2543.166	247.059	703.627	3149.612	817.928	696.173	3202.287	842.508	720.812	3243.505	770.606	716.040	3193.492	741.744	869.614	3277.331	613.103	742.514	3297.770	607.590	732.717	3396.367	524.236	744.168	3429.477	567.967	763.414	3493.030	519.650	745.836	3463.210	477.243	876.014	3709.576	332.405	845.637	3714.228	373.259	805.855	3720.166	362.518	0.000	0.000	0.000	800.463	3636.653	113.349	744.740	3671.786	170.037	864.431	3625.674	294.597	783.325	3661.407	326.740	1000.192	2684.045	213.414	962.762	2735.226	634.026	780.625	3294.442	522.753
94	0.46500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	996.984	2978.062	1119.161	745.978	2984.916	1081.863	918.120	3179.587	1148.065	832.704	3180.715	1150.471	0.000	0.000	0.000	721.370	2999.092	1184.747	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1016.773	2908.631	758.401	1034.290	2851.670	787.539	0.000	0.000	0.000	1006.801	2799.750	656.613	1029.365	2746.227	530.276	1029.414	2797.680	511.532	1020.807	2775.784	430.398	1018.910	2721.484	442.619	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	704.177	3128.109	817.829	695.506	3180.722	842.189	720.440	3221.817	769.841	716.255	3171.646	741.461	869.453	3254.559	612.423	741.767	3276.745	608.057	732.836	3374.915	525.535	744.269	3407.490	569.601	763.984	3471.344	521.801	745.979	3442.417	479.409	876.773	3691.206	339.634	845.485	3695.424	379.236	805.602	3701.222	368.565	0.000	0.000	0.000	798.999	3620.011	118.949	743.547	3654.283	176.134	864.111	3607.489	299.635	783.138	3643.229	332.339	998.552	2663.467	210.954	961.794	2720.780	629.839	780.643	3272.774	522.337
