NO_OF_FRAMES	308
NO_OF_CAMERAS	24
NO_OF_MARKERS	50
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-24, 11:25:25.727	500322.52066870
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	calc_med_right	calc_back_right	calc_lat_right	forfoot_med_right	toe_right	forfoot_lat_right	mal_med_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Measured	Mixed	Measured	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Measured
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_med_right X	calc_med_right Y	calc_med_right Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_med_right X	mal_med_right Y	mal_med_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
36	0.17500	920.802	3399.641	1441.461	923.600	3369.340	1257.224	952.465	3546.049	1512.203	965.223	3605.357	1328.233	1078.096	3476.400	978.822	811.880	3458.846	973.125	969.179	3658.962	1030.553	894.529	3655.771	1034.211	1101.871	3487.824	1064.809	777.030	3486.383	1059.932	1091.490	3436.119	1505.650	775.220	3525.258	1481.771	1132.129	3568.423	697.326	1088.002	3622.952	679.780	1077.106	3614.391	591.041	1119.702	3560.247	600.474	0.000	0.000	0.000	0.000	0.000	0.000	1077.795	3658.069	323.562	1076.480	3704.070	356.775	1055.948	3755.324	288.580	1059.392	3713.983	254.110	925.660	3924.415	70.428	960.555	3948.310	76.973	0.000	0.000	0.000	942.537	3729.302	34.505	975.635	3679.940	30.388	1035.806	3744.137	24.639	0.000	0.000	0.000	771.296	3353.088	808.534	802.168	3338.908	706.262	789.471	3296.047	742.865	0.000	0.000	0.000	834.183	3216.902	627.875	811.469	3259.792	523.397	814.071	3307.803	554.946	818.556	3353.167	485.846	813.872	3308.425	456.274	0.000	0.000	0.000	866.685	3543.089	221.166	0.000	0.000	0.000	896.498	3326.489	179.450	857.690	3272.880	172.429	792.409	3330.621	182.164	0.000	0.000	0.000	820.933	3455.967	250.884	1024.396	3867.539	84.814	918.027	3843.762	112.123	0.000	0.000	0.000	881.608	3171.071	566.776
37	0.18000	918.104	3380.452	1444.507	922.203	3348.120	1260.553	951.995	3525.883	1514.435	965.549	3585.648	1330.317	1078.327	3452.350	981.096	813.802	3435.105	976.377	977.407	3635.486	1035.235	896.752	3633.887	1036.883	1101.508	3462.318	1067.065	777.607	3464.616	1062.778	1093.429	3419.520	1511.730	773.622	3508.939	1484.703	1131.891	3554.914	699.207	1088.233	3609.824	683.991	1077.022	3604.401	595.164	1119.105	3550.174	602.113	0.000	0.000	0.000	0.000	0.000	0.000	1077.992	3655.407	326.715	1076.525	3701.671	358.879	1056.025	3752.881	292.493	1059.782	3711.636	257.510	927.197	3922.847	75.450	961.627	3946.715	82.165	0.000	0.000	0.000	943.035	3728.708	34.986	975.723	3679.619	30.181	1036.067	3743.747	24.647	0.000	0.000	0.000	770.956	3331.425	814.424	802.710	3316.689	712.653	791.340	3272.565	748.463	0.000	0.000	0.000	834.168	3193.127	634.782	811.190	3231.645	528.502	814.695	3281.315	558.400	814.550	3326.963	489.473	812.312	3278.111	459.979	0.000	0.000	0.000	865.646	3500.864	216.701	0.000	0.000	0.000	896.454	3281.902	181.971	857.808	3228.579	177.235	792.489	3288.563	185.819	0.000	0.000	0.000	821.948	3415.573	246.725	1025.431	3865.833	88.191	919.302	3842.043	115.320	0.000	0.000	0.000	871.597	3147.249	577.455
38	0.18500	916.538	3360.258	1447.829	920.408	3326.897	1264.374	951.567	3505.694	1516.740	966.674	3564.046	1332.242	1078.024	3427.840	983.128	814.753	3413.460	980.634	979.211	3613.720	1037.006	899.018	3612.017	1039.657	1100.885	3436.378	1069.240	778.126	3442.780	1065.929	1092.545	3396.831	1517.399	773.220	3489.879	1487.261	1131.419	3540.849	701.823	1088.489	3596.055	688.969	1082.678	3594.510	608.234	1118.211	3539.808	604.667	0.000	0.000	0.000	0.000	0.000	0.000	1081.105	3652.705	336.057	1075.836	3698.320	363.398	1055.730	3749.857	296.953	1060.275	3708.971	261.889	928.766	3920.730	81.513	963.440	3944.394	88.414	0.000	0.000	0.000	943.552	3727.992	35.613	975.763	3679.368	30.083	1036.338	3743.234	24.644	0.000	0.000	0.000	770.636	3309.756	820.234	803.284	3294.792	718.721	791.460	3250.734	754.376	0.000	0.000	0.000	827.604	3171.542	641.946	810.921	3203.935	533.226	815.338	3254.500	560.945	814.202	3298.577	490.678	813.389	3246.649	462.639	917.563	3440.789	193.290	867.505	3460.008	210.897	0.000	0.000	0.000	897.088	3238.185	185.022	858.194	3184.463	181.880	792.082	3245.848	187.767	0.000	0.000	0.000	823.279	3375.166	242.737	1026.498	3863.593	92.015	920.775	3839.900	119.160	0.000	0.000	0.000	877.678	3118.831	583.514
39	0.19000	915.697	3338.978	1450.831	919.010	3305.435	1268.112	951.090	3485.428	1519.239	968.586	3540.682	1334.066	1077.511	3403.453	984.950	816.714	3391.499	985.322	982.291	3590.593	1039.649	901.383	3590.035	1042.370	1099.941	3410.098	1071.412	779.085	3420.593	1069.389	1091.363	3375.090	1521.523	772.896	3470.631	1489.926	1130.714	3526.146	705.016	1088.838	3581.799	694.785	1076.317	3583.015	606.399	1117.171	3529.007	607.959	962.230	3551.249	464.636	0.000	0.000	0.000	1078.529	3649.376	334.862	1075.341	3694.515	369.198	1062.791	3745.897	312.835	1060.928	3705.980	267.488	930.329	3918.181	88.481	965.535	3941.497	95.386	0.000	0.000	0.000	944.068	3727.057	36.401	975.828	3679.043	29.937	1036.677	3742.722	24.983	0.000	0.000	0.000	770.361	3288.129	825.818	803.734	3273.051	724.507	790.299	3229.989	760.610	954.000	3165.505	662.180	827.861	3148.362	647.659	810.691	3176.464	537.477	816.013	3227.674	562.774	815.058	3269.237	491.058	812.135	3216.964	465.295	919.063	3395.122	188.195	869.055	3416.882	202.353	0.000	0.000	0.000	886.015	3188.115	182.442	858.173	3141.480	187.102	793.316	3201.764	188.515	0.000	0.000	0.000	825.513	3334.665	239.187	1027.853	3860.792	96.972	922.140	3837.197	123.875	0.000	0.000	0.000	879.300	3091.912	590.017
40	0.19500	913.409	3320.195	1454.716	917.038	3284.352	1271.840	950.607	3465.121	1521.783	969.886	3519.014	1336.266	1077.109	3379.769	986.596	817.531	3369.667	989.293	985.823	3569.284	1042.942	903.066	3571.091	1045.341	1099.118	3383.685	1073.651	779.245	3398.722	1072.932	1088.744	3354.292	1525.658	774.342	3445.729	1491.441	1130.265	3510.997	708.822	1089.210	3566.762	701.335	1075.791	3571.469	613.082	1116.329	3517.879	612.063	961.037	3546.575	469.909	0.000	0.000	0.000	1078.672	3645.287	341.414	1074.672	3689.883	375.939	1061.916	3741.429	319.453	1061.459	3702.218	273.879	932.169	3914.818	96.065	975.591	3939.106	100.073	0.000	0.000	0.000	944.564	3725.781	37.262	975.890	3678.575	29.748	1036.859	3741.906	25.170	0.000	0.000	0.000	770.128	3266.466	831.257	804.159	3251.189	729.682	791.132	3207.464	765.363	953.464	3141.637	668.568	827.413	3125.382	652.693	810.357	3149.611	541.304	816.628	3201.366	564.513	816.075	3240.100	491.174	813.688	3185.824	466.689	919.117	3353.537	181.167	871.059	3374.849	195.716	0.000	0.000	0.000	885.006	3143.434	187.083	858.430	3099.271	192.231	792.562	3161.796	192.408	0.000	0.000	0.000	825.320	3295.232	236.094	1029.219	3857.274	102.780	923.995	3833.598	129.162	0.000	0.000	0.000	878.468	3065.359	596.505
41	0.20000	912.056	3299.887	1458.158	915.288	3263.305	1275.553	950.128	3444.857	1524.466	971.195	3497.343	1338.657	1076.697	3355.971	988.370	819.594	3347.448	993.611	988.756	3545.988	1045.911	905.620	3548.901	1048.225	1098.226	3357.170	1076.006	779.831	3376.523	1076.763	1086.731	3333.225	1529.913	773.985	3426.191	1494.266	1129.611	3495.036	713.037	1096.508	3552.451	714.994	1075.311	3559.132	620.375	1114.886	3505.716	616.745	962.163	3537.942	473.704	0.000	0.000	0.000	1078.437	3640.175	348.582	1073.862	3684.448	383.344	1061.391	3736.418	327.158	1061.890	3697.711	281.212	941.170	3912.445	101.371	977.422	3934.480	109.191	0.000	0.000	0.000	945.022	3724.188	37.985	976.034	3677.891	29.482	1037.203	3741.172	25.719	0.000	0.000	0.000	769.988	3244.713	836.514	804.032	3230.012	735.255	790.666	3185.976	770.361	952.619	3117.809	674.223	826.229	3103.052	657.266	810.000	3123.047	544.553	817.270	3175.342	565.679	817.140	3211.225	490.906	813.622	3156.278	468.345	920.782	3310.826	175.879	874.008	3333.004	188.594	839.738	3314.661	182.171	886.222	3102.054	190.882	858.084	3057.953	197.434	793.044	3120.074	194.030	0.000	0.000	0.000	819.374	3258.029	233.477	1030.698	3852.912	109.494	925.590	3829.244	135.129	1049.006	3536.416	410.360	877.476	3040.233	602.430
42	0.20500	909.956	3279.545	1461.608	913.714	3242.284	1279.248	949.562	3424.443	1527.188	972.521	3475.649	1341.101	1076.398	3332.127	990.533	821.283	3325.136	997.976	991.625	3522.704	1048.881	908.105	3526.611	1051.072	1097.462	3330.740	1078.397	781.097	3353.905	1080.586	1085.298	3311.768	1533.475	773.582	3406.453	1497.132	1129.207	3478.483	717.759	1105.886	3540.135	725.720	1089.943	3551.095	639.238	1113.832	3492.842	622.041	958.864	3533.626	481.893	0.000	0.000	0.000	1078.114	3634.382	356.404	1073.043	3678.323	391.601	1060.704	3730.593	335.460	1062.240	3692.397	289.349	935.590	3905.232	114.323	971.878	3927.332	122.717	0.000	0.000	0.000	945.334	3722.175	38.547	976.166	3677.157	29.329	1037.718	3740.382	26.400	0.000	0.000	0.000	769.769	3222.981	841.559	803.946	3208.425	739.712	790.321	3164.482	775.010	944.878	3089.428	676.054	833.259	3077.193	659.454	810.255	3095.881	546.778	817.736	3149.575	566.323	818.121	3182.598	490.318	814.312	3125.732	469.040	922.665	3268.588	171.150	879.510	3288.561	179.450	841.243	3274.832	177.291	886.922	3061.270	194.128	857.332	3017.319	202.535	792.928	3080.582	196.958	0.000	0.000	0.000	829.750	3215.321	228.120	1032.116	3847.427	116.758	927.448	3823.696	141.652	1047.874	3530.486	416.636	876.638	3015.468	608.352
43	0.21000	908.960	3259.077	1465.160	912.270	3221.275	1282.923	949.347	3404.063	1531.081	973.782	3453.997	1343.716	1076.151	3308.074	992.945	823.030	3302.802	1001.924	994.493	3499.450	1051.828	910.547	3504.247	1053.920	1096.713	3304.555	1080.958	780.918	3332.069	1084.762	1083.429	3290.755	1537.566	773.094	3386.647	1499.891	1128.733	3461.228	722.760	1106.592	3522.968	733.063	1089.503	3536.867	647.148	1112.548	3478.921	627.734	957.186	3526.976	490.162	1079.575	3554.176	500.253	1077.681	3627.632	364.867	1072.049	3671.344	400.349	1060.082	3723.861	344.198	1062.513	3686.147	298.032	937.352	3898.480	124.668	972.929	3920.370	133.971	0.000	0.000	0.000	945.689	3719.847	39.136	976.157	3676.250	29.148	1037.961	3739.066	27.165	0.000	0.000	0.000	769.520	3201.269	846.364	803.423	3187.344	744.556	789.900	3143.166	779.324	943.797	3064.822	680.714	832.179	3054.850	662.588	809.634	3070.079	548.783	818.079	3124.071	566.428	819.065	3154.307	489.182	813.920	3097.364	470.074	923.996	3221.918	170.147	881.424	3249.776	173.759	843.227	3237.939	170.644	887.296	3021.062	197.137	857.384	2977.536	207.181	793.702	3040.545	198.438	0.000	0.000	0.000	830.102	3178.165	225.812	1033.492	3840.835	124.618	929.418	3816.889	148.564	1046.513	3523.525	423.549	875.561	2991.206	612.676
44	0.21500	907.390	3238.889	1468.613	910.909	3200.266	1286.577	948.619	3383.614	1533.984	975.548	3432.143	1347.634	1076.101	3284.027	995.740	823.871	3280.871	1005.986	997.726	3476.004	1055.760	912.996	3481.777	1056.809	1096.033	3278.760	1083.748	781.442	3309.780	1088.887	1081.619	3269.703	1541.314	772.593	3366.693	1502.708	1128.384	3443.303	727.889	1107.477	3505.093	740.366	1089.386	3521.796	655.213	1111.700	3464.305	633.757	955.571	3519.264	499.259	1078.512	3544.483	508.981	1077.385	3619.913	374.038	1071.207	3663.550	409.669	1059.094	3716.012	353.327	1062.662	3678.563	307.144	938.634	3890.292	135.721	974.911	3911.767	145.531	0.000	0.000	0.000	945.978	3717.261	39.849	976.500	3675.149	28.935	1038.040	3737.503	27.949	0.000	0.000	0.000	769.361	3179.326	850.750	803.520	3165.725	748.366	789.383	3121.725	783.347	943.542	3043.109	684.048	831.520	3032.486	664.818	809.104	3044.246	550.059	818.301	3099.067	566.079	819.891	3126.333	487.881	811.472	3071.061	471.727	926.151	3180.693	166.633	883.612	3209.015	168.643	845.135	3192.821	170.198	887.518	2981.544	200.059	856.761	2938.567	211.800	793.799	3002.100	200.897	0.000	0.000	0.000	834.027	3140.835	222.864	1034.677	3833.006	132.899	930.431	3808.806	156.043	1045.158	3515.574	431.004	874.342	2967.997	616.647
45	0.22000	906.018	3218.444	1472.029	909.586	3179.247	1290.206	947.785	3363.065	1536.914	976.695	3410.638	1350.542	1076.252	3259.942	998.861	825.183	3258.894	1010.690	1000.521	3452.685	1058.684	915.417	3459.340	1059.750	1095.432	3253.431	1086.592	781.910	3287.649	1093.082	1079.788	3248.852	1545.346	770.735	3347.718	1506.295	1128.047	3424.838	733.187	1108.518	3486.653	747.649	1089.483	3505.967	663.256	1110.997	3448.871	639.898	953.928	3510.456	509.359	1077.654	3533.866	517.949	1077.480	3611.187	383.711	1070.301	3654.667	419.282	1058.255	3707.019	362.751	1062.909	3669.768	316.591	939.132	3880.950	146.904	974.717	3902.056	157.735	0.000	0.000	0.000	946.517	3714.292	40.379	976.488	3673.982	28.632	1038.196	3735.751	29.064	0.000	0.000	0.000	769.192	3157.422	854.953	803.509	3144.591	752.538	787.058	3101.838	787.730	942.741	3020.375	687.031	830.726	3010.437	666.665	808.454	3018.704	550.891	818.206	3073.866	564.965	821.819	3097.173	485.032	811.632	3041.971	471.391	918.685	3133.192	158.460	885.766	3168.863	162.596	847.010	3154.013	167.280	887.699	2942.534	202.856	856.651	2900.246	216.153	793.711	2963.936	203.300	0.000	0.000	0.000	836.775	3102.465	218.548	1035.058	3823.385	142.699	932.013	3799.359	163.351	1043.638	3506.408	438.732	873.160	2944.856	620.220
