NO_OF_FRAMES	283
NO_OF_CAMERAS	24
NO_OF_MARKERS	50
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-24, 11:27:26.421	500443.21656220
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	calc_med_right	calc_back_right	calc_lat_right	forfoot_med_right	toe_right	forfoot_lat_right	mal_med_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Measured	Measured
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_med_right X	calc_med_right Y	calc_med_right Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_med_right X	mal_med_right Y	mal_med_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
68	0.33500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1013.010	2970.261	1105.954	761.591	2978.095	1054.381	929.411	3169.325	1137.166	843.811	3170.795	1135.671	1048.798	3000.100	1194.131	735.484	2983.052	1155.455	0.000	0.000	0.000	0.000	0.000	0.000	1060.165	2901.125	865.203	1048.208	2951.151	822.825	1030.387	2896.874	754.397	1037.877	2838.339	786.591	0.000	0.000	0.000	1018.991	2795.528	648.006	1050.803	2759.652	515.390	1055.034	2812.537	506.148	1048.669	2802.381	420.503	1042.297	2745.794	423.537	949.713	2758.448	108.309	988.482	2776.025	98.999	1021.046	2760.863	107.354	937.306	2583.291	206.251	962.423	2542.704	235.358	1025.851	2581.002	204.616	720.945	3137.768	806.070	717.052	3189.934	833.879	745.201	3231.976	763.153	735.790	3184.160	731.877	892.690	3275.419	608.230	764.648	3290.016	597.505	746.404	3387.915	510.803	768.145	3418.598	550.742	785.672	3482.412	500.732	768.097	3450.705	459.533	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	806.464	3642.153	298.849	1035.258	2724.748	186.277	935.331	2726.431	196.918	975.641	2720.048	611.934	803.873	3283.548	512.435
69	0.34000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1009.423	2948.458	1105.085	760.852	2957.771	1056.675	929.485	3148.891	1138.779	844.006	3150.341	1137.681	1050.838	2981.595	1193.558	734.878	2963.792	1158.529	0.000	0.000	0.000	0.000	0.000	0.000	1060.405	2883.819	862.088	1047.852	2934.227	820.515	1030.449	2881.232	751.317	1038.995	2822.611	782.739	0.000	0.000	0.000	1015.548	2779.486	640.321	1049.910	2740.772	512.067	1052.261	2793.028	499.617	1047.477	2781.183	415.982	1041.040	2724.528	420.462	946.791	2727.950	105.621	985.128	2746.144	96.259	1018.186	2730.501	104.272	935.410	2555.928	208.483	961.060	2516.158	237.925	1024.241	2553.888	206.706	721.505	3114.592	805.717	714.662	3167.336	833.194	744.228	3208.852	762.130	736.009	3160.730	731.289	892.453	3251.856	608.300	764.978	3266.747	597.231	734.010	3369.786	515.439	767.007	3396.052	553.304	784.817	3460.945	504.940	767.865	3430.546	462.958	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	806.462	3626.861	307.470	1033.054	2696.785	184.269	933.126	2698.904	195.242	975.444	2704.213	608.572	804.538	3262.200	512.208
70	0.34500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1008.416	2927.927	1104.972	760.200	2937.391	1058.697	929.667	3128.495	1140.054	844.264	3129.940	1139.368	1051.084	2961.583	1192.854	735.579	2943.967	1161.599	0.000	0.000	0.000	0.000	0.000	0.000	1060.976	2866.797	858.701	1047.969	2917.881	818.041	1024.204	2861.348	746.177	1039.599	2806.553	778.464	0.000	0.000	0.000	1015.896	2764.112	636.149	1049.050	2722.443	508.780	1051.392	2774.454	494.927	1046.196	2760.785	411.804	1039.805	2704.069	417.595	943.759	2698.860	103.276	982.044	2716.906	93.202	1015.087	2701.651	101.604	932.379	2530.335	211.819	959.551	2490.225	240.953	1022.419	2527.705	208.217	722.242	3091.225	804.877	714.944	3143.688	831.048	743.307	3185.583	760.726	736.468	3136.981	730.154	892.695	3228.175	607.865	765.315	3243.083	596.646	746.575	3344.382	513.524	766.214	3373.143	555.616	781.324	3442.098	509.978	767.803	3410.002	466.245	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	806.318	3610.870	315.934	1030.070	2669.777	182.267	930.527	2671.807	193.682	975.215	2688.516	605.089	805.047	3240.327	511.519
71	0.35000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1007.828	2907.824	1104.884	758.371	2917.250	1060.626	929.856	3108.140	1141.050	844.553	3109.470	1140.705	1049.735	2940.522	1192.288	735.096	2924.984	1163.913	0.000	0.000	0.000	0.000	0.000	0.000	1059.732	2848.679	854.191	1047.798	2901.470	815.289	1024.345	2846.131	742.843	1044.054	2793.640	774.668	0.000	0.000	0.000	1016.379	2748.641	632.149	1048.279	2704.637	505.566	1050.152	2756.363	490.529	1044.290	2740.696	407.606	1039.059	2684.658	414.981	940.659	2671.107	101.218	977.553	2690.216	91.649	1012.983	2671.828	96.125	931.336	2505.164	212.221	956.512	2465.593	244.454	1020.598	2502.545	209.357	723.042	3067.871	803.732	714.499	3119.996	829.426	742.309	3162.339	759.047	737.041	3113.260	728.746	892.867	3204.131	606.924	765.689	3219.042	595.439	746.822	3322.338	514.732	762.290	3353.100	559.626	780.450	3420.292	514.028	768.064	3389.024	469.248	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	806.136	3593.791	324.323	1024.913	2642.969	180.440	928.101	2645.182	191.873	974.871	2672.689	601.516	805.622	3218.106	510.454
72	0.35500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1007.489	2887.794	1104.384	757.630	2896.955	1062.013	930.068	3087.803	1141.632	844.889	3089.017	1141.719	1048.728	2919.659	1191.535	734.935	2905.991	1165.987	0.000	0.000	0.000	0.000	0.000	0.000	1062.099	2832.879	851.070	1047.325	2884.908	812.277	1024.325	2830.863	739.412	1041.928	2775.511	769.508	0.000	0.000	0.000	1016.532	2733.127	628.170	1044.600	2684.810	501.025	1048.844	2738.684	486.167	1042.627	2721.486	403.721	1037.473	2665.776	411.225	937.467	2644.799	99.266	973.854	2665.448	88.110	1009.801	2645.471	93.605	928.871	2480.749	213.969	954.490	2442.369	245.866	1018.642	2478.600	210.116	724.628	3043.204	801.839	714.011	3096.577	827.467	741.655	3138.805	756.835	737.486	3089.551	727.306	893.104	3179.978	605.645	766.148	3194.558	593.828	747.094	3299.880	515.706	762.930	3328.955	560.391	779.941	3398.003	517.732	770.141	3366.343	470.877	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	805.746	3575.958	332.332	1018.152	2617.910	178.690	925.660	2620.672	190.553	975.090	2656.733	597.934	806.204	3195.383	509.072
73	0.36000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1007.163	2867.872	1103.510	757.016	2876.613	1062.975	930.313	3067.524	1141.825	845.246	3068.469	1142.313	1047.797	2898.890	1190.638	734.808	2886.986	1167.651	0.000	0.000	0.000	0.000	0.000	0.000	1061.378	2815.224	846.162	1047.186	2868.752	809.196	1024.108	2815.457	735.831	1043.318	2760.101	764.863	0.000	0.000	0.000	1016.652	2717.402	624.207	1046.134	2669.764	498.837	1047.173	2721.273	481.902	1040.539	2702.693	399.796	1036.076	2647.316	408.335	934.116	2620.008	97.431	972.185	2637.454	85.206	1006.496	2620.582	91.134	926.102	2457.883	215.506	952.885	2419.969	247.231	1016.943	2455.506	210.498	722.346	3021.078	800.687	714.675	3072.989	824.883	740.941	3115.330	754.346	738.371	3064.225	724.667	893.422	3155.636	603.868	766.559	3169.886	591.864	747.827	3276.925	516.306	765.592	3302.638	560.947	778.795	3376.032	521.777	770.678	3344.401	472.923	0.000	0.000	0.000	858.312	3619.194	385.745	825.841	3622.686	359.226	871.192	3543.369	153.274	833.210	3531.396	128.783	773.970	3564.955	182.157	0.000	0.000	0.000	805.224	3557.635	339.877	1017.386	2593.688	176.609	923.176	2597.239	189.079	975.109	2640.653	594.295	807.821	3172.053	507.116
74	0.36500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1007.113	2848.025	1102.336	756.355	2856.245	1063.614	930.539	3047.290	1141.635	845.581	3047.862	1142.599	1047.047	2878.359	1189.607	734.515	2868.119	1168.833	0.000	0.000	0.000	0.000	0.000	0.000	1059.693	2796.302	841.308	1046.651	2852.171	805.867	1023.635	2799.843	732.158	1044.342	2744.373	760.064	0.000	0.000	0.000	1016.708	2701.561	620.374	1042.747	2650.896	494.378	1045.496	2704.392	477.766	1038.259	2684.434	395.931	1033.611	2628.073	404.080	932.521	2594.729	94.387	969.036	2613.144	82.091	1003.099	2597.248	88.507	924.155	2435.988	215.714	950.931	2398.591	247.511	1014.914	2433.714	209.891	719.906	2999.353	799.469	714.358	3048.737	822.158	740.353	3091.801	751.616	738.753	3040.289	722.526	887.680	3128.068	599.621	766.866	3145.298	589.748	749.636	3253.272	516.530	758.496	3280.988	561.828	779.652	3352.124	523.663	770.713	3322.374	475.343	0.000	0.000	0.000	857.854	3599.594	393.180	828.845	3593.513	374.235	869.846	3526.265	160.652	831.232	3514.124	135.734	771.905	3547.265	190.000	0.000	0.000	0.000	804.775	3538.555	346.950	1018.340	2571.344	174.180	920.657	2575.042	187.506	974.016	2624.527	590.557	807.016	3148.764	505.327
75	0.37000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1004.027	2826.261	1100.256	756.844	2835.874	1063.611	930.705	3027.193	1141.054	845.914	3027.211	1142.538	1046.504	2857.972	1188.386	734.252	2849.169	1169.577	0.000	0.000	0.000	0.000	0.000	0.000	1063.543	2781.957	837.537	1046.376	2835.826	802.466	1023.402	2784.110	728.509	1045.743	2728.825	755.401	0.000	0.000	0.000	1016.233	2685.583	616.411	1039.347	2632.270	489.195	1043.486	2687.623	473.739	1035.486	2666.450	392.076	1033.561	2612.209	402.428	929.076	2572.692	92.385	965.255	2592.175	78.221	998.816	2575.879	88.102	922.066	2415.104	215.597	949.228	2378.108	247.146	1012.837	2413.026	208.671	721.023	2975.891	797.375	714.530	3025.426	819.649	739.957	3068.056	748.653	738.792	3016.456	720.389	887.296	3102.694	596.523	767.181	3120.531	587.384	756.186	3228.180	515.602	758.899	3256.395	562.629	779.844	3328.405	525.893	772.260	3299.629	476.395	0.000	0.000	0.000	860.951	3576.587	403.387	816.399	3577.076	386.815	868.206	3508.478	167.525	828.135	3496.561	142.660	780.987	3526.168	195.386	0.000	0.000	0.000	804.287	3518.947	353.641	1016.742	2551.916	171.388	918.089	2553.879	185.776	973.000	2608.267	587.541	808.444	3124.728	502.584
76	0.37500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1003.775	2806.061	1098.243	753.925	2816.406	1062.908	930.940	3007.166	1140.076	846.278	3006.542	1142.086	1046.198	2837.810	1186.970	733.958	2830.142	1169.836	0.000	0.000	0.000	0.000	0.000	0.000	1064.803	2765.280	833.020	1045.971	2819.252	799.009	1023.051	2768.162	724.957	1046.915	2712.999	750.890	0.000	0.000	0.000	1022.504	2672.013	616.792	1038.792	2616.743	486.321	1040.994	2670.919	469.631	1031.545	2649.057	386.911	1030.504	2593.131	397.630	926.113	2551.076	89.500	961.392	2571.055	77.282	995.557	2555.552	83.882	919.995	2395.195	214.542	947.710	2358.655	246.107	1010.812	2393.339	206.828	721.533	2952.772	795.219	713.557	3003.274	817.253	740.302	3042.929	745.011	738.962	2993.077	717.629	887.222	3077.710	593.440	767.697	3095.260	584.631	756.628	3204.282	515.323	759.279	3231.359	563.005	780.177	3304.349	527.828	771.313	3276.433	478.284	0.000	0.000	0.000	861.255	3558.059	411.350	825.448	3556.551	393.322	866.651	3490.072	174.378	825.971	3478.095	148.862	782.650	3501.228	197.293	0.000	0.000	0.000	803.731	3498.825	360.138	1013.838	2532.429	168.693	915.446	2534.731	184.083	972.451	2592.058	584.811	807.269	3100.214	500.427
77	0.38000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1003.728	2786.566	1096.373	754.871	2795.707	1063.267	931.072	2987.332	1138.704	846.485	2985.900	1141.287	1045.658	2817.566	1185.354	733.611	2811.284	1169.701	0.000	0.000	0.000	0.000	0.000	0.000	1064.363	2746.923	828.376	1046.184	2803.157	795.013	1022.302	2751.678	721.481	1047.520	2696.615	746.360	0.000	0.000	0.000	1022.194	2655.845	613.277	1036.951	2600.029	482.412	1038.732	2654.738	465.748	1028.788	2632.171	383.176	1028.877	2576.470	394.306	921.782	2532.678	87.642	957.468	2551.733	74.283	991.862	2536.188	80.524	918.224	2376.460	212.988	946.449	2340.263	244.617	1008.756	2375.002	204.581	721.780	2929.482	792.936	713.596	2980.157	814.318	741.134	3019.137	741.669	738.943	2969.422	715.068	887.183	3052.582	590.126	768.197	3069.777	581.575	757.031	3179.964	514.791	759.908	3206.006	563.132	780.498	3279.728	529.253	771.450	3252.911	479.311	0.000	0.000	0.000	860.682	3537.659	416.976	824.700	3535.230	400.485	864.919	3470.912	180.640	823.368	3459.032	155.015	781.071	3480.887	203.434	0.000	0.000	0.000	803.974	3476.195	365.183	1011.320	2514.066	165.790	912.662	2515.711	181.782	972.301	2575.789	582.314	808.736	3076.016	497.334
