NO_OF_FRAMES	261
NO_OF_CAMERAS	24
NO_OF_MARKERS	43
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-24, 11:28:02.278	500479.07351580
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	calc_med_right	calc_back_right	calc_lat_right	forfoot_med_right	toe_right	forfoot_lat_right	mal_med_right	mal_lat_right	mal_lat_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_med_right X	calc_med_right Y	calc_med_right Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_med_right X	mal_med_right Y	mal_med_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
37	0.18000	900.815	2697.904	1541.681	904.813	2654.533	1361.985	870.720	2838.320	1604.138	852.253	2894.492	1415.901	1002.889	2718.239	1092.632	751.216	2712.986	1057.325	911.374	2913.664	1130.950	827.666	2910.083	1134.269	1043.907	2754.951	1180.759	727.945	2721.777	1160.738	1040.720	2805.962	1599.468	729.328	2741.894	1582.151	1031.000	2708.529	797.824	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	701.667	2852.752	793.049	691.881	2902.850	816.413	713.308	2945.447	744.143	712.412	2895.067	716.030	851.669	2983.697	585.634	732.192	3001.232	585.120	716.108	3109.009	515.426	717.944	3137.469	563.579	736.829	3210.397	528.244	727.319	3182.833	479.057	866.494	3463.171	387.041	816.224	3458.832	413.025	0.000	0.000	0.000	0.000	0.000	0.000	776.059	3392.931	147.175	723.982	3415.693	203.173	832.223	3372.611	330.256	754.082	3406.438	364.097	0.000	0.000	0.000	0.000	0.000	0.000	768.883	3007.512	498.094
38	0.18500	901.358	2677.925	1540.978	906.198	2635.119	1362.042	871.314	2816.559	1602.925	853.618	2874.613	1415.549	1003.140	2698.288	1091.249	751.158	2692.564	1057.584	912.273	2892.998	1130.698	828.559	2889.375	1134.380	1043.902	2734.351	1179.518	728.814	2701.761	1161.022	1041.387	2785.135	1598.720	729.911	2722.204	1581.640	1030.931	2691.777	794.107	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	703.026	2828.784	790.764	692.534	2878.918	813.416	713.421	2920.995	740.666	713.563	2870.366	713.397	852.645	2957.879	582.754	733.757	2975.162	582.206	717.389	3084.588	515.407	718.994	3111.782	564.230	737.856	3185.641	530.418	728.531	3159.079	480.675	868.741	3442.680	394.775	817.865	3438.160	420.359	0.000	0.000	0.000	0.000	0.000	0.000	775.801	3373.231	154.669	723.777	3396.196	211.749	833.689	3351.952	337.603	755.107	3385.798	371.426	0.000	0.000	0.000	0.000	0.000	0.000	770.135	2982.830	495.431
39	0.19000	902.141	2657.906	1540.152	903.274	2613.591	1360.262	872.672	2797.578	1603.004	854.987	2854.810	1414.904	1003.054	2678.278	1089.611	751.602	2672.093	1057.300	912.974	2872.435	1130.014	829.459	2868.512	1134.075	1042.442	2712.458	1177.319	729.758	2681.966	1161.167	1042.659	2764.774	1597.539	730.634	2702.173	1580.811	1034.365	2677.840	790.783	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	704.248	2805.042	788.459	694.673	2856.573	810.096	713.614	2896.779	737.234	714.527	2845.747	710.556	853.668	2931.920	579.685	735.113	2948.981	579.235	718.366	3060.258	515.134	724.438	3084.741	564.360	739.088	3160.356	532.418	730.533	3133.445	481.506	853.267	3415.523	393.195	818.475	3417.970	428.078	781.828	3426.514	405.386	0.000	0.000	0.000	775.011	3352.870	161.960	720.222	3381.984	224.601	835.200	3330.760	344.644	756.141	3364.553	378.626	0.000	0.000	0.000	0.000	0.000	0.000	771.637	2957.225	492.410
40	0.19500	902.831	2637.949	1538.895	905.832	2593.993	1359.739	873.635	2777.223	1602.060	856.383	2835.015	1414.026	1003.093	2658.416	1087.774	751.866	2651.865	1056.479	913.792	2851.859	1128.908	830.307	2847.621	1133.379	1041.082	2690.915	1175.056	730.272	2662.308	1160.970	1043.422	2744.106	1596.293	731.271	2682.424	1579.582	1034.041	2660.446	787.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	705.735	2781.088	786.106	694.901	2833.167	807.068	714.080	2872.349	733.581	715.397	2821.097	707.604	854.560	2905.836	576.250	736.299	2922.889	575.993	720.239	3034.339	514.270	725.843	3058.612	563.713	740.457	3134.870	534.209	731.922	3109.015	482.610	854.436	3393.778	399.418	820.128	3396.238	434.670	783.100	3405.028	412.639	0.000	0.000	0.000	773.757	3331.948	168.924	721.929	3356.763	228.944	851.961	3317.290	356.032	757.282	3342.658	385.455	0.000	0.000	0.000	0.000	0.000	0.000	772.783	2932.369	489.353
41	0.20000	904.020	2618.225	1537.689	907.710	2574.767	1357.873	874.602	2757.049	1600.801	858.012	2815.462	1413.787	1002.921	2638.392	1085.642	751.992	2631.341	1056.271	914.480	2831.384	1127.354	831.079	2826.777	1132.259	1041.489	2670.565	1173.166	730.445	2642.909	1160.455	1044.439	2723.489	1594.681	732.017	2662.442	1578.103	1033.656	2642.825	783.221	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	706.675	2757.447	783.614	695.660	2809.469	803.234	714.744	2848.000	729.861	715.845	2796.631	704.608	855.469	2879.628	572.562	737.658	2896.092	572.230	721.507	3008.933	513.382	727.696	3031.678	563.368	741.842	3108.923	535.899	732.956	3085.199	483.975	855.700	3371.442	405.365	818.025	3373.300	440.213	785.299	3383.523	420.062	0.000	0.000	0.000	772.849	3310.483	175.665	721.973	3333.956	235.237	852.857	3295.130	361.575	761.873	3312.775	386.317	0.000	0.000	0.000	0.000	0.000	0.000	774.057	2906.793	485.810
42	0.20500	904.233	2597.984	1535.782	904.551	2558.304	1356.435	875.644	2736.924	1599.242	859.650	2795.550	1412.345	1002.963	2618.513	1083.332	752.603	2611.019	1055.172	915.131	2810.997	1125.502	831.830	2805.979	1130.720	1041.492	2649.909	1170.846	730.890	2623.445	1159.717	1045.540	2702.923	1592.822	732.762	2642.633	1576.244	1033.695	2624.979	779.602	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	714.182	2732.571	779.082	696.439	2785.974	800.126	715.396	2823.665	726.063	716.674	2771.963	701.268	856.363	2853.339	568.553	738.842	2869.256	568.352	722.900	2982.925	512.091	729.587	3004.428	562.766	743.295	3082.607	537.131	734.212	3060.144	484.779	856.792	3348.299	411.929	819.723	3350.106	446.179	787.228	3347.581	429.690	0.000	0.000	0.000	771.704	3288.329	181.807	721.267	3311.715	241.863	853.891	3272.433	366.749	762.951	3289.751	392.762	0.000	0.000	0.000	0.000	0.000	0.000	775.644	2880.909	482.136
43	0.21000	905.849	2578.463	1534.152	901.140	2537.680	1351.724	876.723	2716.822	1597.486	861.276	2775.744	1410.710	1003.124	2598.785	1081.037	753.006	2590.619	1053.903	915.662	2790.713	1123.179	832.490	2785.237	1128.754	1041.533	2629.514	1168.245	731.085	2604.172	1158.863	1046.820	2682.406	1590.546	733.571	2622.704	1574.210	1033.655	2606.337	776.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	708.469	2710.061	778.253	697.256	2762.715	796.902	716.120	2799.342	722.126	717.306	2747.330	698.008	857.297	2826.879	564.407	739.951	2842.252	564.148	724.099	2956.772	511.055	728.857	2977.653	561.983	745.058	3055.386	537.298	735.994	3033.371	484.852	857.997	3324.847	417.253	826.407	3325.102	450.719	789.466	3333.902	431.707	0.000	0.000	0.000	770.470	3265.759	187.641	720.722	3291.059	250.169	855.076	3249.330	371.594	763.373	3267.406	399.882	0.000	0.000	0.000	0.000	0.000	0.000	776.263	2855.042	478.378
44	0.21500	906.631	2558.694	1531.883	907.486	2516.772	1353.087	877.889	2696.871	1595.365	862.940	2755.908	1408.779	1003.165	2579.023	1078.414	753.088	2570.224	1052.209	916.323	2770.658	1120.550	833.122	2764.666	1126.354	1042.255	2609.577	1165.864	731.223	2584.870	1157.642	1047.691	2661.725	1588.217	734.828	2602.415	1571.883	1034.239	2588.126	772.742	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	709.844	2686.264	775.232	697.820	2739.427	793.235	716.951	2775.030	718.039	717.935	2722.631	694.576	858.200	2800.305	560.126	740.945	2815.250	559.924	721.290	2932.060	510.444	733.446	2949.808	561.268	746.302	3028.601	538.319	736.719	3008.199	485.321	859.347	3301.086	421.566	826.000	3302.375	457.598	788.875	3302.717	443.479	0.000	0.000	0.000	769.246	3241.648	193.012	719.684	3268.105	257.005	855.731	3225.455	375.862	764.843	3241.685	404.011	0.000	0.000	0.000	0.000	0.000	0.000	777.132	2828.722	474.274
45	0.22000	906.466	2538.353	1529.128	907.906	2495.727	1351.339	879.093	2677.038	1593.015	864.601	2736.055	1406.586	1002.991	2559.125	1075.562	753.098	2549.899	1050.442	916.783	2750.693	1117.658	833.674	2744.385	1123.575	1042.585	2589.621	1163.161	731.205	2565.723	1155.967	1048.867	2641.156	1585.547	735.283	2582.844	1569.181	1034.907	2569.731	769.611	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	715.272	2661.950	771.246	697.688	2714.983	789.902	717.762	2750.738	713.655	718.425	2697.939	690.966	859.015	2773.623	555.726	741.902	2788.032	555.486	722.920	2905.248	508.563	735.380	2921.965	559.669	747.779	3001.523	537.796	736.071	2983.343	486.016	860.023	3276.467	426.873	826.977	3278.100	463.596	790.226	3275.037	447.539	0.000	0.000	0.000	767.990	3218.249	197.972	719.263	3243.878	262.717	856.616	3201.263	379.740	765.269	3217.736	409.653	0.000	0.000	0.000	0.000	0.000	0.000	778.015	2802.254	470.133
46	0.22500	907.047	2518.393	1526.349	908.218	2476.143	1348.422	880.366	2657.102	1590.351	866.281	2716.184	1404.126	1003.355	2539.488	1072.717	753.537	2529.499	1048.420	917.199	2730.891	1114.278	834.100	2724.150	1120.373	1042.703	2569.348	1159.994	731.162	2546.546	1153.943	1050.259	2620.659	1582.462	736.233	2562.878	1566.156	1035.712	2551.280	766.636	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	710.836	2639.031	769.043	698.304	2691.880	786.073	718.899	2726.171	709.248	718.862	2673.196	687.214	859.875	2746.876	551.195	742.715	2760.804	550.923	724.553	2877.987	506.272	737.206	2893.794	557.706	749.191	2973.871	537.430	737.475	2956.075	485.224	860.990	3251.819	430.285	829.031	3251.521	467.308	791.383	3248.792	452.028	0.000	0.000	0.000	767.493	3195.351	202.523	718.772	3219.109	267.784	857.217	3176.506	383.087	766.166	3192.306	414.133	0.000	0.000	0.000	0.000	0.000	0.000	778.951	2775.550	465.803
