NO_OF_FRAMES	280
NO_OF_CAMERAS	24
NO_OF_MARKERS	50
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-24, 11:28:36.202	500512.99728070
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	calc_med_right	calc_back_right	calc_lat_right	forfoot_med_right	toe_right	forfoot_lat_right	mal_med_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Measured
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_med_right X	calc_med_right Y	calc_med_right Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_med_right X	mal_med_right Y	mal_med_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
104	0.51500	904.693	2766.331	1523.350	907.764	2733.643	1341.326	879.253	2899.980	1599.686	860.425	2966.198	1418.064	1007.583	2818.230	1091.513	758.584	2820.755	1043.433	916.940	3014.833	1134.329	834.364	3011.561	1132.486	1049.089	2847.769	1178.912	734.854	2822.054	1145.512	1051.483	2860.407	1589.365	730.803	2804.264	1563.282	1046.700	2799.431	815.777	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	957.914	2547.807	119.392	993.515	2569.879	111.539	1027.923	2553.409	119.541	950.888	2381.530	230.441	978.214	2343.443	261.182	1042.349	2382.408	226.478	719.880	2978.179	791.450	713.351	3026.074	817.447	739.925	3073.431	749.915	738.163	3024.157	717.683	893.355	3125.367	603.361	765.481	3138.870	590.963	754.091	3244.059	513.897	758.905	3274.029	559.312	779.940	3344.052	519.289	768.151	3314.197	472.635	899.934	3574.710	352.250	864.342	3580.524	384.283	826.411	3582.133	365.286	0.000	0.000	0.000	847.617	3494.208	120.215	773.489	3533.385	178.184	891.853	3493.931	309.171	805.860	3525.477	335.206	1043.792	2524.357	200.304	944.046	2523.049	210.911	0.000	0.000	0.000	808.108	3141.669	506.819
105	0.52000	905.468	2747.176	1523.697	908.531	2714.344	1342.010	880.267	2880.430	1599.869	861.435	2946.915	1417.997	1007.733	2798.282	1090.962	758.633	2800.261	1044.372	916.989	2994.363	1134.795	834.250	2991.010	1133.093	1047.090	2826.539	1177.749	735.140	2801.959	1147.021	1052.478	2841.071	1589.278	731.452	2785.178	1563.728	1046.939	2783.287	812.644	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	956.380	2524.948	116.099	992.941	2546.204	107.390	1027.320	2529.084	115.352	948.388	2360.047	229.414	975.798	2322.096	260.149	1039.101	2359.280	225.294	720.901	2954.958	789.867	712.679	3003.495	815.258	739.671	3048.751	746.819	738.969	3001.361	715.839	887.676	3097.453	599.248	766.484	3114.818	589.246	755.034	3221.300	514.101	758.165	3250.487	560.416	779.951	3321.024	521.576	769.646	3291.768	473.584	898.992	3556.243	362.762	863.190	3561.711	393.595	825.440	3562.950	374.451	0.000	0.000	0.000	850.163	3479.536	128.461	787.230	3512.684	182.554	889.574	3474.882	315.359	805.735	3507.109	342.889	1041.653	2501.077	195.133	943.437	2501.391	207.620	0.000	0.000	0.000	808.049	3119.830	506.074
106	0.52500	907.464	2727.984	1524.357	908.669	2695.042	1343.156	881.348	2860.969	1599.661	862.487	2927.732	1417.791	1008.157	2778.320	1090.302	760.695	2779.100	1045.482	916.987	2973.968	1134.884	834.161	2970.435	1133.376	1044.955	2804.668	1176.496	735.499	2782.000	1148.165	1053.569	2821.694	1588.906	732.108	2765.900	1563.958	1046.971	2766.894	809.247	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	955.222	2503.979	113.002	992.210	2523.519	102.372	1026.826	2506.980	109.630	946.442	2339.556	227.570	973.584	2301.659	258.531	1036.530	2337.472	223.636	722.934	2931.395	787.978	712.759	2979.928	812.610	739.328	3025.167	744.077	739.987	2977.724	713.740	888.154	3073.021	597.261	767.648	3090.444	587.174	756.099	3198.209	514.125	757.783	3226.528	561.338	779.422	3298.174	524.217	770.934	3269.402	475.264	898.231	3537.547	372.255	862.124	3542.082	402.682	827.401	3541.297	380.905	0.000	0.000	0.000	836.522	3468.311	140.693	788.720	3495.981	190.081	902.137	3460.937	332.882	805.487	3488.270	350.283	1040.511	2479.252	191.328	942.582	2480.535	204.187	0.000	0.000	0.000	809.249	3096.116	504.194
107	0.53000	907.277	2708.349	1524.455	908.779	2675.946	1343.379	882.231	2841.292	1599.649	863.646	2908.637	1417.419	1008.616	2758.458	1089.358	759.718	2759.078	1045.532	917.678	2953.735	1133.886	834.273	2949.764	1132.993	1043.058	2783.437	1174.369	735.944	2762.091	1149.078	1054.461	2802.151	1588.460	732.762	2746.620	1563.819	1047.062	2750.587	805.731	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	953.821	2482.447	108.718	990.570	2502.762	98.832	1025.038	2485.540	105.866	945.019	2319.786	225.177	972.173	2282.030	256.522	1035.197	2317.326	220.438	730.408	2905.762	784.669	713.344	2956.752	809.947	739.193	3002.410	741.499	741.043	2953.924	711.489	888.691	3048.410	595.084	768.710	3065.782	584.956	757.249	3174.706	514.027	757.558	3202.298	562.023	779.091	3274.878	526.575	771.665	3246.906	476.813	897.657	3518.180	381.289	861.118	3521.069	410.326	825.664	3521.570	390.780	0.000	0.000	0.000	838.780	3452.399	147.913	777.533	3483.172	200.926	902.653	3442.541	340.349	805.879	3467.244	356.235	1039.469	2458.875	187.262	941.604	2460.514	200.444	0.000	0.000	0.000	811.675	3072.918	501.836
108	0.53500	907.972	2689.200	1524.080	909.463	2656.771	1343.738	883.090	2821.533	1599.417	864.936	2889.724	1417.858	1008.955	2738.495	1088.063	759.606	2738.736	1045.422	917.805	2933.427	1133.463	834.267	2929.371	1132.828	1043.068	2763.666	1173.521	736.489	2742.143	1149.687	1055.489	2781.994	1587.494	733.390	2727.103	1563.482	1046.805	2733.862	802.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	951.907	2462.844	104.748	988.630	2483.022	94.425	1023.432	2466.005	100.421	944.704	2300.853	221.665	971.225	2263.531	253.696	1034.169	2298.458	216.092	725.175	2884.843	784.013	713.668	2933.594	807.271	739.421	2979.053	738.518	742.018	2929.995	709.116	889.254	3023.504	592.574	769.871	3040.867	582.366	758.235	3151.070	513.865	757.554	3177.649	562.437	779.016	3251.159	528.685	772.610	3223.902	478.411	897.186	3498.185	389.863	860.268	3500.562	418.623	825.025	3501.060	398.830	0.000	0.000	0.000	839.429	3435.907	155.262	789.118	3463.039	205.815	903.009	3423.326	347.436	805.703	3447.296	363.014	1038.071	2439.675	182.729	940.321	2441.333	196.655	0.000	0.000	0.000	812.999	3048.932	498.763
109	0.54000	910.350	2670.668	1523.592	910.005	2638.638	1342.491	883.933	2801.809	1599.087	866.282	2870.575	1417.089	1009.270	2718.458	1086.562	759.868	2718.157	1045.749	917.877	2913.114	1132.093	834.269	2908.676	1131.994	1042.524	2743.414	1171.958	736.973	2722.416	1150.085	1056.361	2762.254	1586.555	733.903	2707.696	1562.818	1046.976	2717.390	798.401	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	949.657	2444.718	100.708	986.214	2464.608	89.894	1021.169	2447.691	95.461	944.216	2283.017	217.910	970.974	2245.796	250.069	1033.138	2280.427	212.090	726.610	2861.594	781.565	714.496	2910.301	804.473	740.023	2955.390	735.434	743.026	2906.001	706.406	889.746	2998.596	589.755	771.028	3015.518	579.503	759.419	3126.635	513.255	757.842	3152.528	562.591	779.127	3226.990	530.496	773.585	3200.394	479.318	896.703	3477.650	398.120	859.626	3479.510	426.527	825.996	3478.748	404.746	0.000	0.000	0.000	838.662	3418.455	162.877	790.033	3444.651	212.703	903.271	3403.681	354.240	805.480	3426.903	369.678	1036.386	2421.700	177.781	938.821	2422.554	192.255	0.000	0.000	0.000	814.227	3024.146	496.044
110	0.54500	910.646	2651.625	1522.498	909.681	2619.317	1342.646	884.815	2782.159	1598.490	867.432	2851.471	1416.204	1009.407	2698.309	1084.635	760.488	2697.817	1045.036	917.994	2893.022	1130.512	834.344	2888.278	1131.063	1044.253	2724.658	1171.579	738.133	2702.276	1150.322	1057.370	2742.380	1585.271	734.410	2688.051	1561.888	1050.476	2703.477	795.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	947.198	2426.917	96.015	983.452	2447.533	85.328	1018.636	2430.723	90.290	943.823	2265.995	213.972	971.168	2229.133	245.992	1032.851	2264.409	206.781	735.706	2837.112	777.408	714.548	2887.572	801.701	740.558	2931.927	732.195	743.743	2881.946	703.548	890.054	2973.848	585.843	772.152	2989.935	576.349	761.050	3101.234	512.002	758.515	3127.006	562.545	779.425	3202.288	532.108	772.686	3177.979	481.337	895.996	3456.919	406.073	859.087	3457.962	433.955	824.028	3458.821	413.659	0.000	0.000	0.000	842.148	3399.617	168.800	790.668	3425.612	219.439	903.156	3383.179	360.758	805.242	3406.001	376.210	1034.667	2405.068	172.714	937.126	2405.240	187.742	0.000	0.000	0.000	815.487	3000.115	492.824
111	0.55000	909.993	2631.771	1521.534	910.308	2599.955	1341.794	885.714	2762.483	1597.667	868.673	2832.498	1415.113	1009.795	2678.402	1082.649	760.409	2677.566	1044.641	918.092	2872.869	1128.626	834.399	2867.801	1129.813	1042.896	2703.912	1169.096	738.470	2682.880	1150.179	1058.418	2722.578	1583.694	734.897	2668.345	1560.543	1049.857	2685.894	791.065	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	944.431	2410.831	91.157	980.389	2431.717	80.615	1015.610	2415.026	85.817	942.889	2249.854	210.245	971.613	2213.377	241.375	1033.293	2249.517	201.507	728.681	2815.088	776.913	715.590	2864.508	798.641	741.293	2908.185	728.849	744.046	2858.174	700.362	890.590	2948.514	582.311	773.240	2964.087	572.772	761.952	3076.445	510.856	759.434	3101.075	562.237	781.476	3176.103	532.764	775.102	3152.587	481.099	895.509	3435.217	413.366	856.741	3436.945	441.795	823.723	3436.985	420.944	0.000	0.000	0.000	855.561	3378.968	171.075	791.184	3405.674	225.711	903.400	3362.249	367.031	806.094	3383.321	382.689	1033.007	2389.851	167.331	935.308	2389.031	183.059	0.000	0.000	0.000	816.229	2975.461	489.549
112	0.55500	910.160	2612.708	1519.949	912.088	2581.815	1339.136	886.683	2742.904	1596.559	869.864	2813.504	1413.808	1010.109	2658.499	1080.413	761.129	2657.325	1043.358	918.169	2852.809	1126.396	834.482	2847.579	1128.241	1042.941	2684.092	1167.062	738.571	2663.595	1149.548	1059.358	2702.544	1581.983	735.298	2648.598	1558.969	1049.439	2667.999	787.234	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	941.523	2395.620	85.921	978.456	2414.643	72.075	1012.670	2400.699	80.405	943.011	2234.947	204.956	972.104	2198.553	236.125	1033.045	2235.487	195.725	737.091	2791.063	774.221	716.343	2841.581	795.446	741.943	2884.443	725.107	744.988	2834.035	697.764	891.303	2922.543	579.133	774.217	2937.939	568.918	762.732	3051.325	509.516	760.248	3074.682	561.626	781.894	3150.588	533.790	774.648	3128.491	482.209	895.010	3412.940	420.265	856.144	3414.346	448.572	824.136	3413.306	425.634	0.000	0.000	0.000	854.008	3359.203	177.390	795.495	3377.925	226.057	903.112	3340.509	372.875	805.987	3360.847	388.316	1029.730	2376.239	161.485	933.356	2373.777	177.948	0.000	0.000	0.000	817.562	2949.809	486.003
113	0.56000	910.534	2593.699	1518.128	904.859	2565.469	1336.073	887.642	2723.390	1595.138	871.126	2794.503	1412.266	1010.276	2638.694	1078.008	761.051	2637.101	1042.680	918.404	2832.982	1123.823	834.578	2827.443	1126.395	1044.038	2664.864	1165.193	738.410	2644.860	1148.637	1060.436	2682.668	1579.803	735.696	2628.831	1556.996	1049.280	2649.998	783.308	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	938.444	2381.536	80.472	975.058	2401.692	65.164	1009.726	2386.921	71.695	942.407	2220.539	199.725	972.671	2184.741	230.315	1032.609	2222.444	189.632	737.429	2767.903	771.302	717.240	2818.735	792.157	742.619	2860.751	721.093	745.284	2809.980	694.251	891.724	2897.114	574.221	775.169	2911.686	564.793	763.365	3026.044	507.984	762.698	3048.079	559.693	782.384	3124.613	534.714	775.067	3103.839	482.561	894.448	3389.998	426.764	855.547	3391.085	454.819	823.226	3390.494	432.367	0.000	0.000	0.000	856.447	3338.108	182.895	796.408	3364.940	234.495	903.181	3318.294	378.402	806.370	3336.201	391.958	1024.995	2359.562	151.665	931.275	2359.378	172.485	0.000	0.000	0.000	818.176	2924.823	481.893
